lag_2y,lag_3y,lag_4y,lag_5y,lag_6y,lag_7y,lag_8y,lag_9y,lag_10y,lag_11y,lag_12y,lag_13y,lag_14y,lag_15y,lag_16y,lag_17y,lag_2y_Forecast_10,lag_3y_Forecast_10,lag_4y_Forecast_10,lag_5y_Forecast_10,lag_6y_Forecast_10,lag_7y_Forecast_10,lag_8y_Forecast_10,lag_9y_Forecast_10,lag_10y_Forecast_10,lag_11y_Forecast_10,lag_12y_Forecast_10,lag_13y_Forecast_10,lag_14y_Forecast_10,lag_15y_Forecast_10,lag_16y_Forecast_10,lag_17y_Forecast_10,lag_2y_Forecast_30,lag_3y_Forecast_30,lag_4y_Forecast_30,lag_5y_Forecast_30,lag_6y_Forecast_30,lag_7y_Forecast_30,lag_8y_Forecast_30,lag_9y_Forecast_30,lag_10y_Forecast_30,lag_11y_Forecast_30,lag_12y_Forecast_30,lag_13y_Forecast_30,lag_14y_Forecast_30,lag_15y_Forecast_30,lag_16y_Forecast_30,lag_17y_Forecast_30,lag_2y_Forecast_50,lag_3y_Forecast_50,lag_4y_Forecast_50,lag_5y_Forecast_50,lag_6y_Forecast_50,lag_7y_Forecast_50,lag_8y_Forecast_50,lag_9y_Forecast_50,lag_10y_Forecast_50,lag_11y_Forecast_50,lag_12y_Forecast_50,lag_13y_Forecast_50,lag_14y_Forecast_50,lag_15y_Forecast_50,lag_16y_Forecast_50,lag_17y_Forecast_50,lag_2y_Forecast_70,lag_3y_Forecast_70,lag_4y_Forecast_70,lag_5y_Forecast_70,lag_6y_Forecast_70,lag_7y_Forecast_70,lag_8y_Forecast_70,lag_9y_Forecast_70,lag_10y_Forecast_70,lag_11y_Forecast_70,lag_12y_Forecast_70,lag_13y_Forecast_70,lag_14y_Forecast_70,lag_15y_Forecast_70,lag_16y_Forecast_70,lag_17y_Forecast_70,lag_2y_Forecast_90,lag_3y_Forecast_90,lag_4y_Forecast_90,lag_5y_Forecast_90,lag_6y_Forecast_90,lag_7y_Forecast_90,lag_8y_Forecast_90,lag_9y_Forecast_90,lag_10y_Forecast_90,lag_11y_Forecast_90,lag_12y_Forecast_90,lag_13y_Forecast_90,lag_14y_Forecast_90,lag_15y_Forecast_90,lag_16y_Forecast_90,lag_17y_Forecast_90
15.6,15.87,24.93,31.5,13.91,17.66,17.87,16.3,17.88,30.9,19.95,137.66,49.8,75.9,75.48,142.07,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,4.43624042328043,13.16,22.1918390959538,43.7521473029036,35.9180739989891,21.5394875965556,7.80320666119805,5.81619612855306,-0.520197117973722,8.41305412512277,13.7601695945236,1.34477858040892,8.93516822368155,20.9690071649603,40.1918182347566,29.1658812817057,19.8280726362006,27.9279775425187,30.75,30.75,30.82,30.84,30.85,30.85,30.85,30.87,30.87,30.87,30.85,30.85,30.85,30.84,30.84,30.84,56.2,56.2,56.24,56.31,56.56,56.78,56.79,56.79,57.27,57.74,57.74,58.04,58.28,58.28,58.28,58.28
187.63,140.06,194.62,40.34,30.91,100.34,19.44,46.23,79.54,175.37,42.76,16.99,55.52,33.28,28.95,60.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.24,16.24,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,16.23,11.303102558167,16.23,49.9862737559625,49.8326416941426,49.4095487175401,46.1047977348265,41.1546387535631,40.2115764260638,43.469536974797,31.2997378483412,27.7763023634084,21.8403302395393,13.740170922627,11.2391620444135,15.974545818169,18.859912693111,22.1498045048241,25.9803598600299,44.54,44.54,44.54,44.54,44.54,44.54,44.54,44.54,44.54,44.54,44.54,44.54,44.54,44.56,44.56,44.56,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.08,76.09,76.09,76.09,76.09
64.04,38.06,151.67,52.4,13.84,34.61,45.66,47.94,38.07,44.76,44.01,91.15,62.82,73.93,14.47,14.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.26,16.26,16.26,16.26,16.26,16.26,16.26,16.26,16.26,16.26,16.26,16.26,16.26,16.26,12.1848130669138,16.26,39.5043698537913,45.3527249711654,43.4020977542218,44.6925304886157,41.0841193400372,38.7249736791171,40.8231812502755,42.7174664093801,41.1157199214272,45.7268624049466,47.7761678508632,38.4114527926979,41.0099208897533,37.9346787614347,35.7199751577111,25.6366679565722,44.54,44.54,44.56,44.56,44.56,44.56,44.56,44.56,44.6,44.6,44.6,44.6,44.6,44.61,44.61,44.61,76.08,76.09,76.11,76.15,76.15,76.15,76.16,76.16,76.16,76.18,76.25,76.25,76.25,76.25,76.25,76.25
13.46,13.23,14,8.05,17.02,15.79,15.64,14.75,11.07,8.39,7.66,8.94,11.75,12.69,22.55,27.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,12.9962626024856,16.29,39.3978411149394,25.9852220658783,22.9217398984025,26.4639449749601,20.2080980648678,19.8491328145487,18.1991964933802,19.2064717243161,15.224735928893,30.1799344646528,30.3445118012098,31.4118728353426,31.6131156848233,29.1876618982457,33.8381572164095,30.884423045271,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.61,44.62,44.62,44.62,44.62,44.62,44.62,44.64,44.64,76.16,76.16,76.16,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.25,76.25,76.25,76.25
141.59,76.26,47,47,41.39,37.47,61.09,59.52,44.62,31.88,33,34.45,30.44,11.96,10.74,10.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,16.3,16.3,16.29,16.27,16.27,16.26,16.26,16.25,16.24,16.24,16.23,16.23,16.22,14.5748796810498,16.21,7.16665447361147,10.5704406888006,7.35206387401079,8.45782520782613,8.78563047116854,11.6342760392126,16.883310909948,18.9886070757376,19.9491482167996,12.9138365488769,6.2509275077151,4.78011530674876,7.42603425775194,4.67528798211438,9.90630713549224,16.7967342989022,44.62,44.62,44.62,44.62,44.62,44.62,44.62,44.62,44.62,44.62,44.62,44.62,44.62,44.62,44.62,44.62,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18
15.51,9.7,92.15,38.36,71.71,9.71,8.05,11.08,18.31,17.02,51.03,79.17,84.08,33.21,89.49,24.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.24,16.24,16.24,16.24,16.24,16.24,16.24,16.24,16.24,16.24,16.24,16.24,16.24,16.24,10.6877226525431,16.23,36.3228970847634,46.0689742075136,36.8475501520842,30.8989914861301,33.6498387625883,44.9024388472697,44.0899103143924,44.4400420778293,43.8051412906242,44.5424715388407,31.5986035163892,32.6575631942753,73.6809431355748,72.4964826909735,42.8113334788484,14.256348278931,44.6,44.6,44.6,44.6,44.61,44.61,44.61,44.62,44.62,44.62,44.62,44.62,44.62,44.62,44.62,44.62,76.15,76.16,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18
32.46,7.19,8.53,-4.5,3.17,1.02,-54.04,-107.04,2.07,1.46,3.88,2.03,-22.98,-29.29,-25.47,-4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.26,16.25,16.24,16.24,16.24,16.24,16.24,16.23,16.23,16.23,16.23,16.23,16.23,16.23,7.06706902777677,16.23,25.0227414512371,21.1795359052439,21.010842539536,18.6485539619555,21.9494396850375,22.7731671615593,13.0553518993273,17.1674808448556,9.82299104522288,2.49490239527826,-0.831486020672577,1.47364758259134,6.72171560482912,9.91186742707312,21.0881395716055,26.5594224889064,44.6,44.6,44.6,44.6,44.6,44.61,44.61,44.61,44.61,44.61,44.61,44.62,44.62,44.62,44.62,44.62,76.16,76.16,76.16,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.18,76.25,76.26,76.26,76.27
2.41,4.13,1.47,4.52,0.27,0.77,1.31,1.49,5.61,3.27,0.35,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.26,16.26,16.25,16.24,16.24,16.23,16.23,16.22,16.21,16.2,16.2,16.2,16.19,16.19,8.72418989248144,16.17,6.94210534212945,8.52573721963381,16.587979839248,14.2598489873641,7.58606118692021,9.64326793435549,17.221568333715,24.4555398255263,24.2618560225834,21.8249347261333,19.9587316155257,15.553691582183,13.4981219168921,15.0686194376101,22.3505263782939,26.8648563106513,44.61,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,76.25,76.25,76.25,76.25,76.25,76.25,76.25,76.25,76.25,76.25,76.25,76.25,76.25,76.25,76.25,76.25
0.11,0.23,0.07,0.28,1.03,9.69,36.38,53.4,14.85,20.43,65.04,54.85,26.44,37.4,75.36,67.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,16.19,16.19,16.18,16.17,16.17,16.16,16.16,16.15,16.15,16.15,16.14,16.14,16.14,8.85179441592804,16.13,20.9550122696012,25.0563553384829,21.8211399468322,25.9235067578672,30.0219386102905,24.3663460761107,22.2447859943732,22.3665184934445,24.1499309234868,24.4300450387797,21.1089248299808,22.7863024178306,32.6669951773834,30.1623436243855,18.7356854725869,12.8981659300263,44.56,44.56,44.56,44.56,44.56,44.56,44.56,44.56,44.56,44.56,44.56,44.56,44.56,44.56,44.56,44.56,76.16,76.16,76.16,76.16,76.16,76.16,76.16,76.16,76.16,76.16,76.16,76.16,76.16,76.16,76.16,76.16
110.63,47.63,20.45,6.55,11.59,5.65,10.44,14.94,18.44,17.41,24.08,12.05,12.61,15.45,14.96,15.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14,16.14,16.14,16.13,16.11,16.1,16.07,16.07,16.07,16.06,16.06,16.06,16.06,16.06,6.59769363361863,16.06,34.7242953667181,28.1130337394259,25.5158505577397,24.9411275426343,31.4119558276796,29.1779792275804,28.8245366962264,32.3984238772497,33.9615916380305,33.4422318310204,22.6103473560106,25.2107760153946,29.6849324998549,31.647052633653,30.5764657829645,37.6309825128264,44.54,44.53,44.53,44.53,44.53,44.53,44.53,44.53,44.54,44.54,44.54,44.54,44.54,44.54,44.54,44.56,76.15,76.15,76.15,76.15,76.15,76.15,76.15,76.15,76.15,76.15,76.15,76.15,76.15,76.15,76.15,76.15
