lag_2y,lag_3y,lag_4y,lag_5y,lag_6y,lag_7y,lag_8y,lag_9y,lag_10y,lag_11y,lag_12y,lag_13y,lag_14y,lag_15y,lag_16y,lag_17y,lag_2y_Forecast_10,lag_3y_Forecast_10,lag_4y_Forecast_10,lag_5y_Forecast_10,lag_6y_Forecast_10,lag_7y_Forecast_10,lag_8y_Forecast_10,lag_9y_Forecast_10,lag_10y_Forecast_10,lag_11y_Forecast_10,lag_12y_Forecast_10,lag_13y_Forecast_10,lag_14y_Forecast_10,lag_15y_Forecast_10,lag_16y_Forecast_10,lag_17y_Forecast_10,lag_2y_Forecast_30,lag_3y_Forecast_30,lag_4y_Forecast_30,lag_5y_Forecast_30,lag_6y_Forecast_30,lag_7y_Forecast_30,lag_8y_Forecast_30,lag_9y_Forecast_30,lag_10y_Forecast_30,lag_11y_Forecast_30,lag_12y_Forecast_30,lag_13y_Forecast_30,lag_14y_Forecast_30,lag_15y_Forecast_30,lag_16y_Forecast_30,lag_17y_Forecast_30,lag_2y_Forecast_70,lag_3y_Forecast_70,lag_4y_Forecast_70,lag_5y_Forecast_70,lag_6y_Forecast_70,lag_7y_Forecast_70,lag_8y_Forecast_70,lag_9y_Forecast_70,lag_10y_Forecast_70,lag_11y_Forecast_70,lag_12y_Forecast_70,lag_13y_Forecast_70,lag_14y_Forecast_70,lag_15y_Forecast_70,lag_16y_Forecast_70,lag_17y_Forecast_70,lag_2y_Forecast_90,lag_3y_Forecast_90,lag_4y_Forecast_90,lag_5y_Forecast_90,lag_6y_Forecast_90,lag_7y_Forecast_90,lag_8y_Forecast_90,lag_9y_Forecast_90,lag_10y_Forecast_90,lag_11y_Forecast_90,lag_12y_Forecast_90,lag_13y_Forecast_90,lag_14y_Forecast_90,lag_15y_Forecast_90,lag_16y_Forecast_90,lag_17y_Forecast_90,lag_2y_Forecast_50,lag_3y_Forecast_50,lag_4y_Forecast_50,lag_5y_Forecast_50,lag_6y_Forecast_50,lag_7y_Forecast_50,lag_8y_Forecast_50,lag_9y_Forecast_50,lag_10y_Forecast_50,lag_11y_Forecast_50,lag_12y_Forecast_50,lag_13y_Forecast_50,lag_14y_Forecast_50,lag_15y_Forecast_50,lag_16y_Forecast_50,lag_17y_Forecast_50
15.6,15.87,24.93,31.5,13.91,17.66,17.87,16.3,17.88,30.9,19.95,137.66,49.8,75.9,75.48,142.07,-32.235,-32.345,-32.06,-32.815,-32.955,-32.24,-32.095,-31.46,-30.795,-30.785,-30.61,-30.5,-30.61,-30.63,-31.32,-31.23,-1.38,-1.525,-1.335,-2.015,-2.16500000000001,-1.41999999999999,-1.37,-0.704999999999998,0.0150000000000006,-0.114999999999995,-0.0199999999999996,0.150000000000002,0.00499999999999545,0,-0.545000000000002,-0.609999999999999,47.125,46.985,47.225,46.5,46.345,47.05,47.185,47.895,48.485,48.515,48.59,48.8,48.615,48.625,48.06,47.97,77.9065,77.865,78.13,77.45,77.28,78.025,78.15,78.8,79.39,79.425,79.465,79.71,79.58,79.525,78.935,78.9,23.35,22.53,21.315,21.11,20.3,20.125,20.01,19.705,18.91,18.7,18.91,19.805,20.075,21.17,21.375,21.845
187.63,140.06,194.62,40.34,30.91,100.34,19.44,46.23,79.54,175.37,42.76,16.99,55.52,33.28,28.95,60.9,-31.065,-30.945,-31.815,-31.745,-32.035,-30.945,-30,-28.325,-27.575,-26.595,-26.6,-26.05,-25.615,-25.27,-24.935,-24.16,-0.615000000000006,-0.504999999999995,-1.27,-1.29,-1.375,-0.445000000000004,0.704999999999998,2.27499999999999,2.965,3.95999999999999,4.115,4.595,5.01,5.495,5.84,6.515,48.065,48.08,47.3,47.21,47.175,48.135,49.24,50.795,51.555,52.525,52.62,53.155,53.594,54.035,54.345,55.115,78.8,78.98,78.105,77.975,77.72,78.835,80.07,81.47,82.175,83.23,83.315,83.79,84.33,84.905,85.255,85.82,22.435,21.395,21.215,21.715,22.485,23.28,24.595,25.85,26.645,26.995,27.965,28.295,28.88,28.98,28.975,28.88
64.04,38.06,151.67,52.4,13.84,34.61,45.66,47.94,38.07,44.76,44.01,91.15,62.82,73.93,14.47,14.21,-24.335,-24.2,-23.85,-23.345,-22.725,-22.755,-23.535,-23.575,-24.065,-24.59,-24.935,-25.085,-25.95,-26.725,-27.335,-28.975,6.655,6.775,7.165,7.79500000000001,8.185,8.15,7.29,7.495,6.79,6.38,5.94000000000001,5.725,4.825,4.07,3.52500000000001,2.02499999999999,55.225,55.36,55.725,56.41,56.75,56.765,55.915,56.04,55.44,55.04,54.52,54.385,53.485,52.69,52.2,50.695,85.975,86.175,86.535,87.02,87.64,87.405,86.6,86.78,86.16,85.795,85.345,85.05,84.335,83.435,82.95,81.485,31.04,31.185,31.375,32.2,33.245,32.65,32.025,31.455,31.185,30.95,30.67,30.525,29.875,29.975,29.755,28.88
13.46,13.23,14,8.05,17.02,15.79,15.64,14.75,11.07,8.39,7.66,8.94,11.75,12.69,22.55,27.74,-30.425,-30.23,-30.47,-30.045,-29.845,-29.435,-30.22,-30.275,-29.13,-29.395,-29.61,-28.905,-29.305,-29.625,-29.425,-29.22,0.544999999999998,0.684999999999999,0.655000000000005,1.04499999999999,1.225,1.605,0.760000000000002,0.635000000000002,1.601,1.485,1.22,2.01000000000001,1.435,1.32999999999999,1.53,1.85,49.105,49.16,49.16,49.53,49.755,50.05,49.255,49.16,50.12,50.02,49.775,50.495,49.98,49.855,50.02,50.375,80.085,80.325,80.225,80.73,80.84,81.04,80.21,80.195,81.2,81.06,80.79,81.485,81.065,80.76,80.94,81.265,25.115,25.845,25.845,26.18,26.15,27.345,27.55,27.885,27.885,28.69,28.93,28.96,29.945,30.425,30.745,30.32
141.59,76.26,47,47,41.39,37.47,61.09,59.52,44.62,31.88,33,34.45,30.44,11.96,10.74,10.61,-29.475,-27.965,-28.58,-27.99,-28.435,-27.955,-28.36,-27.21,-26.735,-26.25,-26.2,-26.22,-26.25,-26.215,-25.955,-23.605,1.36,2.805,2.09000000000001,2.885,2.19,2.74,2.305,3.24,3.79,4.27,4.25,4.36000000000001,4.155,4.335,4.62,6.745,49.99,51.47,50.79,51.52,50.8,51.365,50.895,51.945,52.415,52.885,52.89,52.9395,52.805,52.94,53.235,55.45,80.57,82.23,81.525,82.315,81.65,82.28,81.77,82.645,83.235,83.67,83.66,83.8,83.625,83.81,84.08,86.395,24.195,25.25,27.965,29.11,29.11,29.68,29.825,30.41,31.345,31.55,31.55,31.05,31.55,31.685,31.83,31.95
15.51,9.7,92.15,38.36,71.71,9.71,8.05,11.08,18.31,17.02,51.03,79.17,84.08,33.21,89.49,24.94,-21.695,-20.835,-20.56,-20.435,-20.825,-21.145,-22.325,-22.775,-23.265,-23.84,-24.005,-26.4585,-29.095,-30.4,-31.565,-32.5,9.09,10.1,10.34,10.555,10.17,9.65,8.67000000000001,8.31,7.66,7.3,7.1,4.6,1.98,0.585000000000001,-0.475000000000001,-1.46,57.705,58.685,58.93,59.17,58.765,58.31,57.195,56.905,56.2,55.77,55.6,53.14,50.52,49.08,48.145,47.125,88.72,89.625,89.9,90.06,89.76,89.465,88.275,87.94,87.23,86.895,86.575,84.125,81.485,80.16,79.14,78.045,34.47,34.895,35.01,34.6,34.675,34.805,34.24,33.62,33,32.305,30.175,29.505,28.745,27.625,27.47,26.21
32.46,7.19,8.53,-4.5,3.17,1.02,-54.04,-107.04,2.07,1.46,3.88,2.03,-22.98,-29.29,-25.47,-4.4,-34.165,-36.195,-36.57,-36.84,-37.46,-37.93,-37.395,-37.19,-36.595,-36.02,-36.01,-35.635,-34.945,-33.295,-33.32,-32.51,-3.295,-5.28,-5.89,-6.00000000000001,-6.715,-7.14,-6.65,-6.37,-5.83,-5.235,-5.115,-4.795,-4.135,-2.685,-2.77,-1.78,45.375,43.29,42.76,42.615,41.88,41.43,41.97,42.24,42.77,43.365,43.465,43.82,44.525,46.13,46.025,47.14,75.985,74.04,73.505,73.335,72.685,72.205,72.69,73.05,73.565,74.13,74.185,74.6,75.395,76.535,76.51,77.525,19.065,18.67,18.015,17.595,16.555,16.665,16.915,17.31,17.66,17.75,18.175,18.38,19.82,22.22,23.93,25.735
2.41,4.13,1.47,4.52,0.27,0.77,1.31,1.49,5.61,3.27,0.35,0.44,0,0,0,0,-33.405,-32.795,-32.59,-32.155,-31.89,-31.865,-31.44,-29.335,-29.71,-27.385,-28.62,-28.97,-30.08,-33.025,-34.11,-34.445,-2.27000000000001,-1.485,-1.335,-0.939999999999998,-0.654999999999998,-0.664999999999999,-0.279999999999998,1.805,1.565,3.99,2.41,2.27,0.964999999999996,-1.755,-2.95,-3.28,46.455,47.14,47.31,47.62,48.05,48.175,48.475,50.715,50.455,52.88,51.34,51.24,49.855,46.975,45.85,45.525,76.965,77.71,77.935,78.36,78.81,78.765,79.28,81.11,80.825,83.22,81.765,81.535,80.285,77.45,76.385,76.065,20.905,20.28,20.1,20.055,20.28,21.67,21.735,22.64,22.83,23.21,24.125,24.235,25.77,25.58,25.73,25.915
0.11,0.23,0.07,0.28,1.03,9.69,36.38,53.4,14.85,20.43,65.04,54.85,26.44,37.4,75.36,67.18,-36.545,-34.69,-33.385,-32.01,-30.84,-30.14,-29.2,-29.245,-29.435,-30.125,-30.63,-30.38,-30.84,-31.135,-31.125,-31.3,-5.515,-3.73,-2.25,-0.764999999999997,0.305,1.02,1.88,1.85,1.725,0.909999999999997,0.535,0.594999999999995,0.114999999999998,-0.0799999999999983,-0.145,-0.315000000000001,42.87,44.74,46.13,47.605,48.605,49.57,50.285,50.21,50.085,49.23,48.86,48.96,48.45,48.225,48.175,48.065,73.915,75.58,76.995,78.51,79.67,80.345,81.14,81.07,81.1,80.14,79.805,79.945,79.48,79.18,79.13,79.05,19.795,21.46,22.965,22.965,24.22,24.425,24.63,24.875,25.85,26.635,26.635,26.485,26.485,26.705,26.485,26.83
110.63,47.63,20.45,6.55,11.59,5.65,10.44,14.94,18.44,17.41,24.08,12.05,12.61,15.45,14.96,15.84,-31.45,-32.735,-32.79,-33.84,-33.94,-33.81,-33.565,-33.325,-31.535,-30.815,-29.975,-29.45,-29.485,-29.585,-29.65,-30.325,-0.600000000000001,-1.79,-1.805,-3.005,-3.02999999999999,-2.82,-2.6305,-2.4,-0.68,-0.0800000000000054,0.795000000000002,1.285,1.195,1.015,0.965000000000003,0.379999999999999,48.005,46.795,46.825,45.59,45.565,45.755,45.995,46.16,47.91,48.58,49.47,49.965,49.915,49.69,49.655,49.055,78.835,77.6,77.47,76.355,76.295,76.555,76.73,76.98,78.65,79.31,80.205,80.82,80.695,80.5,80.41,79.825,24.12,22.78,21.965,21.995,21.585,21.11,21.415,21.475,22.09,23.47,23.565,25.03,25.405,25.405,26,25.1
