lag_2y,lag_3y,lag_4y,lag_5y,lag_6y,lag_7y,lag_8y,lag_9y,lag_10y,lag_11y,lag_12y,lag_13y,lag_14y,lag_15y,lag_16y,lag_17y,lag_2y_Forecast_10,lag_3y_Forecast_10,lag_4y_Forecast_10,lag_5y_Forecast_10,lag_6y_Forecast_10,lag_7y_Forecast_10,lag_8y_Forecast_10,lag_9y_Forecast_10,lag_10y_Forecast_10,lag_11y_Forecast_10,lag_12y_Forecast_10,lag_13y_Forecast_10,lag_14y_Forecast_10,lag_15y_Forecast_10,lag_16y_Forecast_10,lag_17y_Forecast_10,lag_2y_Forecast_30,lag_3y_Forecast_30,lag_4y_Forecast_30,lag_5y_Forecast_30,lag_6y_Forecast_30,lag_7y_Forecast_30,lag_8y_Forecast_30,lag_9y_Forecast_30,lag_10y_Forecast_30,lag_11y_Forecast_30,lag_12y_Forecast_30,lag_13y_Forecast_30,lag_14y_Forecast_30,lag_15y_Forecast_30,lag_16y_Forecast_30,lag_17y_Forecast_30,lag_2y_Forecast_70,lag_3y_Forecast_70,lag_4y_Forecast_70,lag_5y_Forecast_70,lag_6y_Forecast_70,lag_7y_Forecast_70,lag_8y_Forecast_70,lag_9y_Forecast_70,lag_10y_Forecast_70,lag_11y_Forecast_70,lag_12y_Forecast_70,lag_13y_Forecast_70,lag_14y_Forecast_70,lag_15y_Forecast_70,lag_16y_Forecast_70,lag_17y_Forecast_70,lag_2y_Forecast_90,lag_3y_Forecast_90,lag_4y_Forecast_90,lag_5y_Forecast_90,lag_6y_Forecast_90,lag_7y_Forecast_90,lag_8y_Forecast_90,lag_9y_Forecast_90,lag_10y_Forecast_90,lag_11y_Forecast_90,lag_12y_Forecast_90,lag_13y_Forecast_90,lag_14y_Forecast_90,lag_15y_Forecast_90,lag_16y_Forecast_90,lag_17y_Forecast_90,lag_2y_Forecast_50,lag_3y_Forecast_50,lag_4y_Forecast_50,lag_5y_Forecast_50,lag_6y_Forecast_50,lag_7y_Forecast_50,lag_8y_Forecast_50,lag_9y_Forecast_50,lag_10y_Forecast_50,lag_11y_Forecast_50,lag_12y_Forecast_50,lag_13y_Forecast_50,lag_14y_Forecast_50,lag_15y_Forecast_50,lag_16y_Forecast_50,lag_17y_Forecast_50
187.63,140.06,194.62,40.34,30.91,100.34,19.44,46.23,79.54,175.37,42.76,16.99,55.52,33.28,28.95,60.9,-20.245,-20.605,-21.29,-21.255,-21.465,-20.99,-20.99,-20.375,-20.39,-20.155,-20.11,-20.305,-20.305,-19.185,-18.945,-17.795,6.845,6.47,5.64,5.635,5.84,6.275,6.275,6.775,6.545,6.865,6.88,6.635,6.68,7.34,8.255,8.715,40.05,39.61,38.94,38.65,38.955,39.315,39.39,39.9,39.62,39.81,39.945,39.66,39.7,40.23,41.245,41.69,65.9,65.665,64.985,65.055,65.13,65.75,65.75,65.895,65.665,65.895,65.94,65.745,65.755,66.725,67.4,68.23,23.35,22.53,21.315,21.11,20.3,20.125,20.01,19.705,18.91,18.7,18.91,19.805,20.075,21.17,21.375,21.845
64.04,38.06,151.67,52.4,13.84,34.61,45.66,47.94,38.07,44.76,44.01,91.15,62.82,73.93,14.47,14.21,-18.155,-17.38,-18.12,-17.235,-16.96,-16.59,-15.595,-14.44,-13.055,-12.97,-13.185,-13.985,-14.17,-15.945,-16.77,-17.945,8.915,9.475,8.785,9.61,9.97499999999999,10.63,11.34,12.335,13.105,13.325,12.9,12.415,11.85,10.21,9.535,8.435,41.875,42.28,41.695,42.775,43.28,43.79,44.485,45.745,46.24,46.34,45.935,45.495,44.88,43.285,42.56,41.405,69.05,69.325,68.765,69.64,70.26,71.01,71.425,72.855,73.27,73.27,72.935,72.45,71.71,70.07,69.595,68.04,22.435,21.395,21.215,21.715,22.485,23.28,24.595,25.85,26.645,26.995,27.965,28.295,28.88,28.98,28.975,28.88
13.46,13.23,14,8.05,17.02,15.79,15.64,14.75,11.07,8.39,7.66,8.94,11.75,12.69,22.55,27.74,-19.46,-19.205,-19.36,-19.46,-19.46,-20.055,-19.865,-19.205,-19.45,-19.755,-19.035,-19.035,-18.38,-17.745,-16.64,-16.49,8.375,8.515,8.13,8.42,8.38,7.7,7.77,8.375,8.085,8.145,8.775,8.705,9.405,10.36,11.305,11.44,41.365,41.665,41.32,41.435,41.42,40.92,40.93,41.46,41.19,41.195,41.835,41.67,42.52,43.4,44.23,44.445,69.625,70.36,69.8,69.8,69.8,69.51,69.45,70.36,69.685,69.48,69.985,69.985,70.95,72.115,72.38,73.075,31.04,31.185,31.375,32.2,33.245,32.65,32.025,31.455,31.185,30.95,30.67,30.525,29.875,29.975,29.755,28.88
141.59,76.26,47,47,41.39,37.47,61.09,59.52,44.62,31.88,33,34.45,30.44,11.96,10.74,10.61,-17.95,-18.61,-18.135,-20.66,-20.61,-20.825,-20.65,-20.255,-20.11,-19.88,-19.88,-19.88,-19.88,-19.88,-20.11,-19.46,11.66,11.31,11.335,8.685,8.49,8.27,8.34,9.14,9.095,9.855,9.76,9.57,9.465,9.935,9.655,9.93000000000001,44.9,44.61,44.5,41.945,41.63,41.515,41.485,42.335,42.245,43.04,42.83,42.78,42.68,43.135,42.71,43.31,74.82,74.39,74.415,71.435,70.61,70.86,70.57,71.49,71.46,72.395,72.395,72.395,72.07,72.735,72.07,73.445,25.115,25.845,25.845,26.18,26.15,27.345,27.55,27.885,27.885,28.69,28.93,28.96,29.945,30.425,30.745,30.32
15.51,9.7,92.15,38.36,71.71,9.71,8.05,11.08,18.31,17.02,51.03,79.17,84.08,33.21,89.49,24.94,-19.895,-18.425,-16.745,-15.895,-14.03,-14.895,-15.1,-15.4,-15.525,-17.03,-18.16,-19.1,-19.78,-21.06,-21.85,-24.95,10.225,11.22,12.485,13.725,14.44,14.25,13.765,13.6,13.55,12.23,11.23,10.105,9.34,7.87,6.375,3.875,43.73,44.455,45.775,46.935,48.02,47.805,47.21,47.145,47.065,45.725,44.79,43.545,42.62,41.275,39.895,37.45,72.385,73.985,75.255,76.315,77.685,77.535,76.84,76.225,76.025,75.085,74.575,73.22,71.75,70.47,70.045,67.63,24.195,25.25,27.965,29.11,29.11,29.68,29.825,30.41,31.345,31.55,31.55,31.05,31.55,31.685,31.83,31.95
32.46,7.19,8.53,-4.5,3.17,1.02,-54.04,-107.04,2.07,1.46,3.88,2.03,-22.98,-29.29,-25.47,-4.4,-26.085,-27.325,-28.865,-28.865,-29.26,-29.905,-30.59,-31.48,-31.615,-32.105,-31.89,-31.645,-30.87,-30.08,-29.695,-29.505,3.39,2.335,0.75,1.005,0.850000000000001,0.189999999999998,-0.445,-1.175,-1.32,-1.545,-1.425,-1.06,-0.344999999999999,0.474999999999998,0.960000000000001,1.19,36.94,35.74,34.21,34.465,34.37,33.64,32.945,32.27,32.16,31.88,32.02,32.335,33.06,34.03,34.46,34.69,67.215,66.035,64.685,64.745,64.685,64.005,63.02,62.46,62.325,61.93,62.145,62.39,63.165,63.445,64.13,64.13,34.47,34.895,35.01,34.6,34.675,34.805,34.24,33.62,33,32.305,30.175,29.505,28.745,27.625,27.47,26.21
2.41,4.13,1.47,4.52,0.27,0.77,1.31,1.49,5.61,3.27,0.35,0.44,0,0,0,0,-29.135,-28.765,-28.665,-30.4,-30.19,-30.065,-29.5,-30.19,-29.93,-29.96,-29.93,-30.4,-30.19,-29.7,-29.255,-28.585,1.67,1.805,1.83,0.609999999999999,0.620000000000001,0.894999999999996,1.085,0.734999999999999,0.84,0.969999999999999,1,0.265000000000001,0.645,1.245,1.65,1.94,34.91,35.075,35.12,33.975,33.97,34.275,34.48,34.225,34.105,34.47,34.47,33.775,33.995,34.57,34.865,35.35,66.605,66.825,66.825,65.645,65.605,65.84,65.745,65.71,65.73,65.985,65.86,65.5,65.73,65.985,66.105,67.155,19.065,18.67,18.015,17.595,16.555,16.665,16.915,17.31,17.66,17.75,18.175,18.38,19.82,22.22,23.93,25.735
0.11,0.23,0.07,0.28,1.03,9.69,36.38,53.4,14.85,20.43,65.04,54.85,26.44,37.4,75.36,67.18,-30.975,-29.88,-28.855,-28.675,-27.8,-27.8,-27.335,-27.005,-26.705,-26.705,-25.66,-25.66,-25.66,-25.66,-26.73,-26.805,2.14,3.08,4.175,4.835,5.585,5.585,5.975,6.025,6.225,6.325,6.965,7.28,7.68,7.075,6.135,5.93,34.8,35.785,36.835,37.305,38.1,38.12,38.525,38.665,38.835,38.935,39.62,39.835,40.2,39.625,38.725,38.495,67.82,68.55,69.535,69.95,70.78,70.78,71.245,71.575,71.745,71.875,72.285,72.24,72.92,71.615,71.34,71.075,20.905,20.28,20.1,20.055,20.28,21.67,21.735,22.64,22.83,23.21,24.125,24.235,25.77,25.58,25.73,25.915
110.63,47.63,20.45,6.55,11.59,5.65,10.44,14.94,18.44,17.41,24.08,12.05,12.61,15.45,14.96,15.84,-26.96,-27.195,-27.235,-27.08,-27.155,-26.96,-27.235,-26.09,-25.85,-24.93,-25.75,-25.985,-26.455,-25.715,-26.045,-25.955,5.07,4.705,4.66,5.08,4.93,4.945,4.93,5.58,6.07000000000001,6.775,6.28,6.09,5.71,6.505,6.305,6.47,37.295,36.89,36.915,37.23,37.005,37.03,37.085,37.615,38.045,38.835,38.195,38.065,37.83,38.625,38.36,38.535,69.465,69.255,69.255,68.83,69.02,69.27,69.02,69.18,69.93,70.665,70.235,70.19,69.93,70.445,70.445,70.515,19.795,21.46,22.965,22.965,24.22,24.425,24.63,24.875,25.85,26.635,26.635,26.485,26.485,26.705,26.485,26.83
15.75,28.6,37.21,14.94,16.11,148.74,121.58,105.22,40.62,32.7,2.3,26.02,15.52,10.99,2.15,1.92,-26.755,-26.885,-26.24,-26.72,-27.82,-27.99,-27.945,-27.995,-27.82,-27.5,-27.82,-27.105,-27.235,-27.105,-27.55,-27.995,5.895,5.605,5.895,5.53,4.885,4.75,4.76,4.72,4.775,4.9,4.73,5.36,5.385,5.495,5.245,5.035,38.635,38.29,38.54,38.125,37.59,37.425,37.525,37.46,37.395,37.595,37.435,38.025,38.025,38.185,37.965,37.765,70.155,70.155,70.155,70.155,69.56,69.05,68.97,68.97,69.25,69.545,69.545,69.82,69.8,69.965,70.29,69.82,24.12,22.78,21.965,21.995,21.585,21.11,21.415,21.475,22.09,23.47,23.565,25.03,25.405,25.405,26,25.1
