lag_2y,lag_3y,lag_4y,lag_5y,lag_6y,lag_7y,lag_8y,lag_9y,lag_10y,lag_11y,lag_12y,lag_13y,lag_14y,lag_15y,lag_16y,lag_17y,lag_2y_Forecast_10,lag_3y_Forecast_10,lag_4y_Forecast_10,lag_5y_Forecast_10,lag_6y_Forecast_10,lag_7y_Forecast_10,lag_8y_Forecast_10,lag_9y_Forecast_10,lag_10y_Forecast_10,lag_11y_Forecast_10,lag_12y_Forecast_10,lag_13y_Forecast_10,lag_14y_Forecast_10,lag_15y_Forecast_10,lag_16y_Forecast_10,lag_17y_Forecast_10,lag_2y_Forecast_30,lag_3y_Forecast_30,lag_4y_Forecast_30,lag_5y_Forecast_30,lag_6y_Forecast_30,lag_7y_Forecast_30,lag_8y_Forecast_30,lag_9y_Forecast_30,lag_10y_Forecast_30,lag_11y_Forecast_30,lag_12y_Forecast_30,lag_13y_Forecast_30,lag_14y_Forecast_30,lag_15y_Forecast_30,lag_16y_Forecast_30,lag_17y_Forecast_30,lag_2y_Forecast_70,lag_3y_Forecast_70,lag_4y_Forecast_70,lag_5y_Forecast_70,lag_6y_Forecast_70,lag_7y_Forecast_70,lag_8y_Forecast_70,lag_9y_Forecast_70,lag_10y_Forecast_70,lag_11y_Forecast_70,lag_12y_Forecast_70,lag_13y_Forecast_70,lag_14y_Forecast_70,lag_15y_Forecast_70,lag_16y_Forecast_70,lag_17y_Forecast_70,lag_2y_Forecast_90,lag_3y_Forecast_90,lag_4y_Forecast_90,lag_5y_Forecast_90,lag_6y_Forecast_90,lag_7y_Forecast_90,lag_8y_Forecast_90,lag_9y_Forecast_90,lag_10y_Forecast_90,lag_11y_Forecast_90,lag_12y_Forecast_90,lag_13y_Forecast_90,lag_14y_Forecast_90,lag_15y_Forecast_90,lag_16y_Forecast_90,lag_17y_Forecast_90,lag_2y_Forecast_50,lag_3y_Forecast_50,lag_4y_Forecast_50,lag_5y_Forecast_50,lag_6y_Forecast_50,lag_7y_Forecast_50,lag_8y_Forecast_50,lag_9y_Forecast_50,lag_10y_Forecast_50,lag_11y_Forecast_50,lag_12y_Forecast_50,lag_13y_Forecast_50,lag_14y_Forecast_50,lag_15y_Forecast_50,lag_16y_Forecast_50,lag_17y_Forecast_50
15.6,15.87,24.93,31.5,13.91,17.66,17.87,16.3,17.88,30.9,19.95,137.66,49.8,75.9,75.48,142.07,-0.587145589057663,-6.43986347404948,-9.94355136260607,-10.2715710326151,-12.5640644661342,-17.4521583296834,-17.9260323314747,-18.0905643485915,-16.9413527298379,-15.7654718659161,-15.4713870563235,-10.0391383398196,-8.6124871268676,-9.61149308304131,-9.21395360263947,-8.33142030769806,10.1273754383875,4.24375102233102,3.38364068348038,2.83298011989969,0.843574503913374,-7.89438999651255,0.410973563131005,-10.0396291255774,-1.4616682211538,-10.3851961397937,-8.51660573708746,-3.33221079796826,-3.05645142963526,-1.93801823010861,-2.86803571396097,-2.20443653671128,43.8338859822108,38.6808275909345,39.5073322423183,40.1472806570091,40.0615119733958,33.3046427869958,41.2800111913048,32.192432260531,41.6831415017466,33.5046601987073,35.4065815187719,41.1201455405327,41.2050670487583,43.1713758433777,42.041559775541,42.334572557527,59.9371845501025,64.251405446849,66.7409903396645,66.2258426026389,68.8714137443151,67.5167328141154,69.472946855537,70.6945499397386,73.312149162252,75.2026944854022,75.9411762676512,81.037056423364,82.6067053780152,81.7245130815095,82.1978544112766,83.6886068529465,19.5705837490917,18.4984372292091,26.0044563771654,19.5005321916493,18.8522146587702,19.1868747293445,17.4380524295896,15.5110770912269,16.5820563281347,15.8046144835318,19.1670036638027,20.7335821799786,19.9827658741754,20.0152722905301,21.0308343433073,22.8174505749402
187.63,140.06,194.62,40.34,30.91,100.34,19.44,46.23,79.54,175.37,42.76,16.99,55.52,33.28,28.95,60.9,30.9886078077997,15.3820721927205,9.60914402972227,0.566405478631253,-3.45822783550639,-2.75567632504773,-3.18811216533897,-2.75969200471787,-5.56728079255238,-7.52704216938369,-8.66368349592884,-14.5856606233445,-14.2450919669457,-15.8393334667541,-16.11365773701,-10.4586848791248,50.8165398675251,35.225292637104,22.1570602352287,16.5614503453501,12.6443527293124,12.9851646019013,10.5936735488838,9.26688118658102,-0.727783418181627,-3.06264613935121,-3.57382224052677,-7.94721395646261,-9.15852957258428,-8.61702102691066,-9.1381190894815,-4.37394654155927,207.229104145174,152.819936706776,106.122471421447,84.8251899312266,81.7473486018099,76.1273917747529,74.0881059982247,69.461404044247,49.4581907029121,43.132992517265,41.1849572852301,36.9176599296458,36.0614964436511,36.7072492215024,35.9999710441855,40.6852747261409,295.745965643569,237.778854114107,161.267793474302,130.386729422723,124.283444680363,112.609065954005,111.045143221014,115.224101253949,97.3976773983656,87.8230593015636,85.193520941327,77.7877143156203,77.5701202828101,77.4625082690857,76.2228748557635,82.499147457301,39.6502311174626,32.740331004858,29.7560296255425,28.9410117832493,27.0440511271934,28.7032293006797,28.9817777018447,28.1283628872006,29.4646866864354,22.9135072156119,22.0854775543783,19.2306599963801,17.3660491113624,18.639747034986,16.3566021496874,23.9579946657752
64.04,38.06,151.67,52.4,13.84,34.61,45.66,47.94,38.07,44.76,44.01,91.15,62.82,73.93,14.47,14.21,0.871365539815322,-0.865624054034626,-5.91623102734578,-3.15544795501963,-6.81432059503782,-12.1855873548407,-8.53037620684894,-9.28099313331766,-2.77271802089479,-4.34319515378387,-4.33108172346539,-5.66422450249866,-6.728683321737,-7.50156015971842,-7.79656153362836,-11.9101937931958,10.581506230522,17.812634337295,13.8017956262219,11.0561752742217,9.40125487084632,6.63349514780928,4.32246084099368,4.00104810384803,2.30959269808892,2.15223284454488,2.95604926539865,0.112792709590952,-0.0728304587043667,-0.551718442176167,-0.50852579617802,-5.33081246094387,74.8577294132002,129.157125342239,79.4313732629406,72.74455646929,62.3182890200162,58.4874876099675,60.3716113079126,57.3315916219144,51.4171080331719,47.2359292099013,48.2098086495539,44.6461350710411,44.7809140481316,44.1946900203483,44.5417614505261,39.4782714776548,100.682816498067,106.011590377728,110.181932577391,120.899125104062,110.890185325372,88.2030807054621,97.169788588073,90.9369405214675,93.3748306546423,88.2831972107181,87.8247524745327,88.6978970795326,86.1600839206946,85.3984947719222,84.6808478291646,80.4472585993823,22.340697510244,28.3958132138827,31.5374691782925,34.6415886821954,32.4527284915386,33.7893890075769,30.4749927966032,31.668107900682,30.275613532586,29.6655911981326,30.9595354468542,26.959349303704,26.536973161195,26.5741033886507,26.6656986541282,20.8338338878524
13.46,13.23,14,8.05,17.02,15.79,15.64,14.75,11.07,8.39,7.66,8.94,11.75,12.69,22.55,27.74,-7.5736674440449,-16.942074207429,-34.665070245126,-39.4203361119454,-35.1807759280501,-31.5499935650401,-41.4819809730767,-42.3930542697489,-14.6225340943855,-9.1350820370427,-8.87664124590679,-5.40804360187756,-4.9771287072709,-3.76051573421278,-3.3350142204277,-3.35695857425204,6.57520755092736,1.09485765170709,-1.71431692371955,-5.52349248339854,-6.6151262596066,-6.19555031948998,-5.58443677281352,-6.85106092935003,-6.28001181598565,-4.49457001691061,-2.396047835814,1.13457905744869,0.5243746837338,2.8392027215222,2.69058094350559,4.06446597036088,41.7495706872189,37.0776876993145,34.9312700437487,32.9776843507079,33.0206378624027,35.2399660379319,37.8607288613418,35.6226348256548,37.4051516819392,39.419816732357,41.6130921788344,45.7352660844262,44.9954287608822,48.0467851952771,47.5986295732663,49.0879873937007,56.7032070981914,55.725255580779,53.1972821260898,55.5514046107109,58.5998751644792,64.8528155780263,61.9986136619331,62.8192870388448,75.4790627378899,82.3234026126155,82.6109075822182,85.9353630753686,87.6926100622604,88.6447386298009,89.5125466621407,88.719644361539,31.061475123462,28.2734373078533,22.3640416022565,23.1306423080525,19.2285584396407,22.4198208782765,22.3403445024411,19.1174124733333,20.2573685982383,25.2509715285592,27.0756432941935,28.0126195430628,27.7011703006796,29.183627726631,29.2670676236656,30.6463063048168
141.59,76.26,47,47,41.39,37.47,61.09,59.52,44.62,31.88,33,34.45,30.44,11.96,10.74,10.61,-8.65671282245837,-6.52341720166154,-7.12783487842931,-7.27818236793306,-9.86536940880938,-9.78448243691724,-9.33703364133945,-10.3926822031716,-8.90323172085297,-13.2910290637061,-15.3107233522142,-15.5479992016671,-15.6813513529115,-16.0945366917805,-15.7986846389919,-8.70256006948088,4.06598785742321,5.0452460171661,8.39587196272848,-1.90068494358683,5.68977166444644,6.02976396141365,6.58196050671332,6.25016677420802,5.65051887639012,1.36612144412176,-8.06614225665404,0.281847628315912,-9.03213204014743,-10.5526289592988,-9.10187524617343,-4.02457523951312,36.7974131427626,39.3697260739288,48.1399172202968,35.7009528966842,45.9619140747248,50.3758867031129,48.7700784876703,48.4785507921523,49.3430161298081,46.4265805810846,36.6747291727893,45.2381655299272,35.9297705782608,34.4388490070098,35.9370804423031,41.1657953201793,54.163052268484,63.6578762858873,73.767728247181,69.8353144124625,73.6787590091594,79.9972520296355,78.2398096203793,80.3320034657737,81.2274483633756,78.7370547375635,77.8120641233718,76.4438373461844,76.4188340413756,76.0636092127606,76.2473015365452,83.4932635999527,20.3666819970566,23.1088234083445,24.5589114034124,23.9390841173371,23.2663910268341,23.375254451705,25.5589032276762,23.3376189905556,23.7032845151617,23.1041822630138,19.2959926417755,18.7636656584515,18.7834337369679,20.8873029137317,18.1003067223847,23.4517130393213
15.51,9.7,92.15,38.36,71.71,9.71,8.05,11.08,18.31,17.02,51.03,79.17,84.08,33.21,89.49,24.94,-7.92306224512962,-50.904505112999,-39.8500053446051,-65.9501688056122,-43.3916166628711,-43.961387234806,-33.1489144877957,-3.74595228640529,-32.5433402958281,-5.80545133147868,-6.73969654100558,-4.41542962984759,-3.6392526896858,-4.34586684582119,-4.0471919985448,-10.4543922245428,5.35975999327861,-3.00151635184082,-1.87963198395166,-6.99266421232,-5.5941593679768,2.3169928720048,2.30304694764145,1.99279192576095,0.619292941650958,1.15067936588248,-1.85050345870048,11.2060861368404,3.48416655122685,11.397923358726,2.00965055261887,-2.72108864347327,40.0811020800706,41.3970966242334,40.9964628341636,41.0559855755828,41.3348042932171,44.7750054528764,45.1302726327611,44.9461248267619,44.7037617832037,45.733881727943,42.8642315724275,56.0471200723873,48.2794794326966,56.4763783300395,46.6833566073064,42.1345078988851,54.4160796005735,59.0729519335098,63.2942016561274,62.3523977227081,66.4055520688184,67.3592533291588,71.4216116352512,85.5765231469443,72.1461242732637,86.4504919668612,85.6122817609964,87.7763352016954,88.8475331989861,88.0533526671183,88.4347568539943,81.9718620479182,31.769106947768,36.2352064102191,31.050088367604,27.4263844193211,32.789957349825,29.5446066523378,31.812436510351,31.8072130030426,28.8539711030197,24.8573913481764,25.153738741106,29.0602453151173,27.3999312279399,26.7724223288822,30.1762272744331,22.4093302953763
32.46,7.19,8.53,-4.5,3.17,1.02,-54.04,-107.04,2.07,1.46,3.88,2.03,-22.98,-29.29,-25.47,-4.4,-0.666345004840093,-3.75410674260277,-4.40403391275554,-13.5388864430349,-18.176855252498,-17.4846615177763,-18.5582828635754,-19.5367266101081,-18.5480258557335,-17.6677602563252,-19.3338989967363,-20.1969923653694,-18.1419934954039,-15.022933798454,-14.2273728799068,-5.03190402890306,9.92350747198041,10.0683024618002,3.44997735486023,0.517490631340873,0.876936183183943,-2.12732375848398,-3.457073082232,-3.91189601977122,-3.30152297298549,-11.6628330141489,-12.1672265889979,-12.6629425946723,-13.3754263272478,-8.54139781147959,-8.62959958544029,0.51051134478594,42.7929237088579,44.829674074349,40.735241370058,39.2401621401299,40.9853613235648,45.3827432276,37.5147992474799,39.629409522221,45.5481016608036,32.3238346189077,32.9453794595861,32.1078990038384,31.7616624483869,36.1481029972362,36.3004102564787,45.4117927015975,62.5944353296326,65.6711309130369,70.6032826765999,63.8929582682689,65.4875620143477,76.5283885615694,71.1142215614734,69.3842061596673,76.398915519999,72.9609667029034,71.6438842063887,72.7609238943962,74.6149454389223,77.2682153409503,78.2957632590092,87.8283140191926,30.5033084559242,27.4349076162407,24.6485107780083,17.6790413824813,16.2567036214643,14.3787341672066,13.4286096443144,15.0583279931011,15.0454336354508,16.0913469904472,15.4426691446738,13.3447984434102,12.5635936457283,16.4467216501727,17.6120018484468,29.5707647362941
2.41,4.13,1.47,4.52,0.27,0.77,1.31,1.49,5.61,3.27,0.35,0.44,0,0,0,0,-7.95089954492767,-22.6937754158605,-17.4531709263084,-43.6727142482877,-28.4744860795236,-13.7831294963341,-13.415742867122,-13.2116685867033,-11.3917520793621,-9.54236778539888,-12.9329703175314,-14.4065261265785,-13.5534539711762,-12.3894657694751,-11.3824797421588,-4.66653709621895,5.55708640334015,5.23020352774144,6.35661506442503,-3.99638416020601,2.19683618651408,2.58961958676643,1.84821373199258,2.63610231956813,-4.52411917455708,-6.26086099442594,-4.26425028100284,-7.44238796891958,-9.70924388050487,-4.20462720242292,-6.82198421180931,1.40100834132241,38.0609506916702,39.0732745116282,42.2919578531213,41.1061034038809,42.3830945025541,43.1618909338123,43.0597425100688,44.4283615358767,39.3495704769322,37.9769968241776,40.7908244107696,37.7870317393324,35.2114504706914,40.8535450235292,38.3655844527415,46.3118817544084,53.7653365695743,57.8912045951258,68.691352694297,67.228332504642,69.3105099531913,72.8101436665077,72.2425937722823,73.8057950973787,78.0738774982747,81.2803517885757,78.5023209727518,76.9133972743004,77.5025686728668,79.6144595540113,81.4897584170209,87.3047306039764,19.6402728786362,19.534779727417,22.9372311970564,23.0936318076761,22.6760394135804,19.2030619481486,18.3388871739035,18.4397065142893,18.0895307124982,21.6219559356174,20.272105747297,16.8221948451121,16.7224800574565,21.9819387646129,20.9554218184365,30.1931575744937
0.11,0.23,0.07,0.28,1.03,9.69,36.38,53.4,14.85,20.43,65.04,54.85,26.44,37.4,75.36,67.18,-11.5966281445942,-36.436854800948,-57.8464768235814,-57.7596033691762,-12.6069451555018,-12.78860286518,-9.42142781096084,-7.57815352934156,-7.01562821807146,-8.79728586748355,-7.5730314734128,-9.12206281100255,-8.06687075062911,-5.41448609558997,-7.96616086166942,-15.049218380134,1.09409835229674,-12.124446721699,-1.54533972795517,-2.04026304539808,1.92625847642998,4.51981373235588,7.79734981310907,9.26239393917195,-1.47872581490719,-3.4231644791153,-2.33473219441526,7.30261513010228,-2.12482991317587,-0.797082259093124,-0.0704068574168915,-7.21780109584764,34.0355131853656,35.0965205710867,40.8449266905019,42.2034598702513,45.1880268174944,44.4553358118237,48.3403681541735,51.541950213586,42.9161087035254,41.6546496230576,42.5469149155701,52.6781282068845,42.8729194154374,44.5007731181041,44.9122000304005,38.0491266232686,53.8869533983745,57.2314877893841,62.2396895582545,62.2706509948375,73.9184111372228,77.0243510837946,78.5222138516368,81.3584652755901,83.3304945236278,82.5916339628387,84.7600678918216,82.6843451174642,84.5483025892147,87.2888944891268,83.7661198695318,77.9196384313894,16.8474932331573,20.9681204493883,22.6186117619735,25.1278618193616,24.4014995589208,24.0120901855064,24.4404691898623,24.5608362914532,27.1175741021771,23.4383530673343,23.5707726817194,23.2446878474629,24.6746689782027,24.2863556315911,28.7442430881431,18.0667935654897
110.63,47.63,20.45,6.55,11.59,5.65,10.44,14.94,18.44,17.41,24.08,12.05,12.61,15.45,14.96,15.84,15.4287389709661,1.2040831006817,-3.47316398798647,-4.39489317538887,-14.4892413208514,-14.421049769628,-16.151223366653,-17.134277038287,-15.8271019413811,-16.1968500444887,-16.4728539151364,-18.2192460317134,-14.8439932520854,-10.0859028449772,-8.80408885321828,-7.43647266812658,29.3814717054178,14.6557364253074,8.9195298587084,4.50253418329374,0.973969828590104,-1.1022405570791,-0.899650735958577,-2.00212978892182,-11.4518530481936,-10.9225468164977,-10.676732175961,-9.71113780725488,1.53548598174461,-2.48276794724164,-3.64697837582671,0.30750067175925,88.8716721057703,80.8617434290916,71.5283831988573,73.4711411321463,69.3308643216931,57.9037237220957,61.5535238551059,57.834774736835,32.9936501866697,33.7685676091614,35.0139378374667,34.9240970255088,47.3638703811587,43.0638228578121,41.4654331231967,45.1235426181704,120.812714953632,108.780367509251,107.865867231496,168.10792588589,115.642014782664,105.544694248927,101.421463782395,90.2159960940372,87.6793601557869,87.8416974713804,76.1453521090336,74.5428312998295,76.5688485447896,81.6998179802182,83.3140637651899,84.7488949161019,30.6698764631784,24.5323148755191,21.589531211888,17.8271394289877,16.1531702822827,14.2598495510885,16.3261257488233,16.0613600026266,14.8777579264731,15.8395575688756,14.8907782540333,17.0259609102945,17.8305194340233,22.5577548402667,23.4286503281403,27.4346154631733
