EURPrices+0,EURPrices+1,EURPrices+2,EURPrices+3,EURPrices+4,EURPrices+5,EURPrices+6,EURPrices+7,EURPrices+8,EURPrices+9,EURPrices+10,EURPrices+11,EURPrices+12,EURPrices+13,EURPrices+14,EURPrices+15,EURPrices+16,EURPrices+17,EURPrices+18,EURPrices+19,EURPrices+20,EURPrices+21,EURPrices+22,EURPrices+23,EURPrices+0_Forecast_10,EURPrices+1_Forecast_10,EURPrices+2_Forecast_10,EURPrices+3_Forecast_10,EURPrices+4_Forecast_10,EURPrices+5_Forecast_10,EURPrices+6_Forecast_10,EURPrices+7_Forecast_10,EURPrices+8_Forecast_10,EURPrices+9_Forecast_10,EURPrices+10_Forecast_10,EURPrices+11_Forecast_10,EURPrices+12_Forecast_10,EURPrices+13_Forecast_10,EURPrices+14_Forecast_10,EURPrices+15_Forecast_10,EURPrices+16_Forecast_10,EURPrices+17_Forecast_10,EURPrices+18_Forecast_10,EURPrices+19_Forecast_10,EURPrices+20_Forecast_10,EURPrices+21_Forecast_10,EURPrices+22_Forecast_10,EURPrices+23_Forecast_10,EURPrices+0_Forecast_30,EURPrices+1_Forecast_30,EURPrices+2_Forecast_30,EURPrices+3_Forecast_30,EURPrices+4_Forecast_30,EURPrices+5_Forecast_30,EURPrices+6_Forecast_30,EURPrices+7_Forecast_30,EURPrices+8_Forecast_30,EURPrices+9_Forecast_30,EURPrices+10_Forecast_30,EURPrices+11_Forecast_30,EURPrices+12_Forecast_30,EURPrices+13_Forecast_30,EURPrices+14_Forecast_30,EURPrices+15_Forecast_30,EURPrices+16_Forecast_30,EURPrices+17_Forecast_30,EURPrices+18_Forecast_30,EURPrices+19_Forecast_30,EURPrices+20_Forecast_30,EURPrices+21_Forecast_30,EURPrices+22_Forecast_30,EURPrices+23_Forecast_30,EURPrices+0_Forecast_50,EURPrices+1_Forecast_50,EURPrices+2_Forecast_50,EURPrices+3_Forecast_50,EURPrices+4_Forecast_50,EURPrices+5_Forecast_50,EURPrices+6_Forecast_50,EURPrices+7_Forecast_50,EURPrices+8_Forecast_50,EURPrices+9_Forecast_50,EURPrices+10_Forecast_50,EURPrices+11_Forecast_50,EURPrices+12_Forecast_50,EURPrices+13_Forecast_50,EURPrices+14_Forecast_50,EURPrices+15_Forecast_50,EURPrices+16_Forecast_50,EURPrices+17_Forecast_50,EURPrices+18_Forecast_50,EURPrices+19_Forecast_50,EURPrices+20_Forecast_50,EURPrices+21_Forecast_50,EURPrices+22_Forecast_50,EURPrices+23_Forecast_50,EURPrices+0_Forecast_70,EURPrices+1_Forecast_70,EURPrices+2_Forecast_70,EURPrices+3_Forecast_70,EURPrices+4_Forecast_70,EURPrices+5_Forecast_70,EURPrices+6_Forecast_70,EURPrices+7_Forecast_70,EURPrices+8_Forecast_70,EURPrices+9_Forecast_70,EURPrices+10_Forecast_70,EURPrices+11_Forecast_70,EURPrices+12_Forecast_70,EURPrices+13_Forecast_70,EURPrices+14_Forecast_70,EURPrices+15_Forecast_70,EURPrices+16_Forecast_70,EURPrices+17_Forecast_70,EURPrices+18_Forecast_70,EURPrices+19_Forecast_70,EURPrices+20_Forecast_70,EURPrices+21_Forecast_70,EURPrices+22_Forecast_70,EURPrices+23_Forecast_70,EURPrices+0_Forecast_90,EURPrices+1_Forecast_90,EURPrices+2_Forecast_90,EURPrices+3_Forecast_90,EURPrices+4_Forecast_90,EURPrices+5_Forecast_90,EURPrices+6_Forecast_90,EURPrices+7_Forecast_90,EURPrices+8_Forecast_90,EURPrices+9_Forecast_90,EURPrices+10_Forecast_90,EURPrices+11_Forecast_90,EURPrices+12_Forecast_90,EURPrices+13_Forecast_90,EURPrices+14_Forecast_90,EURPrices+15_Forecast_90,EURPrices+16_Forecast_90,EURPrices+17_Forecast_90,EURPrices+18_Forecast_90,EURPrices+19_Forecast_90,EURPrices+20_Forecast_90,EURPrices+21_Forecast_90,EURPrices+22_Forecast_90,EURPrices+23_Forecast_90
24.65,21.59,18.29,14.12,11.58,12.26,15.34,19.72,23.22,25.83,25.67,23.83,19.36,13.92,15.16,24.69,31.66,31.66,28.66,23.22,21,20.36,14.26,13.98,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,16.845,23.16,23.16,23.171,23.18,23.18,23.171,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.171,23.18,25.0776740871905,20.4542981547189,12.7985016671531,6.21582678859062,0.753518500671666,2.34292869988794,5.81831037746792,17.3243409182007,24.9676234327902,24.7824765928747,27.8856103448931,29.1109413175578,24.8497178232284,14.4161173019904,10.8704763160639,11.0757027017759,14.7546776148098,19.4113370968271,24.8117676453858,26.6361761437831,25.6483370878151,22.2347734128418,22.8623038570987,19.4777471940305,32.62,32.62,32.62,32.62,32.62,32.62,32.62,32.615,32.606,32.531,32.531,32.531,32.531,32.531,32.531,32.531,32.531,32.466,32.466,32.466,32.466,32.466,32.466,32.466,37.98,37.98,37.98,37.98,37.98,37.98,37.98,37.98,37.72,37.72,37.72,37.72,37.72,37.72,37.72,37.72,37.72,37.72,37.66,37.644,37.644,37.644,37.644,37.644
13,12.64,12.88,10.26,12.89,21.41,26.12,25.37,23.13,23.13,20.66,20.76,15,15,15,20.66,31.55,39.82,36,33.62,33.65,24.11,28.48,17.05,17.43,17.43,17.43,17.43,17.31,17.31,17.29,17.242,17.242,17.242,17.242,17.242,17.242,17.242,17.2,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,30,30,30,30,30,30,30,30,30,30,29.99,29.989,29.98,29.97,29.97,29.93,29.9,29.9,29.9,29.844,29.84,29.82,29.82,29.82,11.4701272162505,10.8628197531254,9.50224940624793,8.57609914963238,9.76110893898973,14.3326551544492,23.649108817948,32.0485956558395,34.3611263142907,31.8645489965577,30.9824214669475,32.0590186696245,30.6233114766576,27.2538986051131,27.6497229386577,35.9021266592112,43.3746575214417,44.3741009585141,36.7945767001703,30.2850424239024,29.8375911369503,28.5260656341034,22.0914037094246,18.3720787726498,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.74,60.729,60.729,60.729,60.729,60.729,60.729
15.88,15.75,16.23,17.7,21.21,23.45,30.73,34.89,33.4,30.61,30.06,30.06,26.06,23,23.45,30.57,33.94,37.16,37.3,35.23,35.74,34.06,30.06,28.25,17.17,17.14,17.033,17,17,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.989,16.989,16.989,16.989,16.989,16.989,16.989,16.989,16.989,29.82,29.82,29.82,29.82,29.82,29.81,29.807,29.794,29.78,29.749,29.736,29.726,29.72,29.7,29.694,29.694,29.681,29.681,29.681,29.681,29.681,29.681,29.65,29.64,15.5753381797199,15.7568603672048,15.9726993360142,15.5862401678991,16.5373852045007,20.2513526438078,28.6334789081703,36.197390768628,38.2201755934255,34.1819934386131,32.6814798177293,34.8563244844599,32.103000229578,30.0278521480152,28.4588332540737,33.0197977368063,45.9894352871337,46.0738753288417,40.8798477835324,38.3551128551495,36.3454975120004,32.5574197381844,30.786707646848,26.5828329823453,45,45,45,45,45,45,44.99,44.99,44.978,44.975,44.94,44.935,44.93,44.907,44.901,44.9,44.9,44.9,44.89,44.887,44.847,44.846,44.846,44.846,60.729,60.729,60.729,60.729,60.729,60.729,60.729,60.729,60.65,60.63,60.62,60.601,60.43,60.41,60.38,60.23,60.21,60.2,60.17,60.163,60.11,60.1,60.1,60.1
22.82,21.47,17.99,17.99,19.3,23.44,29.99,32.4,29.42,23.48,17.49,16.2,15,15,15.95,20,26.74,34.58,37,33.17,32.07,29.78,27.19,21.47,16.989,16.984,16.981,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,29.639,29.63,29.62,29.613,29.613,29.61,29.61,29.61,29.61,29.61,29.61,29.61,29.61,29.597,29.57,29.567,29.567,29.567,29.567,29.567,29.567,29.567,29.567,29.567,26.7193750650102,26.4244681944444,24.4960801515075,22.8392335590913,20.858497932125,20.6010649373421,27.9590828290328,31.815013794651,30.6156122869378,26.7885530832057,22.4767381853596,19.2501534310235,14.6198658143523,12.2137220686325,15.0761485645306,23.9753233336098,32.9324223780768,35.5439307509334,34.2869494208688,32.6194147569731,33.1295721679529,31.2999266112401,28.4568484468581,27.688510494812,44.846,44.846,44.846,44.846,44.846,44.846,44.841,44.826,44.82,44.81,44.81,44.806,44.806,44.806,44.806,44.806,44.8,44.798,44.796,44.791,44.788,44.788,44.788,44.788,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.054,60.054,60.054,60.054,60.054,60.054,60.054,60.054,60.054,60.054,60.01,60.01,60.01,60.01,60.01,60.01
18.62,18,17.12,17.4,18.55,23.25,28.04,35.22,35.19,32.87,31.9,32.46,27.09,22.68,23.26,26.13,29.21,25,15,11.88,11.05,5.75,-0.05,-0.05,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.93,16.845,16.804,16.748,16.748,16.748,16.748,16.748,16.748,16.748,16.748,16.748,29.561,29.561,29.561,29.561,29.561,29.561,29.55,29.55,29.55,29.541,29.537,29.52,29.512,29.512,29.512,29.512,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,20.7924108362054,20.9972481039302,22.0364721927664,24.0918809495215,24.230086386519,27.6016905080955,36.3399558867576,43.2691977622301,44.8734711938253,41.8466190843381,40.1510423549214,39.9059889202058,35.1421172810101,28.3930853575376,23.2149214992953,23.2311249758062,29.4485853680258,31.5367723490592,25.7788302376448,16.8916922454004,11.186590292444,5.08680028131632,-4.08566130149789,-13.5698056501129,44.788,44.788,44.788,44.788,44.788,44.788,44.788,44.788,44.776,44.776,44.776,44.776,44.776,44.776,44.776,44.776,44.776,44.775,44.759,44.757,44.757,44.757,44.757,44.757,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01
-1,-0.05,-1,-1,-1,-1,0,12.74,12.99,11.74,11.14,7.68,2.12,-0.05,-1,1.93,17.47,21.49,14.65,8.8,0,0,-1.03,-1.02,16.748,16.748,16.748,16.748,16.748,16.748,16.748,16.748,16.748,16.748,16.748,16.748,16.748,16.748,16.748,16.748,16.748,16.748,16.748,16.698,16.638,16.615,16.57,16.47,29.491,29.491,29.49,29.49,29.49,29.451,29.448,29.436,29.436,29.436,29.436,29.436,29.436,29.436,29.425,29.42,29.402,29.401,29.401,29.401,29.397,29.383,29.38,29.371,-5.90575985710283,-8.25630813424939,-10.0837061817589,-12.5231135730546,-15.7429892825094,-12.9501443963596,-4.85854111831212,-0.856072417378427,-0.784964601705986,-2.32930651701246,-2.57266843436085,-1.02072906215981,-5.56899045659195,-9.35451270639858,-9.54655543697345,-3.44730098033973,2.69406809906386,7.13524405269363,1.18672845816177,-0.573358012479882,1.30625249172908,1.52246886922794,0.0457028286914547,-3.49896262530214,44.757,44.757,44.757,44.757,44.757,44.757,44.75,44.739,44.737,44.734,44.732,44.7,44.7,44.7,44.7,44.7,44.7,44.69,44.688,44.677,44.655,44.65,44.65,44.65,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01
-10,-22.89,-29.81,-39.97,-41.09,-33.52,-20,-5,-1.01,-1.03,-5.59,-11.61,-15.18,-27.93,-27.93,-10,-1,11.36,12.67,12.78,13.56,12.99,0.02,-1.32,16.412,16.389,16.37,16.337,16.254,16.24,16.23,16.2,16.187,16.16,16.13,16.105,16.104,16.1,16.066,16.06,16.05,16.05,16.05,16.032,16,15.95,15.95,15.905,29.371,29.366,29.334,29.334,29.33,29.31,29.31,29.31,29.31,29.307,29.305,29.3,29.287,29.285,29.284,29.261,29.261,29.261,29.261,29.25,29.22,29.217,29.21,29.21,-3.39744065064773,-4.75480256828337,-6.0241291512615,-6.7227069550312,-8.47343236177987,-10.7905257777728,-5.4317551625968,0.34865399551794,1.78684496055638,0.502997427307716,-0.252578949008645,-2.181032409654,-4.71582768048169,-6.50539093588253,-6.66817741780613,0.737035954570924,15.2296434868388,20.9480290523948,17.3342305536561,14.0796029057371,13.6318955927071,14.9727656762763,8.63462297804716,5.40683193583689,44.65,44.65,44.65,44.65,44.65,44.65,44.62,44.587,44.56,44.56,44.554,44.531,44.51,44.502,44.49,44.481,44.477,44.474,44.46,44.435,44.43,44.43,44.43,44.43,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60,60,60,60,60,60,60,60,59.996,59.96,59.918,59.9,59.9,59.89,59.89,59.89
-6.5,-17.13,-20,-22.89,-28.11,-24.92,-20,-1.1,3.3,11.4,12.47,15.7,19.04,18.54,18.16,18.16,27.93,46.03,40.26,42.6,45.82,42.6,37.29,29.72,15.905,15.9,15.88,15.87,15.75,15.66,15.628,15.62,15.6,15.56,15.49,15.34,15.27,15.2,15.19,15.16,15.09,15,15,15,15,15,15,15,29.2,29.2,29.194,29.191,29.15,29.14,29.131,29.13,29.13,29.123,29.116,29.103,29.064,29.06,29.03,29.024,29,29,29,29,29,29,29,29,-2.0363714330583,-0.308533712886808,-0.747431376775379,-5.03018884590963,-5.21877331963999,-0.228045807222708,7.27656109069051,15.8623164483274,19.6225409108441,23.2375932447212,24.5643823054219,24.8178839529997,22.7655991356373,17.8011793314052,19.5024429110767,29.1769506439528,38.3118419671749,39.0215922553914,32.1614396751276,30.3892183708099,33.9018800472375,30.5143948826414,22.4865130624888,18.0540365226852,44.43,44.43,44.43,44.43,44.43,44.43,44.43,44.43,44.43,44.422,44.414,44.414,44.388,44.388,44.388,44.388,44.388,44.384,44.38,44.377,44.377,44.377,44.377,44.377,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89
23.65,20.3,18.07,16.51,17.1,19.99,22.05,27.69,26.52,20,17.2,15.09,13.62,12.95,13.62,18.08,24.26,34,35.22,34.91,36.01,35,28.78,27.5,15,15,15,15,15,15,15,15,15,14.822,14.769,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,19.7596266155279,12.2884464483339,8.47493225729862,5.22749803526427,1.6636950297769,2.96848985137944,9.8092487227627,17.9338797603786,15.6814445524464,10.9536424446859,6.02610145149321,7.35364182212824,7.17088587882575,5.46697690774343,7.12925509832871,12.9834717747516,29.1581676697693,32.8034827850485,26.0551913141239,27.5939616363265,32.2582437565991,32.8095379329439,25.7388681717971,22.5069063890707,44.377,44.377,44.377,44.377,44.377,44.377,44.377,44.377,44.377,44.377,44.377,44.377,44.377,44.377,44.377,44.377,44.377,44.36,44.36,44.34,44.323,44.34,44.34,44.34,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.89,59.81,59.72,59.72,59.72,59.72,59.72
25.91,25.42,24.63,25,27.9,31,30.87,37,35.51,32.85,30.81,33.37,28.16,23.89,27.96,35.85,32.86,41.69,40.61,35.62,33.27,29.78,37.93,32.26,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.67,14.66,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,29,29,29,29,29,29,29,28.993,28.99,28.99,28.99,28.97,28.963,28.96,28.945,28.945,28.94,28.9,28.9,28.9,28.9,28.9,28.9,28.9,26.1804919453143,25.6521613461835,25.8348928085971,22.6182696676178,19.975455865348,21.8534666919479,31.1485834097205,41.8702527363507,41.6510280869534,40.0504399624497,36.9964673966373,34.3336291924255,30.1283812250798,26.8316134844852,27.8544176356174,31.8599751579825,40.3482068551423,46.2589611259777,43.309064376256,38.0347751712835,38.4235964039185,35.981560278692,27.6954821311278,26.5853808990619,44.34,44.34,44.34,44.34,44.34,44.34,44.323,44.32,44.32,44.32,44.306,44.29,44.29,44.28,44.278,44.262,44.229,44.207,44.2,44.2,44.198,44.198,44.198,44.198,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.72,59.717,59.682,59.61,59.61,59.61,59.61,59.61,59.61
