EURPrices+0,EURPrices+1,EURPrices+2,EURPrices+3,EURPrices+4,EURPrices+5,EURPrices+6,EURPrices+7,EURPrices+8,EURPrices+9,EURPrices+10,EURPrices+11,EURPrices+12,EURPrices+13,EURPrices+14,EURPrices+15,EURPrices+16,EURPrices+17,EURPrices+18,EURPrices+19,EURPrices+20,EURPrices+21,EURPrices+22,EURPrices+23,EURPrices+0_Forecast_10,EURPrices+1_Forecast_10,EURPrices+2_Forecast_10,EURPrices+3_Forecast_10,EURPrices+4_Forecast_10,EURPrices+5_Forecast_10,EURPrices+6_Forecast_10,EURPrices+7_Forecast_10,EURPrices+8_Forecast_10,EURPrices+9_Forecast_10,EURPrices+10_Forecast_10,EURPrices+11_Forecast_10,EURPrices+12_Forecast_10,EURPrices+13_Forecast_10,EURPrices+14_Forecast_10,EURPrices+15_Forecast_10,EURPrices+16_Forecast_10,EURPrices+17_Forecast_10,EURPrices+18_Forecast_10,EURPrices+19_Forecast_10,EURPrices+20_Forecast_10,EURPrices+21_Forecast_10,EURPrices+22_Forecast_10,EURPrices+23_Forecast_10,EURPrices+0_Forecast_30,EURPrices+1_Forecast_30,EURPrices+2_Forecast_30,EURPrices+3_Forecast_30,EURPrices+4_Forecast_30,EURPrices+5_Forecast_30,EURPrices+6_Forecast_30,EURPrices+7_Forecast_30,EURPrices+8_Forecast_30,EURPrices+9_Forecast_30,EURPrices+10_Forecast_30,EURPrices+11_Forecast_30,EURPrices+12_Forecast_30,EURPrices+13_Forecast_30,EURPrices+14_Forecast_30,EURPrices+15_Forecast_30,EURPrices+16_Forecast_30,EURPrices+17_Forecast_30,EURPrices+18_Forecast_30,EURPrices+19_Forecast_30,EURPrices+20_Forecast_30,EURPrices+21_Forecast_30,EURPrices+22_Forecast_30,EURPrices+23_Forecast_30,EURPrices+0_Forecast_50,EURPrices+1_Forecast_50,EURPrices+2_Forecast_50,EURPrices+3_Forecast_50,EURPrices+4_Forecast_50,EURPrices+5_Forecast_50,EURPrices+6_Forecast_50,EURPrices+7_Forecast_50,EURPrices+8_Forecast_50,EURPrices+9_Forecast_50,EURPrices+10_Forecast_50,EURPrices+11_Forecast_50,EURPrices+12_Forecast_50,EURPrices+13_Forecast_50,EURPrices+14_Forecast_50,EURPrices+15_Forecast_50,EURPrices+16_Forecast_50,EURPrices+17_Forecast_50,EURPrices+18_Forecast_50,EURPrices+19_Forecast_50,EURPrices+20_Forecast_50,EURPrices+21_Forecast_50,EURPrices+22_Forecast_50,EURPrices+23_Forecast_50,EURPrices+0_Forecast_70,EURPrices+1_Forecast_70,EURPrices+2_Forecast_70,EURPrices+3_Forecast_70,EURPrices+4_Forecast_70,EURPrices+5_Forecast_70,EURPrices+6_Forecast_70,EURPrices+7_Forecast_70,EURPrices+8_Forecast_70,EURPrices+9_Forecast_70,EURPrices+10_Forecast_70,EURPrices+11_Forecast_70,EURPrices+12_Forecast_70,EURPrices+13_Forecast_70,EURPrices+14_Forecast_70,EURPrices+15_Forecast_70,EURPrices+16_Forecast_70,EURPrices+17_Forecast_70,EURPrices+18_Forecast_70,EURPrices+19_Forecast_70,EURPrices+20_Forecast_70,EURPrices+21_Forecast_70,EURPrices+22_Forecast_70,EURPrices+23_Forecast_70,EURPrices+0_Forecast_90,EURPrices+1_Forecast_90,EURPrices+2_Forecast_90,EURPrices+3_Forecast_90,EURPrices+4_Forecast_90,EURPrices+5_Forecast_90,EURPrices+6_Forecast_90,EURPrices+7_Forecast_90,EURPrices+8_Forecast_90,EURPrices+9_Forecast_90,EURPrices+10_Forecast_90,EURPrices+11_Forecast_90,EURPrices+12_Forecast_90,EURPrices+13_Forecast_90,EURPrices+14_Forecast_90,EURPrices+15_Forecast_90,EURPrices+16_Forecast_90,EURPrices+17_Forecast_90,EURPrices+18_Forecast_90,EURPrices+19_Forecast_90,EURPrices+20_Forecast_90,EURPrices+21_Forecast_90,EURPrices+22_Forecast_90,EURPrices+23_Forecast_90
24.65,21.59,18.29,14.12,11.58,12.26,15.34,19.72,23.22,25.83,25.67,23.83,19.36,13.92,15.16,24.69,31.66,31.66,28.66,23.22,21,20.36,14.26,13.98,17.4218296472415,9.40734559533004,3.9793191756719,-1.97139716117661,-5.15415685714929,-4.75680656306004,-3.63531676701763,-0.847212163748745,3.89746990465326,2.09269901006647,3.53311336565735,3.81667792038681,3.01747119567518,-0.563785331996314,0.398048718729878,5.99673325812667,11.5371296407881,12.2431705345991,7.2150152332919,3.97750225361362,4.70524980768355,2.18175088907159,-4.75074593982906,-9.77460331134942,21.0835930284426,14.6433186420015,10.4550693287236,4.92898527233687,2.30158443228474,2.19256445527711,1.57629741677431,5.53866084275138,7.58831302390011,8.09075686010295,8.93398953413382,9.76803936152077,8.10646904859806,5.90218133655524,5.06739447791976,11.8435899292177,17.027792410331,19.261012049969,14.8003227810827,11.8308595458194,10.7037386864848,8.65714241008005,3.03861651424793,-3.17504050604017,25.0776740871905,20.4542981547189,12.7985016671531,6.21582678859062,0.753518500671666,2.34292869988794,5.81831037746792,17.3243409182007,24.9676234327902,24.7824765928747,27.8856103448931,29.1109413175578,24.8497178232284,14.4161173019904,10.8704763160639,11.0757027017759,14.7546776148098,19.4113370968271,24.8117676453858,26.6361761437831,25.6483370878151,22.2347734128418,22.8623038570987,19.4777471940305,34.4471742090151,30.0818343051484,27.2574885143621,21.2413322076091,18.765850255649,18.7023772871558,18.2539287949481,22.260080177163,24.0765918897143,24.6790661481279,25.5660886857451,26.3373495498142,24.7959660426166,22.5966317149732,21.6184031792442,28.1794787918275,33.6541046661904,35.8752526963314,31.335859547135,28.5682748595401,27.2920827836223,25.3509514425202,19.6555956364098,13.4081871283898,39.914476818262,35.5646532201469,32.5108238067144,26.3051874640675,23.9671886628702,23.3267372144058,25.1485529763295,28.2656427938318,32.6414894130151,31.274253804378,32.2046107106281,32.4586437864757,31.9076222195399,28.0760023419539,29.2849963505658,34.9286857346281,40.3276588918867,40.6787660469893,36.1685131199496,32.4545759230472,33.7219515059868,31.1213403894988,24.0025146726587,19.3991456586823
13,12.64,12.88,10.26,12.89,21.41,26.12,25.37,23.13,23.13,20.66,20.76,15,15,15,20.66,31.55,39.82,36,33.62,33.65,24.11,28.48,17.05,5.93020323184474,0.626597346281654,-2.46636107002,-3.78361722392538,-3.31168425075416,0.566110026430806,10.061166937105,17.9248850207769,18.6607475827842,17.6827712454372,15.6074426995439,18.1172148566675,17.1035328117168,13.7592853266032,11.7576964874368,22.1800741347534,29.2974299641499,27.9919765363889,21.1013488150393,16.0443955472987,14.4311174272011,12.9757969017646,5.20147951933938,4.48319766903047,9.08146264316005,5.65740524596204,3.59516424008271,2.28578191716101,3.27840545510462,6.28648942315568,14.8258339145492,22.654180767051,24.9716720815849,21.2903159066985,21.2362574354825,25.8485500409348,21.8492354889602,18.1854892916522,18.2125902731862,27.4254259571165,39.8311870334143,33.5135667266427,28.3007113358718,22.7573931201683,20.1517833428488,18.6680434714791,13.6077945076427,8.97603948644674,11.4701272162505,10.8628197531254,9.50224940624793,8.57609914963238,9.76110893898973,14.3326551544492,23.649108817948,32.0485956558395,34.3611263142907,31.8645489965577,30.9824214669475,32.0590186696245,30.6233114766576,27.2538986051131,27.6497229386577,35.9021266592112,43.3746575214417,44.3741009585141,36.7945767001703,30.2850424239024,29.8375911369503,28.5260656341034,22.0914037094246,18.3720787726498,21.8981724000112,20.8125637657069,19.540233553132,18.8014565082255,19.6396572861593,22.8467234929799,31.5860511043381,39.3022372741616,41.8422360655021,37.9599407121489,37.9196270720181,42.6850869252426,38.4915756722183,34.8586851305804,34.889914091393,44.0738715633482,56.6498286960119,50.1572620811044,45.0927931687575,39.34609055364,36.8367718415366,35.3042877685067,30.2841150604686,25.5641814046291,27.6522620048855,26.9438638105151,26.7471790071895,24.7159068925907,25.3976434469997,29.9832586165187,38.9526368925493,46.9430610995733,47.5066176007895,46.4243855871731,44.5559709893388,46.8113419394922,46.1894998756206,42.5061668115886,40.0880845565897,50.9248451384765,58.2248238774189,56.8957231413084,49.9646195746218,45.1000071577113,43.5454658387612,41.7823526497504,34.0792041668613,33.190444449426
15.88,15.75,16.23,17.7,21.21,23.45,30.73,34.89,33.4,30.61,30.06,30.06,26.06,23,23.45,30.57,33.94,37.16,37.3,35.23,35.74,34.06,30.06,28.25,3.53967437984347,1.31061470139964,-0.519994357123844,1.16826148260111,2.89836098189836,4.75294143895727,14.2017304891843,21.3865683861641,24.0899297458957,19.7667524395061,15.1491145955664,20.8566970499049,17.7653555534308,13.0976862605156,13.5014086305261,19.7241767432059,30.5166268571669,29.1149991557876,24.1213437303823,22.8105796180855,22.1129957564894,17.6165116152629,16.2890746790993,14.3120624073867,7.73334191425937,7.86851433676988,4.20647118527687,5.44735859520904,7.207944168496,11.1883425770512,20.5135414738461,28.0439031359964,30.169325627181,26.3612400317909,22.8745298717911,27.3029169108603,22.2916357962705,20.8727335309723,18.5797735099183,24.6759231673243,35.9440543349656,34.8133514955802,31.4591163000605,29.9994174974935,28.5894370632514,23.5107951893998,22.8842761749194,20.3853778215989,15.5753381797199,15.7568603672048,15.9726993360142,15.5862401678991,16.5373852045007,20.2513526438078,28.6334789081703,36.197390768628,38.2201755934255,34.1819934386131,32.6814798177293,34.8563244844599,32.103000229578,30.0278521480152,28.4588332540737,33.0197977368063,45.9894352871337,46.0738753288417,40.8798477835324,38.3551128551495,36.3454975120004,32.5574197381844,30.786707646848,26.5828329823453,19.0344641028275,21.4462454692772,19.9560458465318,21.4023890364932,23.5330083507775,27.577158456873,36.5399005551144,44.4400971171671,46.5685575378866,42.6179844165566,39.1211991642411,43.7087081935141,38.4176695792295,36.9899911260346,34.7825713996278,41.2131298171046,52.1593410666855,51.0736855104728,47.5990207991144,46.3132955568807,44.9413190441474,39.7626815571976,39.3150031799243,36.8417929979905,23.9231925988376,25.3067342006062,27.636866948113,29.8087167285728,31.2671649598647,33.8967889044724,43.2434852117795,50.2888282128242,53.2594749195408,48.8580734310222,44.2256116735083,50.1747111948023,46.8721670768683,42.2076725657524,42.6722508012414,48.5696586157645,59.4879718049819,58.4292357967178,53.057450412206,52.0024607978951,51.5684305556838,46.7231762728557,45.2729070384133,43.6934205540542
22.82,21.47,17.99,17.99,19.3,23.44,29.99,32.4,29.42,23.48,17.49,16.2,15,15,15.95,20,26.74,34.58,37,33.17,32.07,29.78,27.19,21.47,19.7209937625239,15.0080479992081,10.3004358167055,9.01293158665262,6.80717814583478,6.45486688883264,13.744723746959,17.2375932903754,16.826900637069,13.1533428088672,8.65976978153792,3.09604796090452,-1.59421111567129,-3.84718812606595,-0.6700246862227,7.96132864566451,18.8850278680157,19.1495742436478,19.4644251569589,17.6768324919352,17.6946141885984,15.0505422777999,15.4111420810499,12.0982841232285,22.0285397158645,19.0206497151495,16.8246546684344,13.8333263650932,13.2195860417039,11.0985191865213,18.5673290308122,21.8241120994296,21.65743009398,17.0231039496367,13.5956411633802,9.23948103952229,4.20038063975941,3.0207885455934,6.44742002613217,16.9836398947487,24.3853846887987,27.27759578587,24.1203607800054,22.1614292721878,24.5228423461466,21.5710926566494,20.5201508666835,18.8136916306507,26.7193750650102,26.4244681944444,24.4960801515075,22.8392335590913,20.858497932125,20.6010649373421,27.9590828290328,31.815013794651,30.6156122869378,26.7885530832057,22.4767381853596,19.2501534310235,14.6198658143523,12.2137220686325,15.0761485645306,23.9753233336098,32.9324223780768,35.5439307509334,34.2869494208688,32.6194147569731,33.1295721679529,31.2999266112401,28.4568484468581,27.688510494812,35.2910214053176,34.1729853589178,33.0757556854327,30.1147899881401,29.8195568592699,28.1052130265482,35.4546457346086,38.86709420087,38.7483162100078,33.9258749457304,30.6117706570936,26.2496329026204,21.3134215638317,20.0959151935426,23.5361441624847,33.9612247336159,41.3725720743578,44.3447459018368,41.1632503750371,39.1354111294876,41.4552983626871,38.4965544257534,37.4595238830409,35.8759713318836,41.8706076197932,41.5342378032852,38.7621791715029,38.1900165094431,35.4831444086522,35.4588532474752,42.7485403515733,46.1961532803046,45.7307922004845,42.1512876407153,37.5510985931834,32.2883468500647,27.2892041064967,25.4054440150473,28.325335688228,36.9641639194072,47.8082332436871,48.2290658589432,48.4857397779306,46.6539004393229,46.3903548883665,43.8316349215377,44.6044852435865,40.8421987274155
18.62,18,17.12,17.4,18.55,23.25,28.04,35.22,35.19,32.87,31.9,32.46,27.09,22.68,23.26,26.13,29.21,25,15,11.88,11.05,5.75,-0.05,-0.05,7.76747020623487,3.93443281676188,5.46049289981115,7.55577017274893,8.34505626807516,14.3175174397546,20.3157497656744,27.7172988393365,31.1297962096079,27.6560845377481,26.5842806906735,26.810995811933,20.2532602151929,11.7610654970234,6.87609292843935,8.10323091556997,15.1548205940536,17.5333454778933,12.0175508079036,1.27168586053462,-3.95960101437282,-9.78618585897918,-17.8388996468571,-27.5945852143654,12.6774385384287,9.81436790495777,10.1164465278494,14.9304560856791,14.0333915115177,19.7918033683913,29.6559502068142,35.4712771222031,36.2832651840882,34.7530954466791,32.8219658805485,30.6166932194745,26.1052962951883,20.5137033102251,15.3369399271772,14.1144212064485,19.0061928503126,18.9837289084569,16.025273412976,7.5850384198693,0.53898686963579,-4.36752166282967,-13.1825659865636,-21.2908135445228,20.7924108362054,20.9972481039302,22.0364721927664,24.0918809495215,24.230086386519,27.6016905080955,36.3399558867576,43.2691977622301,44.8734711938253,41.8466190843381,40.1510423549214,39.9059889202058,35.1421172810101,28.3930853575376,23.2149214992953,23.2311249758062,29.4485853680258,31.5367723490592,25.7788302376448,16.8916922454004,11.186590292444,5.08680028131632,-4.08566130149789,-13.5698056501129,24.1176762989726,24.4787784960833,25.9017434448111,31.3695649342509,31.0668511749088,36.7517294967788,46.3881169739346,52.2199410244858,52.9096585022644,51.5055916892023,49.5485445930119,47.250643452934,42.7722202949747,37.1419028875566,31.9586983881757,30.869181948636,36.0155340902418,35.7486224402563,32.8674460356566,24.1092498265771,17.3974739988472,12.1722403572814,3.40022152716931,-4.49671802831796,26.7517846479158,29.3216188671769,33.3969800976871,36.9869825979809,37.538219186166,43.0625478428918,49.3610302222174,56.402666423565,60.072607221876,56.3904299738443,55.2663151831662,55.7257077641425,49.132462104231,40.6116714616841,35.7512302575409,36.8298983197448,44.0743743507675,46.3276646307253,40.9297774848445,29.8375609139404,25.0945562427073,19.0507920997,11.2076663626644,1.31962701250231
-1,-0.05,-1,-1,-1,-1,0,12.74,12.99,11.74,11.14,7.68,2.12,-0.05,-1,1.93,17.47,21.49,14.65,8.8,0,0,-1.03,-1.02,-11.7763560788268,-18.6644600533218,-21.5657217282654,-26.7284789713687,-29.4478451651128,-26.1867778663505,-19.3209804339471,-15.9878409323037,-14.8906257552293,-17.3829287431282,-18.9911963398563,-17.7889939237688,-21.3899717089091,-26.3908625552247,-25.2492547299479,-18.0835015404734,-11.3636412575618,-6.36735162177383,-14.5753012780766,-16.2459771515424,-12.7943114056408,-15.0411135276067,-14.9458675886714,-18.2592797247666,-8.43038923922979,-12.6653773036251,-16.4845325229577,-20.4199212355505,-23.3440707948894,-21.6135038312209,-13.4701864642136,-10.9161418484539,-9.13846196655815,-9.84020457346409,-13.5397480236104,-11.6487284784888,-15.5655003301233,-19.7986958239984,-18.4659202120866,-13.7747931845358,-5.7146238404405,-4.59532723544448,-9.42970132400987,-9.45361834115278,-6.92323097410115,-6.26814737359878,-9.12062585679357,-13.3217875087963,-5.90575985710283,-8.25630813424939,-10.0837061817589,-12.5231135730546,-15.7429892825094,-12.9501443963596,-4.85854111831212,-0.856072417378427,-0.784964601705986,-2.32930651701246,-2.57266843436085,-1.02072906215981,-5.56899045659195,-9.35451270639858,-9.54655543697345,-3.44730098033973,2.69406809906386,7.13524405269363,1.18672845816177,-0.573358012479882,1.30625249172908,1.52246886922794,0.0457028286914547,-3.49896262530214,4.33945433910883,1.89918358657262,-0.710509466927444,-4.43435128163206,-7.07288968832202,-4.89185656864766,3.26941467104032,5.77439035903515,7.34625826354439,6.67202105443509,3.09026591910815,4.89664877599729,0.999771524277312,-3.18402602419367,-1.76117825728309,2.95789142773836,10.9484587591994,12.0545188415209,7.34494209716323,7.19257754736651,9.71637883958903,10.4268141742528,7.42193615111049,3.33098253362314,9.69214119747932,12.9862662650375,6.19283463770135,0.954253610723615,-0.503140155652355,2.62626763535848,9.82031595277161,13.1414420190512,14.3301670151565,11.6870566465813,10.2980092112911,11.1505164216902,7.5544710401143,2.55453100709217,4.04647013882652,10.8844654929128,17.8050761267766,22.3900250490636,14.7182740087887,12.8750517486041,16.4941102252186,14.0411675850642,14.1524571870244,10.7354407342178
-10,-22.89,-29.81,-39.97,-41.09,-33.52,-20,-5,-1.01,-1.03,-5.59,-11.61,-15.18,-27.93,-27.93,-10,-1,11.36,12.67,12.78,13.56,12.99,0.02,-1.32,-8.85416579847974,-14.3148669350215,-16.793592051571,-19.6924023261778,-21.7228752547632,-24.3449977394896,-19.075702344343,-12.2018121251279,-11.9257342728026,-11.099077030026,-10.7132337000897,-14.716233300938,-17.6713299452575,-16.997920379759,-18.3291729246152,-11.3595601556121,2.6609292376353,8.16938111087845,2.74404360506547,0.150220578120653,0.693436604911355,0.94081884145902,-4.73140818975317,-10.2937969089841,-5.1716307681169,-7.76465278596174,-12.4143144341262,-13.9855472039964,-15.3604977951623,-20.6352520509734,-14.4212477577135,-7.1118700514021,-5.24981925728421,-5.9716284222426,-7.91676819017343,-7.24373918259955,-11.744951707614,-11.0985557973712,-12.0864903343143,-4.42123974836808,7.08020252672453,12.8979589080123,10.0942957398399,6.20031640144285,4.81846900310299,6.54239936781118,0.225417675889759,-6.15386053044866,-3.39744065064773,-4.75480256828337,-6.0241291512615,-6.7227069550312,-8.47343236177987,-10.7905257777728,-5.4317551625968,0.34865399551794,1.78684496055638,0.502997427307716,-0.252578949008645,-2.181032409654,-4.71582768048169,-6.50539093588253,-6.66817741780613,0.737035954570924,15.2296434868388,20.9480290523948,17.3342305536561,14.0796029057371,13.6318955927071,14.9727656762763,8.63462297804716,5.40683193583689,7.25954494065385,6.45056051283587,3.57235701362775,1.77910981657248,0.77980200189578,-4.2279811426177,1.92539282913952,9.26919054887866,10.9215421890964,10.287144427794,8.495598676892,9.04048198973322,4.55778600524609,5.29556871053282,4.3418152916012,11.8838878723289,23.360055393851,29.2408606147078,26.3440344330772,22.5639562329858,21.1580915006616,23.0284137339611,16.4719844483507,10.0120225338214,13.4101312100347,11.3638850104741,10.7738823136634,8.48277429430561,6.66078410802976,3.74099507362079,9.21483453615014,15.8852287760562,16.2426149932497,17.1638299981722,17.9038269612262,13.5540027143818,10.4929557145325,11.3276678465594,10.0706388200747,16.9652117254914,30.892427955897,36.6706838299947,31.0998613998653,28.5236346177325,29.2394943060222,29.4204502654092,23.7639168987478,17.9505954860354
-6.5,-17.13,-20,-22.89,-28.11,-24.92,-20,-1.1,3.3,11.4,12.47,15.7,19.04,18.54,18.16,18.16,27.93,46.03,40.26,42.6,45.82,42.6,37.29,29.72,-14.8440185779333,-19.2904981180249,-16.0042285268021,-20.6015373482369,-20.1878665599461,-13.8481491243966,-6.68260900730274,2.36669070466224,5.30131700838863,8.78291984637224,10.293711560861,9.96188788586493,7.04467685300551,1.69812374865649,3.76200315557644,12.2745551083303,21.1940520955226,20.4455402135444,15.2259974622604,13.5838617334184,18.065898808243,16.7354823167766,9.02256884840767,4.26167652470471,-11.3353527934277,-10.3751467554806,-13.5963741031873,-16.558504503237,-16.6521327928318,-7.76601336368647,0.238777102731699,7.55270097936564,11.1728488437509,13.7858354597508,13.5507176842821,15.0650591916099,11.0797010780655,9.57738611321064,7.87782636319365,16.9615708630982,28.6723796505598,29.5332707735994,23.1191817395881,20.5357324639524,27.9256785451994,21.8789710330726,13.6505442329803,7.32481091995394,-2.0363714330583,-0.308533712886808,-0.747431376775379,-5.03018884590963,-5.21877331963999,-0.228045807222708,7.27656109069051,15.8623164483274,19.6225409108441,23.2375932447212,24.5643823054219,24.8178839529997,22.7655991356373,17.8011793314052,19.5024429110767,29.1769506439528,38.3118419671749,39.0215922553914,32.1614396751276,30.3892183708099,33.9018800472375,30.5143948826414,22.4865130624888,18.0540365226852,0.102044209746154,3.68999492237582,1.98398011052733,-0.476473730074115,0.118863300918242,8.45797469249639,16.7770747559299,24.3235316106217,27.703722142396,30.3786079435765,30.098068567766,31.740870959188,27.740000379213,26.3149611673793,24.5340878072854,33.6805602353516,45.3191649098067,46.1807760569552,39.7968393438056,37.2286016503537,44.6482947408781,38.4962977695228,30.3142882057586,24.0683802940384,6.05902803003792,8.36288799800292,10.8908167536544,6.99773537972945,9.41478122142594,15.7316781842582,22.6218047881685,31.4597569201774,34.3536966165429,38.1141843422218,39.4078272758879,38.8725324171149,36.3400259740993,30.8355444029534,32.8895857056253,41.4450806591726,50.3244517995021,49.7274511098457,44.4024233960982,42.6695274362383,47.5153674209139,45.9856549318279,37.9106017616157,33.4655883060157
23.65,20.3,18.07,16.51,17.1,19.99,22.05,27.69,26.52,20,17.2,15.09,13.62,12.95,13.62,18.08,24.26,34,35.22,34.91,36.01,35,28.78,27.5,13.3361948722904,3.63776214742865,-2.82484434986744,-6.61888154700012,-10.7542295158261,-8.90786083052906,-3.057814719067,5.55566979483513,0.253223918642302,-3.26510517035838,-7.5844988196102,-7.40959540234901,-8.91713991078516,-8.09469668800679,-4.43497976734765,-1.67466932228794,11.4138316917388,16.5576264223194,9.74888459412561,13.4535837575984,18.6837243217711,18.5517046037988,11.9741133492898,7.21642580798394,18.2323520245363,8.44237295958888,2.39530941750742,-1.04586119678863,-5.50144413046049,-3.0491475521394,1.73153888231189,9.21270618613135,8.51734441681968,5.47225634018788,-5.68754934326103,-2.29357361218595,-0.221942043558707,-3.0074771898838,-1.27270347744647,1.75089344887653,22.3943316934238,24.106149154176,14.5750283331969,18.9553309003813,24.6053619761722,26.6315777758664,17.1209019078516,13.2608317608162,19.7596266155279,12.2884464483339,8.47493225729862,5.22749803526427,1.6636950297769,2.96848985137944,9.8092487227627,17.9338797603786,15.6814445524464,10.9536424446859,6.02610145149321,7.35364182212824,7.17088587882575,5.46697690774343,7.12925509832871,12.9834717747516,29.1581676697693,32.8034827850485,26.0551913141239,27.5939616363265,32.2582437565991,32.8095379329439,25.7388681717971,22.5069063890707,33.7170655789187,25.0627547917117,18.5550055196498,15.3102016923105,11.2143370813925,13.6942177356414,18.4536286497679,25.9210883158005,25.1090726272689,22.1895043031395,11.1327655409248,14.5391218719754,16.3735145566305,13.5756255132107,15.3881189140635,18.5097096910945,38.9569885728489,40.8104853205578,31.2933782668211,35.812486700247,41.1857991595524,43.4207723597592,33.9362409962915,29.989395069532,35.6248658889835,30.4107886137983,26.6027698621687,22.551637328122,18.1679859459049,20.3231734483406,26.2831457835575,34.657165537633,29.4526562916892,26.1533566292632,21.4534774453434,21.5742464937081,20.5674696930967,21.2784617668882,24.5836741022813,27.6642283827902,40.4504298973052,45.8118044694996,39.133554851694,42.6707182333065,48.2538127083068,47.6940557543115,41.0456780236672,36.3485678749395
25.91,25.42,24.63,25,27.9,31,30.87,37,35.51,32.85,30.81,33.37,28.16,23.89,27.96,35.85,32.86,41.69,40.61,35.62,33.27,29.78,37.93,32.26,22.3525301053153,16.3561615848497,14.3257701989445,10.3179290532119,7.3754229294645,8.49973440076426,16.1596812340895,26.8834638096193,28.7097891895774,24.1384634112248,19.6039353804181,17.3961761630389,14.627133982345,10.1283307297957,13.0793773445661,17.4449298912704,25.9698052293907,29.9714774432148,27.350311298907,20.6739695643465,22.6184624589372,19.6875398574051,12.1260502581197,11.8969912635107,23.9708530360461,22.5653620226954,21.9462503484168,16.8815059716513,15.5440046963682,13.2414736107198,24.5663248381682,34.5788780064612,33.952024844242,30.7757683744831,27.41089653526,25.7515164562701,21.9204193787546,16.1377597990029,20.518403064329,22.8356145292855,31.4917514677638,37.5562153596198,35.5088515089456,30.5308623450644,28.9880204239295,27.5854614594182,20.2779346871365,18.2802109622671,26.1804919453143,25.6521613461835,25.8348928085971,22.6182696676178,19.975455865348,21.8534666919479,31.1485834097205,41.8702527363507,41.6510280869534,40.0504399624497,36.9964673966373,34.3336291924255,30.1283812250798,26.8316134844852,27.8544176356174,31.8599751579825,40.3482068551423,46.2589611259777,43.309064376256,38.0347751712835,38.4235964039185,35.981560278692,27.6954821311278,26.5853808990619,36.7145534211398,38.3714910014247,38.9238785794654,33.3302469308188,31.7084109959592,30.113179619631,41.3914228758879,51.2688623280554,50.5165857344398,47.5286789884968,44.0547430471008,42.5203515240191,38.4860893921823,32.9375082197182,37.1951303592509,39.5650790602304,48.297611987173,54.1305619019782,52.2109265135233,47.234550012911,45.5688262024329,44.116644702216,36.8175703454006,34.961703767748,44.7584568097221,43.3792109394029,43.4967973824772,38.6692273854263,36.3308863388883,37.1411967268141,45.5788973900954,56.4374389149049,58.2587832539085,53.4078258608708,49.5597802595685,46.8536308444354,44.1879164149011,39.7813620789778,42.937651804405,46.765415959996,55.4747052080284,59.6637601199116,56.9785824018123,50.2660582636873,52.3087052262712,49.3558834014115,41.6586001162129,41.3490195380468
