EURPrices+0,EURPrices+1,EURPrices+2,EURPrices+3,EURPrices+4,EURPrices+5,EURPrices+6,EURPrices+7,EURPrices+8,EURPrices+9,EURPrices+10,EURPrices+11,EURPrices+12,EURPrices+13,EURPrices+14,EURPrices+15,EURPrices+16,EURPrices+17,EURPrices+18,EURPrices+19,EURPrices+20,EURPrices+21,EURPrices+22,EURPrices+23,EURPrices+0_Forecast_10,EURPrices+1_Forecast_10,EURPrices+2_Forecast_10,EURPrices+3_Forecast_10,EURPrices+4_Forecast_10,EURPrices+5_Forecast_10,EURPrices+6_Forecast_10,EURPrices+7_Forecast_10,EURPrices+8_Forecast_10,EURPrices+9_Forecast_10,EURPrices+10_Forecast_10,EURPrices+11_Forecast_10,EURPrices+12_Forecast_10,EURPrices+13_Forecast_10,EURPrices+14_Forecast_10,EURPrices+15_Forecast_10,EURPrices+16_Forecast_10,EURPrices+17_Forecast_10,EURPrices+18_Forecast_10,EURPrices+19_Forecast_10,EURPrices+20_Forecast_10,EURPrices+21_Forecast_10,EURPrices+22_Forecast_10,EURPrices+23_Forecast_10,EURPrices+0_Forecast_30,EURPrices+1_Forecast_30,EURPrices+2_Forecast_30,EURPrices+3_Forecast_30,EURPrices+4_Forecast_30,EURPrices+5_Forecast_30,EURPrices+6_Forecast_30,EURPrices+7_Forecast_30,EURPrices+8_Forecast_30,EURPrices+9_Forecast_30,EURPrices+10_Forecast_30,EURPrices+11_Forecast_30,EURPrices+12_Forecast_30,EURPrices+13_Forecast_30,EURPrices+14_Forecast_30,EURPrices+15_Forecast_30,EURPrices+16_Forecast_30,EURPrices+17_Forecast_30,EURPrices+18_Forecast_30,EURPrices+19_Forecast_30,EURPrices+20_Forecast_30,EURPrices+21_Forecast_30,EURPrices+22_Forecast_30,EURPrices+23_Forecast_30,EURPrices+0_Forecast_50,EURPrices+1_Forecast_50,EURPrices+2_Forecast_50,EURPrices+3_Forecast_50,EURPrices+4_Forecast_50,EURPrices+5_Forecast_50,EURPrices+6_Forecast_50,EURPrices+7_Forecast_50,EURPrices+8_Forecast_50,EURPrices+9_Forecast_50,EURPrices+10_Forecast_50,EURPrices+11_Forecast_50,EURPrices+12_Forecast_50,EURPrices+13_Forecast_50,EURPrices+14_Forecast_50,EURPrices+15_Forecast_50,EURPrices+16_Forecast_50,EURPrices+17_Forecast_50,EURPrices+18_Forecast_50,EURPrices+19_Forecast_50,EURPrices+20_Forecast_50,EURPrices+21_Forecast_50,EURPrices+22_Forecast_50,EURPrices+23_Forecast_50,EURPrices+0_Forecast_70,EURPrices+1_Forecast_70,EURPrices+2_Forecast_70,EURPrices+3_Forecast_70,EURPrices+4_Forecast_70,EURPrices+5_Forecast_70,EURPrices+6_Forecast_70,EURPrices+7_Forecast_70,EURPrices+8_Forecast_70,EURPrices+9_Forecast_70,EURPrices+10_Forecast_70,EURPrices+11_Forecast_70,EURPrices+12_Forecast_70,EURPrices+13_Forecast_70,EURPrices+14_Forecast_70,EURPrices+15_Forecast_70,EURPrices+16_Forecast_70,EURPrices+17_Forecast_70,EURPrices+18_Forecast_70,EURPrices+19_Forecast_70,EURPrices+20_Forecast_70,EURPrices+21_Forecast_70,EURPrices+22_Forecast_70,EURPrices+23_Forecast_70,EURPrices+0_Forecast_90,EURPrices+1_Forecast_90,EURPrices+2_Forecast_90,EURPrices+3_Forecast_90,EURPrices+4_Forecast_90,EURPrices+5_Forecast_90,EURPrices+6_Forecast_90,EURPrices+7_Forecast_90,EURPrices+8_Forecast_90,EURPrices+9_Forecast_90,EURPrices+10_Forecast_90,EURPrices+11_Forecast_90,EURPrices+12_Forecast_90,EURPrices+13_Forecast_90,EURPrices+14_Forecast_90,EURPrices+15_Forecast_90,EURPrices+16_Forecast_90,EURPrices+17_Forecast_90,EURPrices+18_Forecast_90,EURPrices+19_Forecast_90,EURPrices+20_Forecast_90,EURPrices+21_Forecast_90,EURPrices+22_Forecast_90,EURPrices+23_Forecast_90
42.731,42.261,41.739,41.729,42.072,49.185,58.899,72.576,79,75,90,92.08,80.273,80,90,125,174.15,119,75.84,56.98,51.63,43.623,51.837,42.696,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,29.613,43.44,43.29,43.29,43.29,43.29,43.29,43.44,43.62,43.695,43.695,43.695,43.695,43.695,43.695,43.695,43.695,43.695,43.695,43.695,43.695,43.695,43.695,43.623,43.623,51.2876446163442,61.3538850567276,63.1564638746726,54.9377853182555,55.8157709874625,55.980959045096,75.2703740985142,82.4554815391419,66.5078294417401,55.4198845600149,41.7885262459542,49.911582897345,45.2907313889423,41.9902846530757,53.7524532097235,81.4084018782963,108.419265832663,84.2736118227746,58.7748205385414,55.0053593293212,76.9051450088801,69.4987479463248,53.7059972171247,41.1111923486888,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.73,57.74,58,58,58,58.08,58.12,58.305,58.31,58.31,58.31,58.31,58.36,58.36,58.36,58.36,58.36,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.52,75,75.73,75.91,76,76.17,76.18,76.52,76.52,77.15,77.15,77.15,77.15,77.15,77.15
39.484,38.807,34.971,30.406,29.21,28.54,35.55,41.33,41.35,39.5,35.55,35,35,35,35,41.35,50.088,44.89,39.766,38.109,34,25.77,19.701,0,4.84249999999999,4.266,3.824,3.97799999999999,4.378,5.7265,7.40349999999999,8.56899999999999,10.209,11.4495,12.675,14.109,15.05,16.144,16.184,16.029,15.7315,14.94,14.155,12.907,10.054,8.60499999999999,6.9515,5.41949999999999,31.6095,30.986,30.5635,30.7595,31.423,32.5795,34.1085,35.532,37.228,38.995,40.1415,41.328,42.54,43.288,43.795,43.3935,43.166,42.302,41.4285,40.123,37.7865,36.0745,34.3235,32.4445,30.5641511744825,39.9704424667839,47.4928060150697,55.5905819919842,54.3946551865821,37.7599245836532,34.2825142946991,52.1270034218646,49.9250638210997,48.2972905278375,54.4375724860521,31.1388922769696,35.5817283637488,48.9810439571585,58.1965421490163,89.1697740498721,82.6965802196896,60.0252328487581,47.1320264630644,52.9729578620314,55.7021382535051,26.2119507838286,19.4087815974436,18.6063482633023,59.2505,58.3635,57.9895,58.2105,58.8935,60.0625,61.688,62.8555,64.6785,66.357,67.5035,68.8125,70.039,70.6485,71.1755,70.7555,70.5755,69.8045,68.8975,67.672,65.2685,63.5855,61.7575,59.9555,86.5725,85.704,85.554,85.708,86.146,87.5745,89.1855,90.495,91.991,93.4475,94.405,95.891,97.235,97.926,97.966,97.811,97.5135,96.797,95.89,95.1195,92.421,90.735,89.0085,87.2015
0,11.191,7.452,12.035,28.06,33,40.29,43.864,48.452,50.431,50.873,58.51,65,57.732,75,117.83,205.25,169.97,107.34,84.9,58.51,42.521,45.7,37.91,3.757,3.5305,3.568,3.995,5.049,6.2325,7.19749999999999,8.902,10.58,11.338,12.765,13.931,14.9845,15.6945,15.9745,16.183,15.634,14.808,13.8295,12.4705,10.4005,8.4305,6.988,6.1195,31.4495,31.315,31.2805,31.8705,32.747,34.032,34.8445,36.672,38.5015,39.231,40.577,41.6785,42.58,43.263,43.588,43.673,43.1655,42.445,41.38,40.066,37.885,35.972,34.8585,33.8165,17.7600520747095,21.0711153544605,1.33155692857179,-21.0755437341365,-14.1303093278784,22.5627574699743,13.6830828507311,5.71618101216033,18.7877672421447,35.5381107593933,66.5091217843382,74.2438979311154,57.8023687525638,39.4724921546802,42.4701470585234,58.2288617683896,114.72670983389,83.4822825097582,65.1746812862752,56.7943452430793,65.2691684736241,39.8733114589489,40.2747640572287,22.3271389588557,59.933,59.8955,59.834,60.424,61.3295,62.5605,63.44,65.0005,66.9165,67.786,69.044,70.349,71.2255,71.855,72.2,72.1795,71.755,71.012,69.81,68.625,66.463,64.67,63.3645,62.37,87.99,87.421,87.648,88.055,88.798,90.4245,91.2775,93.135,94.66,95.571,96.855,97.8905,98.801,99.448,99.693,99.778,99.228,98.629,97.216,96.261,93.631,92.1485,90.718,89.903
36,35.01,35.01,35,36,45.42,53.816,84.3,93.556,90,90,90,67,59.25,61,96.68,145,107.75,72.02,55,49.12,42.989,56.785,51.623,5.01000000000001,4.736,4.66,5.217,6.19,7.02499999999999,7.845,9.295,10.6065,11.316,12.296,13.34,13.524,14.275,14.891,15.2055,14.891,14.657,13.141,12.0495,11.0225,9.89249999999999,8.6435,7.72599999999999,32.2815,32.135,32.2915,32.8145,33.724,34.439,35.3575,36.605,37.805,38.6725,39.697,40.418,40.76,41.5795,41.969,42.396,42.08,41.626,40.525,39.4125,38.2725,37.2005,36,35.0135,44.1137545958034,39.3898466016153,6.9552372485232,19.3687763046409,28.1577095806957,24.4370940023609,30.87289400082,55.0699415368507,63.2833977998467,54.1879140339458,67.8774795017802,69.8759786075193,47.3518367874876,40.3276752041255,34.9261470657323,55.7670401243204,115.826900424222,112.530298278786,64.0915898572738,32.5755196259598,33.1760772336783,16.2432152573207,24.4107573694885,27.9025877525484,61.8785,61.807,61.8535,62.195,62.9195,63.841,64.906,66.308,67.3105,68.2465,69.2925,69.989,70.261,71.1435,71.561,71.928,71.761,71.206,70.0925,68.95,67.82,66.641,65.4125,64.405,88.9395,88.873,88.583,89.421,90.2615,91.0495,91.887,93.1345,94.157,95.3395,96.274,97.2095,97.4535,98.2045,98.7605,99.104,98.868,98.2175,97.169,95.919,94.952,93.6595,92.3805,91.4315
46.821,37.817,34.39,33.098,32.58,36.093,42.65,47.03,48.347,51.65,57.97,60,59.56,57,60.884,90.63,200,135,81,60.884,58.99,50.542,56.03,49,6.209,6.139,6.1995,6.432,7.16999999999999,7.7,8.2635,9.64,10.355,11.225,12.11,12.324,12.808,13.6415,14.162,14.56,14.78,14.53,13.865,12.62,10.85,9.06549999999999,7.83200000000001,6.708,34.4995,34.381,34.381,34.7985,35.4995,35.932,36.479,37.7755,38.498,39.262,40.235,40.644,41.186,41.852,42.277,42.5595,42.637,42.5145,41.8495,40.496,38.9775,36.9785,36.12,34.985,39.7609416200166,41.9701366080222,43.9148269696054,53.7666685959736,39.1186428519514,49.3338586461682,67.7842543833973,95.469995539989,98.2312400158509,77.9676315159227,62.3390959205011,62.4698881671184,53.3700995223683,60.8182871036148,67.9037761079456,66.4450705740549,69.5825172386945,79.1242455185545,69.7957085168337,63.0548433920983,57.1163112643436,53.4894904494138,81.8581659543957,58.7049511636072,63.78,63.7125,63.8735,64.2125,64.92,65.395,66.064,67.287,67.878,68.7275,69.598,70.107,70.68,71.2435,71.8705,72.1705,72.175,71.8775,71.184,69.7895,68.2355,66.5085,65.5475,64.494,91.22,91.19,91.19,91.758,92.37,93.07,93.6915,94.6575,95.745,96.612,97.5,97.695,98.198,99.0315,99.552,99.95,99.953,99.856,99.191,97.946,96.488,94.105,92.986,91.85
41.87,39.773,37,32.716,31.286,37,37.431,44,50.282,51.021,50.789,53.064,49.558,47.239,51.717,65,79.443,57.21,40.83,37,36.104,28.04,27.68,19.927,6.26950000000001,6.20950000000001,5.7295,6.20950000000001,6.473,6.70049999999999,7.51450000000001,8.00100000000001,9.569,10.5,11.941,13.0345,14.082,14.632,14.7075,14.7775,14.5655,13.9025,12.582,10.7985,8.55199999999999,7.17700000000001,5.4575,3.9205,34.1015,33.715,33.4795,33.7485,34.088,34.477,34.9945,36.041,37.545,38.326,39.917,40.6675,41.634,42.091,42.176,42.305,42.1525,41.43,40.315,38.3375,36.17,34.729,32.985,31.7225,24.5172264953969,-10.8742512530776,-13.374321783847,6.40434144180642,35.7789765831668,63.0563676075143,40.80816056849,31.8879798313234,52.954280778328,64.3414257986251,73.9290670048516,73.7214958556758,46.2869552006838,27.9632108628798,36.478988979023,68.4925485113973,77.0761211354775,45.8396662845332,3.95160034960754,11.5913960126437,12.7182807284939,0.779326974796063,43.6153305895322,49.908507162065,64.2805,63.9025,63.6585,63.843,64.1275,64.692,65.305,66.1025,67.668,68.547,69.8415,70.9195,71.7795,72.196,72.36,72.5155,72.403,71.61,70.5155,68.547,66.5,65.082,63.1855,62.0735,91.959,91.8805,91.4005,91.872,92.1315,92.353,93.1855,94.0635,95.636,96.4565,97.6575,98.7055,99.6715,100.2215,100.2545,100.4075,100.2755,99.4495,98.3345,96.416,94.1615,92.8265,91.0045,89.835
0,-1,-1,-1,-1,5,30,36.186,40.79,40.43,43.468,43.102,44.065,48.65,42.918,61.623,101.75,93.66,74.7,52.019,49.368,43.231,46,45.36,2.891,2.266,2.316,2.75099999999999,3.406,4.1115,5.3295,6.935,7.88500000000001,9.33000000000001,10.068,11.5595,13.112,13.74,14.445,14.3,13.952,13.327,12.3505,10.628,8.8075,6.9625,5.0865,3.956,30.897,30.3855,30.5815,30.7815,31.169,31.9245,33.139,34.698,36.2675,37.352,38.242,39.711,41.1565,41.8685,42.3675,42.49,42.225,41.583,40.424,38.823,36.7155,34.911,32.929,31.828,14.7080269832611,-0.0671159370659219,2.88815881855708,-5.54988731376202,-1.59214211658143,14.5412554391802,16.2435593722698,17.6444208042301,23.2150255732614,39.0290717437618,27.2875807409551,55.2163024921083,43.4722074777575,59.0091614372695,58.1614869505513,67.7813587456661,124.02555133914,103.376956657985,65.9615922224437,43.175827941695,23.2412921512267,31.3782682286901,26.4879330623651,27.817182730798,61.616,61.0855,61.338,61.4905,61.8475,62.691,64.028,65.532,66.9365,68.123,69.199,70.625,72.088,72.762,73.25,73.311,73.191,72.625,71.3305,69.473,67.5735,65.7945,63.799,62.435,89.924,89.119,89.169,89.6585,90.254,90.8715,92.118,93.788,95.09,96.4775,97.588,98.673,99.962,100.686,101.2825,101.359,101.298,100.565,99.499,97.845,95.792,93.7375,91.8615,90.85
41.33,39.55,37.66,36.254,38.508,41.697,36.671,42.982,55.361,60,56.514,54,47.293,41.44,43.285,59.682,65,56.158,52.419,45.65,45.024,40.07,34.95,32,2.9305,2.66549999999999,2.7195,3.1845,3.855,5.121,6.207,7.78049999999999,8.788,10.16,11.189,12.1525,13.4145,14.217,14.8855,15.158,15.1135,14.6625,13.584,11.772,9.907,8.0155,6.75250000000001,5.6135,30.3455,30.051,29.977,30.3525,31.2455,32.6,33.583,35.059,36.0535,37.3595,38.354,39.399,40.704,41.611,42.312,42.5245,42.376,41.862,40.9285,39.156,36.9785,35.2745,34.121,33.0835,33.9283436369713,36.0445005547199,30.2123570794636,39.212609151694,24.2949710361845,30.5691975515326,9.11378497945252,21.1670801533857,43.3439455743799,64.9453557658471,78.6126924941029,84.4762608179583,59.0081019155547,42.5402194002254,25.288230018318,36.0804970979953,103.137802316775,95.1240452139574,72.2946277453097,59.0544072497292,63.1385699051293,46.445057183338,36.6938298072293,47.0287730673858,61.074,60.9745,60.7705,61.103,62.0885,63.272,64.3165,65.857,66.826,68.1815,69.107,70.227,71.5075,72.585,73.211,73.4235,73.236,72.7225,71.8275,70.11,67.853,66.1785,64.955,63.8505,88.5515,88.5515,88.6515,88.9155,89.6655,90.742,92.2755,93.826,94.667,95.9775,96.5275,97.679,99.037,100.152,100.7955,100.892,101.0505,100.3645,99.15,97.625,95.5085,93.7555,92.3735,91.09
27.21,19.927,19,19.459,27.21,34.31,33.116,39.188,45.311,50.332,53.798,59.996,60.41,55.731,48.25,35.7,32.94,28.505,28.25,22.87,19.179,6.52,0,0,2.9515,2.5185,2.621,2.8445,3.63500000000001,4.098,4.3325,5.06399999999999,5.954,7.1775,8.79299999999999,9.7985,10.8355,11.6515,12.3805,12.6085,12.279,11.865,10.5155,7.808,5.9595,4.28300000000001,2.7145,1.458,31.493,31.0705,31.1455,31.358,31.9885,32.5815,32.89,33.679,34.5255,35.7585,37.3065,37.977,39.417,40.198,40.995,41.102,40.831,40.3985,38.8395,36.2995,34.35,32.76,31.115,29.8465,49.0949075572308,42.7092378088786,53.074686758069,63.6171140447349,53.5030372829425,58.7906576313639,60.3448395689495,95.0756965841036,115.634380220948,119.287584283151,111.947116470784,102.761424953596,70.1580392228074,61.197514229324,42.6084856481379,11.1068859079604,-8.42816200895632,-15.9547050303693,4.64278768696815,-1.29960566402116,-7.43203994973021,-13.7531908551117,-7.91354582103629,0.232596567372446,63.0325,62.561,62.6135,62.873,63.5515,64.0575,64.3945,65.135,66.0455,67.1945,68.6955,69.517,70.851,71.6195,72.4375,72.6135,72.3705,71.684,70.144,67.7095,65.865,64.2225,62.5385,61.3695,91.425,91.0025,91.0965,91.3285,92.129,92.379,92.6575,93.5235,94.438,95.2885,97.0295,97.8095,99.2275,100.012,100.8605,100.9085,100.739,100.165,98.5075,96.0685,94.342,92.767,90.9955,89.666
0,0,0,0,0,0,22.205,28,35.43,35.093,40.519,42.332,40.519,40.519,41.775,50,55.66,52.826,46.99,41.887,39.52,34,43.81,40.149,0.945,-0.234499999999997,-0.6995,-0.3185,0.140000000000001,1.348,2.475,3.656,4.8385,6.152,8.0815,9.42149999999999,10.875,12.3905,13.195,13.484,13.13,12.08,10.62,8.50150000000001,6.7615,4.68850000000001,2.2125,0.976500000000002,29.4165,28.2055,27.883,27.938,28.547,29.7075,30.8385,31.9525,33.2185,34.517,36.2565,37.753,39.143,40.729,41.6045,41.859,41.4305,40.445,38.784,36.821,35,33.1,30.6375,29.5495,8.53746521920319,25.6895719856164,26.9774385196289,21.8997329873259,4.65542343037734,1.03189237747509,-18.1273702801292,-21.4776200858491,-9.72839291073253,-2.05669078889631,-20.3019955757809,-26.7211511734396,-15.7956187000855,-12.1372621144697,15.1867176066769,49.9809799556092,56.8106988815589,56.4884713949206,59.2309173069041,54.5490827116738,37.9138109998069,20.9287634759335,0.492103352224437,9.48505881295342,59.8175,58.57,58.234,58.3955,58.85,59.941,61.125,62.409,63.773,64.8705,66.802,68.207,69.6495,71.2835,72.007,72.312,71.77,70.866,69.228,67.2285,65.5545,63.642,61.2755,59.85,87.936,86.783,86.2915,86.6255,86.965,88.2725,89.258,90.7285,92.1,93.143,95.109,96.511,97.9795,99.3395,100.3155,100.59,99.822,98.9765,97.403,95.56,93.963,91.9575,89.6045,87.936
