EURPrices+0,EURPrices+1,EURPrices+2,EURPrices+3,EURPrices+4,EURPrices+5,EURPrices+6,EURPrices+7,EURPrices+8,EURPrices+9,EURPrices+10,EURPrices+11,EURPrices+12,EURPrices+13,EURPrices+14,EURPrices+15,EURPrices+16,EURPrices+17,EURPrices+18,EURPrices+19,EURPrices+20,EURPrices+21,EURPrices+22,EURPrices+23,EURPrices+0_Forecast_10,EURPrices+1_Forecast_10,EURPrices+2_Forecast_10,EURPrices+3_Forecast_10,EURPrices+4_Forecast_10,EURPrices+5_Forecast_10,EURPrices+6_Forecast_10,EURPrices+7_Forecast_10,EURPrices+8_Forecast_10,EURPrices+9_Forecast_10,EURPrices+10_Forecast_10,EURPrices+11_Forecast_10,EURPrices+12_Forecast_10,EURPrices+13_Forecast_10,EURPrices+14_Forecast_10,EURPrices+15_Forecast_10,EURPrices+16_Forecast_10,EURPrices+17_Forecast_10,EURPrices+18_Forecast_10,EURPrices+19_Forecast_10,EURPrices+20_Forecast_10,EURPrices+21_Forecast_10,EURPrices+22_Forecast_10,EURPrices+23_Forecast_10,EURPrices+0_Forecast_30,EURPrices+1_Forecast_30,EURPrices+2_Forecast_30,EURPrices+3_Forecast_30,EURPrices+4_Forecast_30,EURPrices+5_Forecast_30,EURPrices+6_Forecast_30,EURPrices+7_Forecast_30,EURPrices+8_Forecast_30,EURPrices+9_Forecast_30,EURPrices+10_Forecast_30,EURPrices+11_Forecast_30,EURPrices+12_Forecast_30,EURPrices+13_Forecast_30,EURPrices+14_Forecast_30,EURPrices+15_Forecast_30,EURPrices+16_Forecast_30,EURPrices+17_Forecast_30,EURPrices+18_Forecast_30,EURPrices+19_Forecast_30,EURPrices+20_Forecast_30,EURPrices+21_Forecast_30,EURPrices+22_Forecast_30,EURPrices+23_Forecast_30,EURPrices+0_Forecast_70,EURPrices+1_Forecast_70,EURPrices+2_Forecast_70,EURPrices+3_Forecast_70,EURPrices+4_Forecast_70,EURPrices+5_Forecast_70,EURPrices+6_Forecast_70,EURPrices+7_Forecast_70,EURPrices+8_Forecast_70,EURPrices+9_Forecast_70,EURPrices+10_Forecast_70,EURPrices+11_Forecast_70,EURPrices+12_Forecast_70,EURPrices+13_Forecast_70,EURPrices+14_Forecast_70,EURPrices+15_Forecast_70,EURPrices+16_Forecast_70,EURPrices+17_Forecast_70,EURPrices+18_Forecast_70,EURPrices+19_Forecast_70,EURPrices+20_Forecast_70,EURPrices+21_Forecast_70,EURPrices+22_Forecast_70,EURPrices+23_Forecast_70,EURPrices+0_Forecast_90,EURPrices+1_Forecast_90,EURPrices+2_Forecast_90,EURPrices+3_Forecast_90,EURPrices+4_Forecast_90,EURPrices+5_Forecast_90,EURPrices+6_Forecast_90,EURPrices+7_Forecast_90,EURPrices+8_Forecast_90,EURPrices+9_Forecast_90,EURPrices+10_Forecast_90,EURPrices+11_Forecast_90,EURPrices+12_Forecast_90,EURPrices+13_Forecast_90,EURPrices+14_Forecast_90,EURPrices+15_Forecast_90,EURPrices+16_Forecast_90,EURPrices+17_Forecast_90,EURPrices+18_Forecast_90,EURPrices+19_Forecast_90,EURPrices+20_Forecast_90,EURPrices+21_Forecast_90,EURPrices+22_Forecast_90,EURPrices+23_Forecast_90,EURPrices+0_Forecast_50,EURPrices+1_Forecast_50,EURPrices+2_Forecast_50,EURPrices+3_Forecast_50,EURPrices+4_Forecast_50,EURPrices+5_Forecast_50,EURPrices+6_Forecast_50,EURPrices+7_Forecast_50,EURPrices+8_Forecast_50,EURPrices+9_Forecast_50,EURPrices+10_Forecast_50,EURPrices+11_Forecast_50,EURPrices+12_Forecast_50,EURPrices+13_Forecast_50,EURPrices+14_Forecast_50,EURPrices+15_Forecast_50,EURPrices+16_Forecast_50,EURPrices+17_Forecast_50,EURPrices+18_Forecast_50,EURPrices+19_Forecast_50,EURPrices+20_Forecast_50,EURPrices+21_Forecast_50,EURPrices+22_Forecast_50,EURPrices+23_Forecast_50
24.65,21.59,18.29,14.12,11.58,12.26,15.34,19.72,23.22,25.83,25.67,23.83,19.36,13.92,15.16,24.69,31.66,31.66,28.66,23.22,21,20.36,14.26,13.98,11.818689221358,10.9432691404072,10.683435275423,11.0325687667927,11.386553005028,11.73422527946,13.300223665406,13.685682826787,14.5070102864701,14.660721013838,14.7721608441664,14.8867708313287,15.0454431444719,14.9429610841447,15.2507873822778,16.7894128500574,17.9127873693806,19.0367185947426,19.3141403886629,18.9953914742638,18.2330620228885,16.0073033872847,13.2927236872162,11.9463130200329,18.5633713632201,17.912092105725,17.5063610369921,17.6274637554509,18.1859883908684,18.7366097745575,19.9645610683232,21.0066230490872,21.1617776160215,21.5515097940287,21.4248571194414,21.7273802994757,21.8053743531667,21.9329932527261,22.4346817302274,23.3116617909538,24.6394184572835,25.67209852946,25.9803454910367,25.7435364619838,24.823263470392,22.8310956628358,20.4524289077655,18.9212305639532,32.1712646965535,31.5199854390583,31.1142543703254,31.2353570887842,31.7938817242017,32.3445031078908,33.5724544016565,34.6145163824205,34.7696709493549,35.1594031273621,35.0327504527747,35.335273632809,35.4132676865,35.5408865860594,36.0425750635608,36.9195551242871,38.2473117906168,39.2799918627933,39.5882388243701,39.3514297953171,38.4311568037254,36.4389889961692,34.0603222410989,32.5291238972866,34.5900926499294,33.7146725689786,33.4548387039944,33.8039721953641,34.1579564335995,34.5056287080314,36.0716270939774,36.4570862553584,37.2784137150416,37.4321244424094,37.5435642727378,37.6581742599001,37.8168465730433,37.7143645127161,38.0221908108492,39.5608162786288,40.684190797952,41.808122023314,42.0855438172343,41.7667949028353,41.0044654514599,38.7787068158561,36.0641271157876,34.7177164486043,24.8345,21.655,20.155,19.48,19.48,21.33,26.015,28.995,29.641,29.829,29.5305,26.53,24.2895,21.7705,21.8355,26.448,33.9985,36.205,36.205,34.5665,30.8115,27.3,25.119,23.215
13,12.64,12.88,10.26,12.89,21.41,26.12,25.37,23.13,23.13,20.66,20.76,15,15,15,20.66,31.55,39.82,36,33.62,33.65,24.11,28.48,17.05,8.4715,6.99,5.4985,4.858,6.767,8.36000000000001,11.625,14.365,16.99,17.9085,17.182,15.955,14.7315,14.345,15.425,16.8145,18.326,21.9315,24.414,23.18,19.914,17.4995,14.81,12.355,21.558,20.1085,18.4655,17.8305,19.635,21.445,24.729,27.515,30.03,30.98,30.314,29.04,27.79,27.485,28.59,29.826,31.48,34.9595,37.45,36.2135,33.035,30.55,27.975,25.496,43.765,42.441,40.8425,40.275,42.05,43.537,46.8825,49.69,52.134,53.162,52.49,51.21,50.05,49.645,50.755,52.015,53.74,57.3,59.685,58.455,55.23,52.785,50.155,47.69,56.825,55.465,53.768,53.23,55,56.63,59.9925,62.78,65.2525,66.232,65.563,64.23,63.075,62.778,63.9,65.075,66.8105,70.3015,72.7,71.5685,68.2665,65.816,63.255,60.73,19.485,18.27,18.085,17.98,18.595,20.27,25.015,27.128,28.085,28.085,28.795,28.662,25.635,25.265,25.5625,27.2805,35.9015,36.6625,37.503,35,32.89,30.4715,26.1265,23.24
15.88,15.75,16.23,17.7,21.21,23.45,30.73,34.89,33.4,30.61,30.06,30.06,26.06,23,23.45,30.57,33.94,37.16,37.3,35.23,35.74,34.06,30.06,28.25,9.995,8.595,8.13999999999999,8.46249999999999,9.515,11.24,14.045,17.25,20.325,21.467,20.52,18.4275,17.06,16.47,16.585,17.684,19.3885,22.92,24.475,23.705,19.8675,17.5545,14.7595,12.105,23.019,21.7325,21.1235,21.473,22.5235,24.355,27.149,30.3815,33.433,34.427,33.56,31.5505,30.155,29.5535,29.7115,30.704,32.544,36.012,37.56,36.655,32.8915,30.5325,27.891,25.3,45.265,43.917,43.375,43.778,44.782,46.572,49.345,52.5525,55.6135,56.725,55.75,53.79,52.355,51.738,51.895,52.936,54.7335,58.2325,59.78,58.94,55.14,52.805,50.095,47.5,58.23,56.945,56.4465,56.797,57.842,59.6275,62.465,65.7,68.705,69.785,68.946,66.88,65.5,64.875,64.995,65.98,67.7105,71.2495,72.84,72.0325,68.285,65.797,63.155,60.49,22.22,19.855,18.585,18.975,20.77,22.062,26.425,30.865,31.085,30.159,29.9,29.59,27.0445,25.37,25.9575,31.455,36.372,38.702,38.6555,36.276,33.81,31.305,28.4395,26.4515
22.82,21.47,17.99,17.99,19.3,23.44,29.99,32.4,29.42,23.48,17.49,16.2,15,15,15.95,20,26.74,34.58,37,33.17,32.07,29.78,27.19,21.47,9.88999999999999,8.6155,8.23249999999999,8.4105,9.247,11.31,14.265,17.9,20.411,21.22,20.388,18.27,16.97,16.345,16.765,17.6165,19.345,23.25,25.0135,23.575,19.7235,17.245,14.395,11.73,22.765,21.487,21.2415,21.3565,22.2005,24.203,27.119,30.8055,33.325,34.142,33.235,31.135,29.925,29.199,29.665,30.4835,32.3665,36.255,37.992,36.56,32.625,30.115,27.31,24.654,45.0735,43.83,43.545,43.66,44.53,46.475,49.38,53.11,55.655,56.455,55.5105,53.445,52.19,51.505,51.939,52.78,54.6595,58.5795,60.335,58.892,54.9755,52.41,49.62,46.925,58.06,56.74,56.52,56.544,57.5,59.47,62.36,66.032,68.609,69.3925,68.405,66.415,65.225,64.537,64.89,65.7875,67.51,71.559,73.225,71.8625,68.0035,65.365,62.619,59.865,19.405,18.715,18.415,18.265,18.975,21.557,27.128,29.995,30.28,29.59,28.795,26.115,25.03,23.445,23.913,27.73,35.9015,36.623,37.585,37.068,34.315,31.28,27.075,23.781
18.62,18,17.12,17.4,18.55,23.25,28.04,35.22,35.19,32.87,31.9,32.46,27.09,22.68,23.26,26.13,29.21,25,15,11.88,11.05,5.75,-0.05,-0.05,9.169,8.102,7.575,7.52200000000001,8.34999999999999,10.23,13.077,17.065,20.155,19.3585,17.235,15.635,13.575,12.68,12.9055,14.4205,17.1335,18.502,18.807,17.267,14.99,12.369,9.28499999999999,6.15649999999999,22.216,21.19,20.625,20.652,21.36,23.35,26.215,30.1855,33.216,32.279,30.322,28.74,26.655,25.723,25.999,27.538,30.16,31.545,31.905,30.38,28.119,25.5655,22.37,19.2065,44.43,43.423,42.805,42.862,43.5925,45.585,48.428,52.434,55.44,54.5435,52.555,50.985,48.86,47.919,48.2135,49.715,52.41,53.78,54.135,52.615,50.375,47.837,44.58,41.4115,57.575,56.6105,55.873,56.02,56.749,58.747,61.43,65.5035,68.515,67.549,65.6905,64.082,61.9945,61.005,61.3,62.84,65.505,66.917,67.176,65.67,63.47,60.965,57.6205,54.558,21.505,19.405,18.57,18.545,20.96,25.115,27.158,30.205,31.05,30.915,29.78,28.585,27.13,26.5045,26.6095,28.375,36.17,38.24,38.702,38,34.8845,32.395,30.9365,27.115
-1,-0.05,-1,-1,-1,-1,0,12.74,12.99,11.74,11.14,7.68,2.12,-0.05,-1,1.93,17.47,21.49,14.65,8.8,0,0,-1.03,-1.02,2.8,0.625,-0.237499999999997,-0.381999999999998,0.476000000000003,2.816,7.005,10.761,12.775,12.69,11.863,10.6065,9.061,8.115,8.606,10.44,14.52,17.415,17.3,15.6475,12.5655,8.932,5.621,2.03,15.97,13.7155,12.8025,12.6625,13.5395,15.893,20.1,23.905,25.926,25.855,24.945,23.64,22.14,21.275,21.736,23.676,27.775,30.52,30.4445,28.705,25.665,22.055,18.697,15.065,38.195,35.9255,35.04,34.921,35.7605,38.15,42.364,46.1765,48.1265,48.125,47.2,45.865,44.39,43.5,43.95,45.975,50.1205,52.756,52.685,50.925,47.9205,44.281,40.939,37.3115,51.335,49.0745,48.256,48.115,48.985,51.258,55.525,59.2385,61.1695,61.219,60.505,59.11,57.461,56.54,57.06,58.96,63.115,65.921,65.822,64.14,61.055,57.388,54.085,50.546,11.02,8.97,8.97,8.97,9.421,11.683,17.585,19,20.8755,21.8755,20.53,20.265,18.51,17.585,18.095,19.51,24.075,28,34.4745,29.8865,26.925,22.04,19.21,15
-10,-22.89,-29.81,-39.97,-41.09,-33.52,-20,-5,-1.01,-1.03,-5.59,-11.61,-15.18,-27.93,-27.93,-10,-1,11.36,12.67,12.78,13.56,12.99,0.02,-1.32,-0.768999999999998,-3.171,-4.155,-3.98,-2.38,0.530000000000001,3.61799999999999,7.58,10.5665,11.445,10.985,9.81650000000001,8.755,8.5,9.2195,11.285,14.1655,16.83,17.7445,16.721,14.515,11.1905,8.17649999999999,5.72349999999999,12.333,9.965,8.875,9.045,10.696,13.6195,16.673,20.5935,23.695,24.665,24.1465,22.915,21.7925,21.566,22.3395,24.475,27.352,29.9445,30.731,29.796,27.5935,24.302,21.3215,18.824,34.665,32.193,31.109,31.275,32.884,35.855,38.91,42.8785,45.92,46.87,46.3625,45.195,44.01,43.8045,44.5345,46.67,49.632,52.194,52.9565,52.016,49.7905,46.545,43.61,41.055,47.67,45.265,44.28,44.42,46.03,48.98,52.0795,55.93,58.918,59.899,59.4,58.2,57.105,56.82,57.53,59.703,62.6475,65.3295,66.1085,65.14,62.95,59.58,56.625,54.1485,-0.03,-1,-0.525,-0.51,0,2.58,11.795,18.7035,20.885,21.075,21.075,21.579,21.579,21.579,21.9185,23.32,27.005,28.155,30.9915,31.89,31.5595,29.175,28.295,24.105
-6.5,-17.13,-20,-22.89,-28.11,-24.92,-20,-1.1,3.3,11.4,12.47,15.7,19.04,18.54,18.16,18.16,27.93,46.03,40.26,42.6,45.82,42.6,37.29,29.72,3.3625,2.4535,2.33649999999999,2.558,4.1935,6.355,8.65150000000001,11.42,13.0745,13.925,13.935,12.615,11.969,11.724,12.504,14.885,17.045,19.3,19.375,18.184,16.6275,13.198,10.142,7.09,16.63,15.705,15.5245,15.755,17.39,19.6,21.939,24.716,26.3895,27.205,27.202,25.955,25.1855,25.0275,25.8,28.209,30.3155,32.56,32.63,31.515,29.7255,26.348,23.334,20.333,38.903,37.9975,37.803,38.037,39.725,41.8955,44.2515,47.0615,48.763,49.482,49.545,48.265,47.503,47.3165,48.065,50.51,52.57,54.9,54.98,53.813,52.0685,48.6855,45.715,42.605,52.15,51.275,51.12,51.395,53.03,55.165,57.414,60.2085,61.971,62.767,62.787,61.555,60.78,60.565,61.37,63.755,65.845,68.19,68.211,66.995,65.35,61.908,59.015,55.835,23.483,23.0155,23.0155,22.6795,24.5085,27.865,31.4,31.4,29,28.4,27.68,27.547,27.347,27.547,28.76,31.8855,37.62,39.86,39.29,38.3855,37.055,35.515,33.9205,32.815
23.65,20.3,18.07,16.51,17.1,19.99,22.05,27.69,26.52,20,17.2,15.09,13.62,12.95,13.62,18.08,24.26,34,35.22,34.91,36.01,35,28.78,27.5,4.841,3.6375,3.2575,4.0595,5.0825,6.785,9.319,11.7985,14.405,15.6175,15.0955,13.745,13.085,12.985,14.061,15.82,17.9145,19.905,20.108,18.975,16.625,14.706,11.5715,9.37,18.225,17.166,16.76,17.58,18.565,20.27,22.855,25.192,27.7925,29.101,28.63,27.337,26.622,26.53,27.5965,29.2545,31.375,33.255,33.5245,32.4435,30.1465,28.28,25.055,22.7985,40.647,39.5285,39.191,39.95,40.945,42.7015,45.2845,47.65,50.237,51.55,51.0045,49.725,49.1,48.938,50.018,51.719,53.8295,55.715,56.074,54.895,52.61,50.73,47.54,45.288,54.165,53.005,52.725,53.49,54.477,56.305,58.726,61.129,63.61,64.975,64.513,63.254,62.5205,62.375,63.48,65.201,67.33,69.1255,69.435,68.3,66.059,64.235,60.99,58.74,30.8515,30.7535,30.8495,31.391,31.391,31.391,34.0745,35.087,36.3785,36.035,35.095,33.81,33.1155,32.3855,33.8855,36.22,40.9035,41.099,41.01,38.7705,36.895,34.54,33.5,31.6375
25.91,25.42,24.63,25,27.9,31,30.87,37,35.51,32.85,30.81,33.37,28.16,23.89,27.96,35.85,32.86,41.69,40.61,35.62,33.27,29.78,37.93,32.26,7.2235,6.56,6.57250000000001,7.1125,8.05650000000001,9.8,12.235,15.2565,17.83,18.137,18.15,17.146,15.87,15.6985,15.8245,17.57,19.225,23.065,23.65,21.595,18.655,15.6745,12.388,9.915,20.835,20.23,20.235,20.76,21.7675,23.4135,25.8255,28.91,31.2855,31.729,31.705,30.761,29.5125,29.275,29.482,31.175,32.855,36.693,37.229,35.2315,32.2215,29.226,25.9825,23.523,43.336,42.6815,42.719,43.2,44.225,45.8775,48.2745,51.37,53.756,54.2765,54.25,53.28,51.97,51.7235,51.935,53.632,55.318,59.1255,59.7155,57.7005,54.7295,51.703,48.4515,45.948,56.985,56.35,56.35,56.73,57.8665,59.525,61.96,65.0165,67.3515,67.898,67.816,66.888,65.5665,65.2245,65.533,67.1835,68.975,72.7475,73.25,71.282,68.2865,65.3715,62.14,59.6585,31.235,29.6605,29.261,29.261,29.261,31.4825,35.637,37.0285,37.85,38.04,37.33,36.109,34.93,35.035,35.035,36.66,39.7,39.7,39.5165,38.3155,35.4555,33.435,31.6325,30.03
