EURPrices+0,EURPrices+1,EURPrices+2,EURPrices+3,EURPrices+4,EURPrices+5,EURPrices+6,EURPrices+7,EURPrices+8,EURPrices+9,EURPrices+10,EURPrices+11,EURPrices+12,EURPrices+13,EURPrices+14,EURPrices+15,EURPrices+16,EURPrices+17,EURPrices+18,EURPrices+19,EURPrices+20,EURPrices+21,EURPrices+22,EURPrices+23,EURPrices+0_Forecast_10,EURPrices+1_Forecast_10,EURPrices+2_Forecast_10,EURPrices+3_Forecast_10,EURPrices+4_Forecast_10,EURPrices+5_Forecast_10,EURPrices+6_Forecast_10,EURPrices+7_Forecast_10,EURPrices+8_Forecast_10,EURPrices+9_Forecast_10,EURPrices+10_Forecast_10,EURPrices+11_Forecast_10,EURPrices+12_Forecast_10,EURPrices+13_Forecast_10,EURPrices+14_Forecast_10,EURPrices+15_Forecast_10,EURPrices+16_Forecast_10,EURPrices+17_Forecast_10,EURPrices+18_Forecast_10,EURPrices+19_Forecast_10,EURPrices+20_Forecast_10,EURPrices+21_Forecast_10,EURPrices+22_Forecast_10,EURPrices+23_Forecast_10,EURPrices+0_Forecast_30,EURPrices+1_Forecast_30,EURPrices+2_Forecast_30,EURPrices+3_Forecast_30,EURPrices+4_Forecast_30,EURPrices+5_Forecast_30,EURPrices+6_Forecast_30,EURPrices+7_Forecast_30,EURPrices+8_Forecast_30,EURPrices+9_Forecast_30,EURPrices+10_Forecast_30,EURPrices+11_Forecast_30,EURPrices+12_Forecast_30,EURPrices+13_Forecast_30,EURPrices+14_Forecast_30,EURPrices+15_Forecast_30,EURPrices+16_Forecast_30,EURPrices+17_Forecast_30,EURPrices+18_Forecast_30,EURPrices+19_Forecast_30,EURPrices+20_Forecast_30,EURPrices+21_Forecast_30,EURPrices+22_Forecast_30,EURPrices+23_Forecast_30,EURPrices+0_Forecast_50,EURPrices+1_Forecast_50,EURPrices+2_Forecast_50,EURPrices+3_Forecast_50,EURPrices+4_Forecast_50,EURPrices+5_Forecast_50,EURPrices+6_Forecast_50,EURPrices+7_Forecast_50,EURPrices+8_Forecast_50,EURPrices+9_Forecast_50,EURPrices+10_Forecast_50,EURPrices+11_Forecast_50,EURPrices+12_Forecast_50,EURPrices+13_Forecast_50,EURPrices+14_Forecast_50,EURPrices+15_Forecast_50,EURPrices+16_Forecast_50,EURPrices+17_Forecast_50,EURPrices+18_Forecast_50,EURPrices+19_Forecast_50,EURPrices+20_Forecast_50,EURPrices+21_Forecast_50,EURPrices+22_Forecast_50,EURPrices+23_Forecast_50,EURPrices+0_Forecast_70,EURPrices+1_Forecast_70,EURPrices+2_Forecast_70,EURPrices+3_Forecast_70,EURPrices+4_Forecast_70,EURPrices+5_Forecast_70,EURPrices+6_Forecast_70,EURPrices+7_Forecast_70,EURPrices+8_Forecast_70,EURPrices+9_Forecast_70,EURPrices+10_Forecast_70,EURPrices+11_Forecast_70,EURPrices+12_Forecast_70,EURPrices+13_Forecast_70,EURPrices+14_Forecast_70,EURPrices+15_Forecast_70,EURPrices+16_Forecast_70,EURPrices+17_Forecast_70,EURPrices+18_Forecast_70,EURPrices+19_Forecast_70,EURPrices+20_Forecast_70,EURPrices+21_Forecast_70,EURPrices+22_Forecast_70,EURPrices+23_Forecast_70,EURPrices+0_Forecast_90,EURPrices+1_Forecast_90,EURPrices+2_Forecast_90,EURPrices+3_Forecast_90,EURPrices+4_Forecast_90,EURPrices+5_Forecast_90,EURPrices+6_Forecast_90,EURPrices+7_Forecast_90,EURPrices+8_Forecast_90,EURPrices+9_Forecast_90,EURPrices+10_Forecast_90,EURPrices+11_Forecast_90,EURPrices+12_Forecast_90,EURPrices+13_Forecast_90,EURPrices+14_Forecast_90,EURPrices+15_Forecast_90,EURPrices+16_Forecast_90,EURPrices+17_Forecast_90,EURPrices+18_Forecast_90,EURPrices+19_Forecast_90,EURPrices+20_Forecast_90,EURPrices+21_Forecast_90,EURPrices+22_Forecast_90,EURPrices+23_Forecast_90
24.65,21.59,18.29,14.12,11.58,12.26,15.34,19.72,23.22,25.83,25.67,23.83,19.36,13.92,15.16,24.69,31.66,31.66,28.66,23.22,21,20.36,14.26,13.98,11.818689221358,10.9432691404072,10.683435275423,11.0325687667927,11.386553005028,11.73422527946,13.300223665406,13.685682826787,14.5070102864701,14.660721013838,14.7721608441664,14.8867708313287,15.0454431444719,14.9429610841447,15.2507873822778,16.7894128500574,17.9127873693806,19.0367185947426,19.3141403886629,18.9953914742638,18.2330620228885,16.0073033872847,13.2927236872162,11.9463130200329,18.5633713632201,17.912092105725,17.5063610369921,17.6274637554509,18.1859883908684,18.7366097745575,19.9645610683232,21.0066230490872,21.1617776160215,21.5515097940287,21.4248571194414,21.7273802994757,21.8053743531667,21.9329932527261,22.4346817302274,23.3116617909538,24.6394184572835,25.67209852946,25.9803454910367,25.7435364619838,24.823263470392,22.8310956628358,20.4524289077655,18.9212305639532,24.8345,21.655,20.155,19.48,19.48,21.33,26.015,28.995,29.641,29.829,29.5305,26.53,24.2895,21.7705,21.8355,26.448,33.9985,36.205,36.205,34.5665,30.8115,27.3,25.119,23.215,32.1712646965535,31.5199854390583,31.1142543703254,31.2353570887842,31.7938817242017,32.3445031078908,33.5724544016565,34.6145163824205,34.7696709493549,35.1594031273621,35.0327504527747,35.335273632809,35.4132676865,35.5408865860594,36.0425750635608,36.9195551242871,38.2473117906168,39.2799918627933,39.5882388243701,39.3514297953171,38.4311568037254,36.4389889961692,34.0603222410989,32.5291238972866,34.5900926499294,33.7146725689786,33.4548387039944,33.8039721953641,34.1579564335995,34.5056287080314,36.0716270939774,36.4570862553584,37.2784137150416,37.4321244424094,37.5435642727378,37.6581742599001,37.8168465730433,37.7143645127161,38.0221908108492,39.5608162786288,40.684190797952,41.808122023314,42.0855438172343,41.7667949028353,41.0044654514599,38.7787068158561,36.0641271157876,34.7177164486043
13,12.64,12.88,10.26,12.89,21.41,26.12,25.37,23.13,23.13,20.66,20.76,15,15,15,20.66,31.55,39.82,36,33.62,33.65,24.11,28.48,17.05,11.0989466838386,9.99983407752301,9.7822530479243,9.63269623388517,10.2185847206894,10.86652568569,11.6346585051258,12.9688173919401,13.9106510807182,14.2978225890908,14.7859981706323,15.0345716585498,15.0288372820037,15.6602272464705,15.8887757638658,17.2382355805438,18.0142391818895,18.8550967859522,19.3705802686269,19.4904088876071,18.4568618727503,16.6025444262351,14.1090020069018,12.6837408228544,16.9759891733729,15.939723362451,15.6065271577364,15.816709517209,16.1358954586353,16.7486478631554,18.3614114268404,19.0796716835017,19.7615671688629,20.5947284029892,20.5703694304439,20.9216148119671,21.2464335191726,21.6221182333539,22.1627830390443,23.5105260192717,24.3549884317666,25.0695107372191,25.8728664522647,24.9397214204975,24.3194946621236,23.0541409826747,20.0682174398419,18.431730404972,19.485,18.27,18.085,17.98,18.595,20.27,25.015,27.128,28.085,28.085,28.795,28.662,25.635,25.265,25.5625,27.2805,35.9015,36.6625,37.503,35,32.89,30.4715,26.1265,23.24,30.8701113955952,29.8338455846733,29.5006493799587,29.7108317394312,30.0300176808575,30.6427700853776,32.2555336490626,32.9737939057239,33.6556893910851,34.4888506252114,34.4644916526661,34.8157370341894,35.1405557413949,35.5162404555762,36.0569052612665,37.404648241494,38.2491106539889,38.9636329594414,39.7669886744869,38.8338436427197,38.2136168843458,36.948263204897,33.9623396620641,32.3258526271942,33.8800599695529,32.7809473632373,32.5633663336386,32.4138095195994,32.9996980064036,33.6476389714042,34.4157717908401,35.7499306776543,36.6917643664325,37.0789358748051,37.5671114563466,37.8156849442641,37.809950567718,38.4413405321847,38.66988904958,40.0193488662581,40.7953524676038,41.6362100716664,42.1516935543412,42.2715221733214,41.2379751584646,39.3836577119494,36.8901152926161,35.4648541085687
15.88,15.75,16.23,17.7,21.21,23.45,30.73,34.89,33.4,30.61,30.06,30.06,26.06,23,23.45,30.57,33.94,37.16,37.3,35.23,35.74,34.06,30.06,28.25,12.0452717747464,10.8130423065757,10.5376580067221,10.1634884144493,11.5004823024462,12.1052781959046,13.3678684119981,14.3520548580586,15.1747034622785,15.5082925120118,15.9529556947021,16.3319776708543,16.3899290722571,16.7518680291005,17.2456866106975,18.2659708565244,19.4231540691914,20.410342552104,20.4558762464982,19.6905996714199,19.6104710255419,17.7547355547231,16.0189612208625,13.6121520515794,17.4623742567684,16.5149445794814,15.9819220087783,16.2481539227439,16.9352682905322,17.592511501369,19.0185612633663,20.3229633931148,20.8328087593623,21.4195047088692,21.526559981533,21.9915278977306,22.2086592688793,22.18678103057,23.1072549413549,23.5106433986847,24.7074592760678,25.5667132634165,26.0768954746444,25.6227232943313,24.6948243543427,23.3851901110596,21.4933479061184,19.4897545806707,22.22,19.855,18.585,18.975,20.77,22.062,26.425,30.865,31.085,30.159,29.9,29.59,27.0445,25.37,25.9575,31.455,36.372,38.702,38.6555,36.276,33.81,31.305,28.4395,26.4515,31.3352356204047,30.3878059431177,29.8547833724146,30.1210152863803,30.8081296541686,31.4653728650054,32.8914226270026,34.1958247567512,34.7056701229987,35.2923660725055,35.3994213451694,35.8643892613669,36.0815206325156,36.0596423942063,36.9801163049913,37.383504762321,38.5803206397042,39.4395746270528,39.9497568382808,39.4955846579677,38.5676857179791,37.2580514746959,35.3662092697547,33.362615944307,34.0360988858575,32.8038694176868,32.5284851178332,32.1543155255604,33.4913094135573,34.0961053070157,35.3586955231092,36.3428819691697,37.1655305733896,37.4991196231229,37.9437828058132,38.3228047819654,38.3807561833682,38.7426951402116,39.2365137218086,40.2567979676355,41.4139811803025,42.4011696632151,42.4467033576093,41.681426782531,41.601298136653,39.7455626658342,38.0097883319736,35.6029791626905
22.82,21.47,17.99,17.99,19.3,23.44,29.99,32.4,29.42,23.48,17.49,16.2,15,15,15.95,20,26.74,34.58,37,33.17,32.07,29.78,27.19,21.47,12.654621855314,11.3709653661616,11.0666402065065,11.1810955103362,11.1913757033773,11.9220659612081,13.4398920802148,14.4907087393823,15.671540528235,15.8672347173263,16.1455456831066,15.9832822766784,15.7269955137257,16.1313655420704,16.5286411193568,17.672751330931,19.3933473951908,20.6916337620845,20.8320562454609,20.7178818020472,19.901929624443,17.4302712455336,15.2873746681097,13.5708870506742,18.0413451326663,17.3430464468349,17.0294391057765,16.9535677884761,17.3237157002138,17.6477796104636,19.6004860860647,20.5298198737189,21.2473672923386,21.9445054616495,21.9241120772957,21.941019645574,21.8487519088266,21.6990852462894,22.5813096541303,23.8178800175037,25.4879832443628,26.5108532938569,26.837115600023,26.7582615418325,25.5415361086612,23.556546308316,21.1870409882327,19.6727992359902,19.405,18.715,18.415,18.265,18.975,21.557,27.128,29.995,30.28,29.59,28.795,26.115,25.03,23.445,23.913,27.73,35.9015,36.623,37.585,37.068,34.315,31.28,27.075,23.781,31.4064634183806,30.7081647325492,30.3945573914908,30.3186860741904,30.6888339859281,31.0128978961779,32.965604371779,33.8949381594332,34.6124855780529,35.3096237473637,35.28923036301,35.3061379312883,35.2138701945409,35.0642035320037,35.9464279398445,37.1829983032179,38.8531015300771,39.8759715795712,40.2022338857373,40.1233798275468,38.9066543943755,36.9216645940303,34.552159273947,33.0379175217045,34.6117031886473,33.3280466994949,33.0237215398398,33.1381768436695,33.1484570367106,33.8791472945414,35.3969734135481,36.4477900727156,37.6286218615683,37.8243160506596,38.1026270164399,37.9403636100117,37.684076847059,38.0884468754037,38.4857224526901,39.6298326642643,41.3504287285241,42.6487150954178,42.7891375787942,42.6749631353805,41.8590109577763,39.3873525788669,37.244456001443,35.5279683840075
18.62,18,17.12,17.4,18.55,23.25,28.04,35.22,35.19,32.87,31.9,32.46,27.09,22.68,23.26,26.13,29.21,25,15,11.88,11.05,5.75,-0.05,-0.05,12.7608154272315,11.4641322804841,10.9617303490161,11.0778308688732,10.7340333217246,11.9473480290279,13.915614691869,15.5373278507405,15.9715777569322,16.3392939477982,16.1850804799367,15.5313372970614,15.5189789624133,15.1357458043412,16.1568674137635,17.5551276914818,19.4436403504432,20.5807979661806,21.1381103683089,20.7591237834916,19.7543990255115,17.7282915238267,15.0029301365632,13.0702548423006,19.8789637886518,18.613697252886,17.7308024250022,17.721367335515,18.0410474248437,18.8704696569898,20.6410423985604,22.295779576343,23.0195655713202,23.0372571936199,23.0426559805538,22.4760290332551,22.5203466143645,22.2031771461013,23.0402107085375,24.4267415691253,26.0537658389164,27.7666057751508,27.8337505976035,27.8474514338175,26.6643347448253,24.3077723707972,21.6977021853411,20.1199806269722,21.505,19.405,18.57,18.545,20.96,25.115,27.158,30.205,31.05,30.915,29.78,28.585,27.13,26.5045,26.6095,28.375,36.17,38.24,38.702,38,34.8845,32.395,30.9365,27.115,32.2943892886518,31.029122752886,30.1462279250023,30.136792835515,30.4564729248437,31.2858951569898,33.0564678985604,34.711205076343,35.4349910713202,35.4526826936199,35.4580814805538,34.8914545332551,34.9357721143645,34.6186026461013,35.4556362085375,36.8421670691253,38.4691913389164,40.1820312751508,40.2491760976035,40.2628769338175,39.0797602448253,36.7231978707972,34.1131276853411,32.5354061269722,34.449146942383,33.1524637956356,32.6500618641676,32.7661623840247,32.4223648368761,33.6356795441794,35.6039462070205,37.225659365892,37.6599092720837,38.0276254629497,37.8734119950882,37.2196688122129,37.2073104775648,36.8240773194927,37.845198928915,39.2434592066333,41.1319718655947,42.2691294813322,42.8264418834604,42.4474552986432,41.442730540663,39.4166230389782,36.6912616517147,34.7585863574521
-1,-0.05,-1,-1,-1,-1,0,12.74,12.99,11.74,11.14,7.68,2.12,-0.05,-1,1.93,17.47,21.49,14.65,8.8,0,0,-1.03,-1.02,5.96267739009536,4.5613735215697,4.05940249002849,4.02820573612103,4.75393102296381,6.78163889920793,8.80218374642421,10.6531468593761,12.2870810798976,12.7027276228058,12.3699731783613,11.0912916547923,10.4006616255953,10.1988879868068,11.1434300369525,12.7825346034838,16.0788736328077,18.1337209282371,18.6130238570741,17.4214277213977,15.7320154077127,13.6983343582529,10.8791835721673,8.35318406363345,14.3329129122993,13.3593470812455,12.2764045327424,12.0607516355206,13.126211989862,15.3415832279295,17.1754348520065,19.1306701838968,20.7544986576915,20.8606485465857,20.9343808561214,19.3779698516166,18.9355832268261,18.5925235569127,19.428918441347,21.106874713144,25.107789916446,26.7428026124471,26.7903557692572,25.7116828773079,24.0468063622026,21.6226820382395,19.1593051750829,16.4910598884251,11.02,8.97,8.97,8.97,9.421,11.683,17.585,19,20.8755,21.8755,20.53,20.265,18.51,17.585,18.095,19.51,24.075,28,34.4745,29.8865,26.925,22.04,19.21,15,27.5258629122993,26.5522970812455,25.4693545327424,25.2537016355206,26.319161989862,28.5345332279295,30.3683848520065,32.3236201838968,33.9474486576915,34.0535985465857,34.1273308561214,32.5709198516166,32.1285332268261,31.7854735569127,32.621868441347,34.299824713144,38.300739916446,39.9357526124471,39.9833057692572,38.9046328773079,37.2397563622026,34.8156320382395,32.3522551750829,29.6840098884251,29.7910683900953,28.3897645215697,27.8877934900285,27.856596736121,28.5823220229638,30.6100298992079,32.6305747464242,34.4815378593761,36.1154720798976,36.5311186228057,36.1983641783613,34.9196826547923,34.2290526255953,34.0272789868068,34.9718210369524,36.6109256034838,39.9072646328077,41.9621119282371,42.4414148570741,41.2498187213976,39.5604064077126,37.5267253582528,34.7075745721672,32.1815750636334
-10,-22.89,-29.81,-39.97,-41.09,-33.52,-20,-5,-1.01,-1.03,-5.59,-11.61,-15.18,-27.93,-27.93,-10,-1,11.36,12.67,12.78,13.56,12.99,0.02,-1.32,-2.76188550696657,-4.82107685674114,-4.83156618137154,-4.08379375763436,-2.37116568909926,0.327066350303134,2.05950557007807,4.17868009561867,6.80860794185973,7.08406709269567,6.51142475479547,5.91283612318898,5.36718604970427,5.81110008370598,7.52038498319141,9.6616465135592,12.1339600398874,13.8893328476682,14.3927874533866,13.1214715317553,11.2209634496588,9.12607587052498,7.13762550736962,5.54046595023363,8.98629423910085,7.49913379048861,7.30862880875738,8.18366202861292,9.57608973551581,11.8635689366454,13.9672744678338,16.5731103072457,18.3072479030097,18.9744809635338,18.9100341093166,18.2382307976415,17.4542403933104,17.9413782690986,19.3508104314403,21.8648484730151,23.8581049718271,25.5977585050664,26.2230374178401,24.8436486976317,23.2633750253384,21.053513715841,18.8300351410098,17.4213890406023,-0.03,-1,-0.525,-0.51,0,2.58,11.795,18.7035,20.885,21.075,21.075,21.579,21.579,21.579,21.9185,23.32,27.005,28.155,30.9915,31.89,31.5595,29.175,28.295,24.105,23.7754496279897,22.2882891793775,22.0977841976463,22.9728174175018,24.3652451244047,26.6527243255343,28.7564298567226,31.3622656961346,33.0964032918986,33.7636363524227,33.6991894982055,33.0273861865304,32.2433957821993,32.7305336579875,34.1399658203291,36.654003861904,38.647260360716,40.3869138939553,41.012192806729,39.6328040865206,38.0525304142273,35.8426691047299,33.6191905298987,32.2105444294911,26.6951011597001,24.6359098099255,24.6254204852951,25.3731929090323,27.0858209775674,29.7840530169698,31.5164922367447,33.6356667622853,36.2655946085264,36.5410537593623,35.9684114214621,35.3698227898556,34.8241727163709,35.2680867503726,36.9773716498581,39.1186331802259,41.590946706554,43.3463195143349,43.8497741200532,42.5784581984219,40.6779501163255,38.5830625371916,36.5946121740363,34.9974526169003
-6.5,-17.13,-20,-22.89,-28.11,-24.92,-20,-1.1,3.3,11.4,12.47,15.7,19.04,18.54,18.16,18.16,27.93,46.03,40.26,42.6,45.82,42.6,37.29,29.72,1.73621946774125,0.983136841148273,0.607189831663042,0.962854940694225,1.94299280320209,3.49983727610353,4.11959868214457,5.8178255295366,7.2887785637841,7.40154718308807,7.70560823817716,7.15253959821263,7.28307786455608,7.42458962067033,8.96068716705913,10.5826293532592,12.2970951437253,13.0485130402071,12.9147272656312,12.3484933598742,10.7606918804806,8.54153180540359,6.58482707895279,4.80471684322952,12.7837092625232,11.9192434717069,11.6185326569264,11.9345693572433,13.2283397967575,14.3019777507347,14.9657370677801,16.7227004692331,17.9292678809682,18.2994784676236,18.9558791217513,18.402587364375,18.394158830224,18.5308843740122,19.9731631806685,21.3133001636657,23.5356763468013,24.0293615683192,23.8476169324062,23.1349752629579,21.6477859577988,19.3160254512155,17.707976156641,15.9418782443482,23.483,23.0155,23.0155,22.6795,24.5085,27.865,31.4,31.4,29,28.4,27.68,27.547,27.347,27.547,28.76,31.8855,37.62,39.86,39.29,38.3855,37.055,35.515,33.9205,32.815,31.3353185482375,30.4708527574211,30.1701419426407,30.4861786429576,31.7799490824718,32.853587036449,33.5173463534944,35.2743097549474,36.4808771666825,36.8510877533379,37.5074884074655,36.9541966500893,36.9457681159383,37.0824936597265,38.5247724663828,39.86490944938,42.0872856325156,42.5809708540335,42.3992262181205,41.6865845486722,40.1993952435131,37.8676347369297,36.2595854423553,34.4934875300625,33.4751616105984,32.7220789840054,32.3461319745202,32.7017970835514,33.6819349460592,35.2387794189607,35.8585408250017,37.5567676723937,39.0277207066412,39.1404893259452,39.4445503810343,38.8914817410698,39.0220200074132,39.1635317635275,40.6996293099163,42.3215714961163,44.0360372865825,44.7874551830643,44.6536694084883,44.0874355027314,42.4996340233378,40.2804739482607,38.3237692218099,36.5436589860867
23.65,20.3,18.07,16.51,17.1,19.99,22.05,27.69,26.52,20,17.2,15.09,13.62,12.95,13.62,18.08,24.26,34,35.22,34.91,36.01,35,28.78,27.5,1.69622956767439,0.93474234818753,0.460082832101765,0.955011951593381,2.28578382131096,3.45208793363383,4.59673711219337,6.01753626311519,6.49377720123131,6.82518034615516,6.57448882391418,6.32063671076278,5.99945371237889,7.2660988507326,8.58099667582418,10.4243325677167,10.8330488946437,11.3266190273946,11.3825490747678,10.9143811421251,9.69133612217809,8.19211343535433,6.10079632250686,4.11771229665176,12.1355695331719,11.0518796255596,11.2365141979449,11.8540585452643,12.4464704116717,13.957779358307,15.653128485496,16.4875761265718,17.2045725993913,17.12809163743,17.3099174184876,17.1475349661582,17.0679590911403,16.6678374326203,19.3831802910582,20.9018374808723,21.592183820386,22.0041835781414,21.8329789213696,21.4231070075758,20.3248589882472,18.8714655665399,16.5625754344795,14.4272573564795,30.8515,30.7535,30.8495,31.391,31.391,31.391,34.0745,35.087,36.3785,36.035,35.095,33.81,33.1155,32.3855,33.8855,36.22,40.9035,41.099,41.01,38.7705,36.895,34.54,33.5,31.6375,32.2590888058991,31.1753988982869,31.3600334706722,31.9775778179915,32.5699896843989,34.0812986310343,35.7766477582233,36.6110953992991,37.3280918721186,37.2516109101573,37.4334366912149,37.2710542388855,37.1914783638676,36.7913567053476,39.5066995637854,41.0253567535996,41.7157030931132,42.1277028508687,41.9564981940969,41.546626280303,40.4483782609745,38.9949848392672,36.6860947072068,34.5507766292068,34.8412164565633,34.0797292370764,33.6050697209907,34.0999988404823,35.4307707101999,36.5970748225227,37.7417240010823,39.1625231520041,39.6387640901202,39.9701672350441,39.7194757128031,39.4656235996517,39.1444406012678,40.4110857396215,41.7259835647131,43.5693194566056,43.9780357835326,44.4716059162835,44.5275359636567,44.059368031014,42.836323011067,41.3371003242432,39.2457832113957,37.2626991855407
25.91,25.42,24.63,25,27.9,31,30.87,37,35.51,32.85,30.81,33.37,28.16,23.89,27.96,35.85,32.86,41.69,40.61,35.62,33.27,29.78,37.93,32.26,3.45064300573765,2.82033304630555,2.86195605296159,3.43287242346278,4.43169918341579,5.60179443241944,6.51118068265729,7.23773432870701,7.81181294157562,7.48589926776927,7.45386851204352,7.34716465780252,6.93822777219473,7.3691206040256,8.80190850640762,10.247468477052,11.4384835581284,11.2979448461261,11.0309869793764,10.5247157404831,9.53450405801209,7.95749185333846,5.84755496583443,4.39401727521817,16.1906910757232,15.5257199833896,15.1906300485229,15.661328559985,16.9193159039373,18.0331895773208,19.1024544573548,19.6977896112485,20.1439612867358,20.0572987824741,20.0347217287045,19.932046715368,19.1646814127143,19.8607520531188,21.1171273970078,22.6939986169518,23.6271252324924,24.0001986383061,23.6781711335292,22.9019894845234,21.8897650829461,20.1246016915756,18.6654351293548,16.7840278995079,31.235,29.6605,29.261,29.261,29.261,31.4825,35.637,37.0285,37.85,38.04,37.33,36.109,34.93,35.035,35.035,36.66,39.7,39.7,39.5165,38.3155,35.4555,33.435,31.6325,30.03,34.6916821666323,34.0267110742987,33.691621139432,34.1623196508941,35.4203069948464,36.5341806682299,37.6034455482639,38.1987807021576,38.6449523776449,38.5582898733832,38.5357128196136,38.4330378062771,37.6656725036234,38.3617431440279,39.6181184879169,41.1949897078609,42.1281163234015,42.5011897292152,42.1791622244383,41.4029805754325,40.3907561738553,38.6255927824847,37.1664262202639,35.285018990417,36.7048958628805,36.0745859034484,36.1162089101044,36.6871252806056,37.6859520405586,38.8560472895623,39.7654335398001,40.4919871858499,41.0660657987185,40.7401521249121,40.7081213691864,40.6014175149454,40.1924806293376,40.6233734611685,42.0561613635505,43.5017213341949,44.6927364152712,44.552197703269,44.2852398365193,43.7789685976259,42.788756915155,41.2117447104813,39.1018078229773,37.648270132361
