EURPrices+0,EURPrices+1,EURPrices+2,EURPrices+3,EURPrices+4,EURPrices+5,EURPrices+6,EURPrices+7,EURPrices+8,EURPrices+9,EURPrices+10,EURPrices+11,EURPrices+12,EURPrices+13,EURPrices+14,EURPrices+15,EURPrices+16,EURPrices+17,EURPrices+18,EURPrices+19,EURPrices+20,EURPrices+21,EURPrices+22,EURPrices+23,EURPrices+0_Forecast_10,EURPrices+1_Forecast_10,EURPrices+2_Forecast_10,EURPrices+3_Forecast_10,EURPrices+4_Forecast_10,EURPrices+5_Forecast_10,EURPrices+6_Forecast_10,EURPrices+7_Forecast_10,EURPrices+8_Forecast_10,EURPrices+9_Forecast_10,EURPrices+10_Forecast_10,EURPrices+11_Forecast_10,EURPrices+12_Forecast_10,EURPrices+13_Forecast_10,EURPrices+14_Forecast_10,EURPrices+15_Forecast_10,EURPrices+16_Forecast_10,EURPrices+17_Forecast_10,EURPrices+18_Forecast_10,EURPrices+19_Forecast_10,EURPrices+20_Forecast_10,EURPrices+21_Forecast_10,EURPrices+22_Forecast_10,EURPrices+23_Forecast_10,EURPrices+0_Forecast_30,EURPrices+1_Forecast_30,EURPrices+2_Forecast_30,EURPrices+3_Forecast_30,EURPrices+4_Forecast_30,EURPrices+5_Forecast_30,EURPrices+6_Forecast_30,EURPrices+7_Forecast_30,EURPrices+8_Forecast_30,EURPrices+9_Forecast_30,EURPrices+10_Forecast_30,EURPrices+11_Forecast_30,EURPrices+12_Forecast_30,EURPrices+13_Forecast_30,EURPrices+14_Forecast_30,EURPrices+15_Forecast_30,EURPrices+16_Forecast_30,EURPrices+17_Forecast_30,EURPrices+18_Forecast_30,EURPrices+19_Forecast_30,EURPrices+20_Forecast_30,EURPrices+21_Forecast_30,EURPrices+22_Forecast_30,EURPrices+23_Forecast_30,EURPrices+0_Forecast_50,EURPrices+1_Forecast_50,EURPrices+2_Forecast_50,EURPrices+3_Forecast_50,EURPrices+4_Forecast_50,EURPrices+5_Forecast_50,EURPrices+6_Forecast_50,EURPrices+7_Forecast_50,EURPrices+8_Forecast_50,EURPrices+9_Forecast_50,EURPrices+10_Forecast_50,EURPrices+11_Forecast_50,EURPrices+12_Forecast_50,EURPrices+13_Forecast_50,EURPrices+14_Forecast_50,EURPrices+15_Forecast_50,EURPrices+16_Forecast_50,EURPrices+17_Forecast_50,EURPrices+18_Forecast_50,EURPrices+19_Forecast_50,EURPrices+20_Forecast_50,EURPrices+21_Forecast_50,EURPrices+22_Forecast_50,EURPrices+23_Forecast_50,EURPrices+0_Forecast_70,EURPrices+1_Forecast_70,EURPrices+2_Forecast_70,EURPrices+3_Forecast_70,EURPrices+4_Forecast_70,EURPrices+5_Forecast_70,EURPrices+6_Forecast_70,EURPrices+7_Forecast_70,EURPrices+8_Forecast_70,EURPrices+9_Forecast_70,EURPrices+10_Forecast_70,EURPrices+11_Forecast_70,EURPrices+12_Forecast_70,EURPrices+13_Forecast_70,EURPrices+14_Forecast_70,EURPrices+15_Forecast_70,EURPrices+16_Forecast_70,EURPrices+17_Forecast_70,EURPrices+18_Forecast_70,EURPrices+19_Forecast_70,EURPrices+20_Forecast_70,EURPrices+21_Forecast_70,EURPrices+22_Forecast_70,EURPrices+23_Forecast_70,EURPrices+0_Forecast_90,EURPrices+1_Forecast_90,EURPrices+2_Forecast_90,EURPrices+3_Forecast_90,EURPrices+4_Forecast_90,EURPrices+5_Forecast_90,EURPrices+6_Forecast_90,EURPrices+7_Forecast_90,EURPrices+8_Forecast_90,EURPrices+9_Forecast_90,EURPrices+10_Forecast_90,EURPrices+11_Forecast_90,EURPrices+12_Forecast_90,EURPrices+13_Forecast_90,EURPrices+14_Forecast_90,EURPrices+15_Forecast_90,EURPrices+16_Forecast_90,EURPrices+17_Forecast_90,EURPrices+18_Forecast_90,EURPrices+19_Forecast_90,EURPrices+20_Forecast_90,EURPrices+21_Forecast_90,EURPrices+22_Forecast_90,EURPrices+23_Forecast_90
24.65,21.59,18.29,14.12,11.58,12.26,15.34,19.72,23.22,25.83,25.67,23.83,19.36,13.92,15.16,24.69,31.66,31.66,28.66,23.22,21,20.36,14.26,13.98,18.7674214639227,16.2689518856653,14.2974811791762,10.7971739461292,10.3161466268053,11.2993028698984,13.2732192968509,15.7631741215426,17.4508811905635,18.7032641675414,20.3403928761443,19.3915346439857,17.8590526887646,15.8538696815926,15.8944102341365,18.5989354232489,21.0935988346715,24.8181503246904,23.0681744160394,21.3842106790456,21.3688518586317,18.1400508066954,14.5167182721454,10.90164205268,22.7615152898125,17.6030052011833,17.4522919226803,15.1315736018708,14.9756768381409,14.6648135109316,17.1290344785324,20.6606638704624,21.1393384821654,21.5131115947775,21.0119366015736,22.6580956767685,21.1209949588165,19.7369262914552,17.997896558449,19.7476958993922,24.0101325112768,26.308621904162,26.7822941411737,26.1578964982557,23.2009854465144,20.8398989412023,19.3617114058587,14.9491362179363,23.1867203245969,19.8011700741908,16.8543887020995,15.6557412257657,12.4950139819713,14.9180767031199,16.4316073852596,19.779225670467,18.5055546889787,21.5948027898116,21.0402298589945,22.1569869394858,21.3533918224839,17.6047730248649,15.9328671169042,21.5502784078443,24.7976555590766,25.7667912556498,26.2039217123832,25.4484702407869,24.8913291771651,21.1425141156759,18.3468747382234,14.6177715923375,28.356420710201,23.1979106215717,23.0471973430688,20.7264790222593,20.5705822585294,20.2597189313201,22.7239398989209,26.2555692908509,26.7342439025539,27.108017015166,26.6068420219621,28.253001097157,26.715900379205,25.3318317118437,23.5928019788375,25.3426013197806,29.6050379316653,31.9035273245504,32.3771995615622,31.7528019186442,28.7958908669029,26.4348043615908,24.9566168262472,20.5440416383248,30.0802166825149,27.5817471042574,25.6102763977684,22.1099691647214,21.6289418453975,22.6120980884906,24.5860145154431,27.0759693401347,28.7636764091557,30.0160593861336,31.6531880947364,30.7043298625778,29.1718479073568,27.1666649001847,27.2072054527286,29.911730641841,32.4063940532637,36.1309455432825,34.3809696346316,32.6970058976377,32.6816470772238,29.4528460252875,25.8295134907376,22.2144372712722
13,12.64,12.88,10.26,12.89,21.41,26.12,25.37,23.13,23.13,20.66,20.76,15,15,15,20.66,31.55,39.82,36,33.62,33.65,24.11,28.48,17.05,7.24758553326228,5.3320614984827,6.63993432179418,7.69709789077593,10.0583746782118,13.4576505477266,15.4210816777382,19.0880941701956,20.3128723042701,20.6813154847608,21.896896471503,22.3900317037621,21.1311541165891,20.0390479413776,20.2630566726485,22.2607478664965,25.5598849973211,28.4164968168642,27.9311659275592,25.562745526572,24.9263850963498,21.9769070768243,18.9605313485788,16.0871913172061,9.29647963863621,9.7475557486545,7.68433126135004,9.58990751011281,12.4533726876768,14.9665934313745,18.0795066584248,23.2952289699499,22.9339238168031,23.5817639429857,23.8520756013652,24.6142618631802,23.3697320287315,22.7171098976989,21.4438218000172,25.0572195817576,28.373750948971,32.0570984229004,30.5561637332088,29.2218735692311,26.158527948982,23.3898918584315,21.1912495668471,18.2613033447798,10.4424020356343,11.8652665529528,11.0870485345242,11.1660025104163,13.6572580530502,17.4498500150389,21.9939991403302,26.5220933992911,26.104996998764,24.9876383137154,27.0889152320397,29.9436799599071,27.4958220041425,24.9233684320683,25.984338395556,28.6150361007206,36.0477183468971,36.4131394458723,35.8131249011112,31.5037641878568,31.5523106971308,27.7891336792541,23.6262884998699,19.9451578181062,14.9241872961733,15.3752634061916,13.3120389188872,15.2176151676499,18.0810803452139,20.5943010889117,23.7072143159619,28.9229366274871,28.5616314743402,29.2094716005229,29.4797832589024,30.2419695207173,28.9974396862687,28.344817555236,27.0715294575543,30.6849272392948,34.0014586065081,37.6848060804375,36.1838713907459,34.8495812267682,31.7862356065191,29.0175995159687,26.8189572243842,23.8890110023169,17.2285215821562,15.3129975473766,16.6208703706881,17.6780339396698,20.0393107271057,23.4385865966204,25.4020177266321,29.0690302190895,30.2938083531639,30.6622515336547,31.8778325203969,32.370967752656,31.112090165483,30.0199839902715,30.2439927215424,32.2416839153904,35.540821046215,38.3974328657581,37.9121019764531,35.5436815754659,34.9073211452436,31.9578431257182,28.9414673974727,26.0681273661
15.88,15.75,16.23,17.7,21.21,23.45,30.73,34.89,33.4,30.61,30.06,30.06,26.06,23,23.45,30.57,33.94,37.16,37.3,35.23,35.74,34.06,30.06,28.25,9.47246218091317,10.0187460911257,9.07023360697247,10.5611149249847,12.7062070671321,19.1640996778228,22.8819524603465,27.1258865126974,24.8072553280424,23.5728065405772,23.8247626196749,24.4911344266907,21.5019978062498,20.9911857781959,20.4793956991769,23.2280472889439,28.9041985275243,32.0935858131568,29.5300655023603,27.7655269328834,26.8149471000286,24.6646643527001,23.2252307648566,20.6500261710597,12.6018558770368,11.6425378094692,12.4060711780464,13.9629014101355,15.9430219588603,21.0989186601091,25.3843466026261,28.2673773855341,29.2527885188125,27.4084806148998,27.0868479882094,27.472324710346,25.127258157912,24.4195297183095,23.3507199231975,25.8170827079559,30.8814955840336,36.8362895448054,33.4991462289518,31.4666812375449,30.9666135785972,26.797497066114,26.6952453376893,23.5899321846021,15.2512122361271,14.6898908813105,14.5481564142792,16.3860709772387,18.1087016448494,22.7144624727483,28.1770631042867,31.5871607263051,29.6020244605693,29.9057718392957,28.9383163349235,30.0269551493173,26.9961975836388,25.3429496972736,25.4631386177859,30.3722783684712,33.1212641438916,39.1383701259921,35.5341856638923,35.3485840794424,32.9867943550722,29.3488507230406,28.7627084201744,25.104573210999,18.51377876346,17.5544606958924,18.3179940644696,19.8748242965587,21.8549448452834,27.0108415465322,31.2962694890493,34.1793002719572,35.1647114052356,33.3204035013229,32.9987708746326,33.3842475967692,31.0391810443352,30.3314526047326,29.2626428096207,31.7290055943791,36.7934184704567,42.7482124312286,39.411069115375,37.3786041239681,36.8785364650204,32.7094199525372,32.6071682241124,29.5018550710253,20.5919877984824,21.1382717086949,20.1897592245417,21.680640542554,23.8257326847013,30.2836252953921,34.0014780779158,38.2454121302667,35.9267809456117,34.6923321581464,34.9442882372441,35.61066004426,32.6215234238191,32.1107113957652,31.5989213167461,34.3475729065131,40.0237241450935,43.2131114307261,40.6495911199296,38.8850525504527,37.9344727175979,35.7841899702693,34.3447563824259,31.769551788629
22.82,21.47,17.99,17.99,19.3,23.44,29.99,32.4,29.42,23.48,17.49,16.2,15,15,15.95,20,26.74,34.58,37,33.17,32.07,29.78,27.19,21.47,19.7140188180163,17.7535399707369,16.4016398819143,15.9373095007757,15.3002944502587,17.3926016193389,20.6278264542709,23.6360276454188,21.4214280170464,21.2873609435764,19.0583650294388,18.8649072458275,15.7144812247134,16.0253036969922,14.9459909699089,19.4017790831278,24.4068271638716,28.4642623939632,27.7862580386257,27.2769402015008,26.9207508827049,26.1792652846893,23.6052855600008,20.3667019166459,23.7179180051036,21.7997240035427,19.4948025570772,19.4523431682544,20.1695170165219,21.4840342413276,24.8166237883968,26.3771682285409,27.204418808794,24.6711253447327,23.1580727109789,23.8762386378985,20.527255042534,19.6671088139856,18.5077053032005,22.6712492587327,28.3164937873393,30.7013711970872,32.5148719424953,31.4977180130801,31.3872836473985,28.7915752207757,27.344312760527,24.4216862830293,25.3155632473507,23.7334136124926,20.7455856323099,22.1146490685563,21.3116520914874,24.7488255143414,27.0257208399747,30.3068575279739,28.4635140455963,25.2745040248524,26.5019626954739,25.7116593556974,24.0833314440145,20.5393929662562,20.300825282307,24.9171958154838,30.6859447931483,33.8306302009362,35.0752841232869,34.9653741981224,34.2430767746655,31.0372283581045,28.2637418533927,27.2026365776687,29.1909551122497,27.2727611106888,24.9678396642233,24.9253802754005,25.642554123668,26.9570713484737,30.2896608955429,31.850205335687,32.6774559159401,30.1441624518788,28.631109818125,29.3492757450446,26.0002921496801,25.1401459211317,23.9807424103465,28.1442863658788,33.7895308944854,36.1744083042333,37.9879090496414,36.9707551202262,36.8603207545446,34.2646123279218,32.8173498676731,29.8947233901754,30.0557423028795,28.0952634556,26.7433633667774,26.2790329856389,25.6420179351218,27.7343251042021,30.9695499391341,33.9777511302819,31.7631515019095,31.6290844284395,29.400088514302,29.2066307306906,26.0562047095765,26.3670271818553,25.287714454772,29.743502567991,34.7485506487347,38.8059858788264,38.1279815234889,37.6186636863639,37.262474367568,36.5209887695524,33.9470090448639,30.708425401509
18.62,18,17.12,17.4,18.55,23.25,28.04,35.22,35.19,32.87,31.9,32.46,27.09,22.68,23.26,26.13,29.21,25,15,11.88,11.05,5.75,-0.05,-0.05,15.4926701679264,13.8176281865716,14.510799769264,15.2193742991681,17.9641621310466,21.3462159177501,25.7803610608319,27.5388325684376,27.83212258356,27.5070953582276,27.5064131663249,24.6622015796866,21.8529868380524,19.2357731298626,17.6560384723066,19.7411838498886,21.4401542750505,20.5393694969855,20.3933088792798,15.6813255383939,9.92583871934831,3.65728912314682,-3.71529152469264,-10.1466599108983,16.4864730662293,14.8430571016889,15.9319974367859,16.8430734033842,19.7699638903935,21.6692671073421,27.470955771558,29.988146950991,30.3901365826983,29.7546845821868,27.806815809041,26.0393369272791,23.2425790713967,22.3930062047519,20.3948469647487,20.6006545309822,22.0748244592976,24.5099651172658,21.0557114961267,16.4738433827811,8.26896122859945,3.56235959149819,-2.86874628695676,-7.86883024180724,19.2686559974338,19.3724005607864,19.3845830014563,19.8325947800281,22.7034353922756,26.2339299873812,32.1778779937868,34.9078852567153,33.8193396440756,33.7313104374765,32.9968336213962,32.5638999915322,28.3467732589821,23.6412937774138,21.7543318203859,22.694441468663,27.922566125953,26.4275298116459,25.7808673981899,18.1793793955457,16.2636066988454,6.79323855992791,-2.36781135318504,-6.53792976761828,22.1818353830525,20.5384194185121,21.6273597536091,22.5384357202074,25.4653262072167,27.3646294241652,33.1663180883812,35.6835092678142,36.0854988995214,35.45004689901,33.5021781258642,31.7346992441022,28.9379413882199,28.0883685215751,26.0902092815718,26.2960168478054,27.7701867761208,30.205327434089,26.7510738129498,22.1692056996042,13.9643235454226,9.25772190832138,2.82661602986643,-2.17346792498406,25.2555201476903,23.5804781663355,24.2736497490278,24.9822242789319,27.7270121108105,31.109065897514,35.5432110405958,37.3016825482015,37.5949725633239,37.2699453379915,37.2692631460888,34.4250515594504,31.6158368178163,28.9986231096265,27.4188884520705,29.5040338296525,31.2030042548144,30.3022194767493,30.1561588590436,25.4441755181578,19.6886886991122,13.4201391029107,6.04755845507125,-0.383809931134407
-1,-0.05,-1,-1,-1,-1,0,12.74,12.99,11.74,11.14,7.68,2.12,-0.05,-1,1.93,17.47,21.49,14.65,8.8,0,0,-1.03,-1.02,-9.14464042003549,-12.871377308777,-13.8961778190598,-14.9281984615403,-15.5789609500377,-12.331781559107,-10.6737454880999,-1.94188068544494,2.08409079778112,5.27304290024483,6.47932651522002,6.66988087141419,6.25696094477688,-0.982506840001807,-3.15284878788036,4.35216566996674,8.97665668009783,10.1176318472119,7.56756812792254,0.470089795791488,-0.703526106363997,-3.78076168480801,-8.33949731552954,-10.8874549333335,-6.83207258176011,-7.32499176570055,-10.2959142909378,-11.4433089900704,-8.25379084226533,-9.101012149594,-3.23866431974787,4.60195344414769,8.67830316005909,6.49661916208581,10.0840191383995,10.6276886773149,9.90603601788414,5.70396151745623,2.21125261275214,3.14280403020623,11.0642800301465,14.8392254264481,13.1988091136099,5.09970104664444,4.64930954185169,-1.21911439905512,-3.29317004780802,-5.39041034051762,-4.00801531341873,-6.07735615767259,-7.6080345693364,-9.17900782317134,-8.41731137260894,-8.00545116020291,-5.06789095951891,2.54777652085043,10.588709557486,8.79764371921825,9.47232202983495,13.4245532798164,12.4839555103848,3.45912980889062,-0.321579986094159,6.56200498079629,14.9229392559787,17.7168512419352,14.1901469414345,5.23807766092949,5.06576962677636,-1.97286835495942,-5.37337700917071,-8.98134037264972,-0.967020052028571,-1.45993923596901,-4.43086176120627,-5.57825646033885,-2.38873831253379,-3.23595961986246,2.62638820998367,10.4670059738792,14.5433556897906,12.3616716918173,15.949071668131,16.4927412070465,15.7710885476157,11.5690140471878,8.07630514248368,9.00785655993777,16.929332559878,20.7042779561796,19.0638616433414,10.964753576376,10.5143620715832,4.64593813067642,2.57188248192351,0.474642189213924,1.11147894917087,-2.61525793957061,-3.64005844985343,-4.67207909233392,-5.32284158083135,-2.07566218990063,-0.417626118893512,8.31423868376143,12.3402101669875,15.5291622694512,16.7354458844264,16.9260002406206,16.5130803139832,9.27361252920456,7.103270581326,14.6082850391731,19.2327760493042,20.3737512164183,17.8236874971289,10.7262091649979,9.55259326284237,6.47535768439836,1.91662205367683,-0.631335564127136
-10,-22.89,-29.81,-39.97,-41.09,-33.52,-20,-5,-1.01,-1.03,-5.59,-11.61,-15.18,-27.93,-27.93,-10,-1,11.36,12.67,12.78,13.56,12.99,0.02,-1.32,-9.63239545866608,-11.6685905608843,-13.3845843361192,-15.2240983671454,-12.3370805638759,-10.8327774298699,-10.2158163593956,-8.25278165741066,-8.83916494027171,-0.629903337874616,-1.94637546103568,-0.224766713608412,-4.32730979086374,-5.29649248759341,-7.91901209176413,-0.947264628468836,5.89775243576477,13.4476437764369,14.389779573611,18.5927205656912,18.0992249903264,16.365955075826,13.1523321176387,9.23112293552176,-7.26894090404826,-8.93732759788828,-10.1209550495398,-11.047235220266,-8.723853596421,-8.79238871533375,-7.40869342450474,-4.0621923492359,-3.16643662960778,-1.72089939686528,0.520918152412711,0.27776029879236,0.719182110927299,-2.98489335325087,-1.21953991361946,1.32149327383357,9.20831622614096,15.152762504501,16.838142322578,20.842381769888,21.781055620731,19.2029346421196,13.9101095513271,13.5813658964192,-2.88943252248161,-5.09944262245203,-7.1044826647572,-8.80480957937684,-9.30078657420636,-10.4068783766335,-9.34156731443704,-4.89123890784055,-3.11764609389433,1.17821383301786,2.58074093025499,3.64622867970226,1.29183461841551,-0.869248716994452,-0.495370092783084,-0.275035521494263,10.2618885903334,20.0210639135194,24.25358905678,27.0820054245753,25.0978170599851,21.602665412387,18.8724917760367,17.4163145198805,-0.807437941213974,-2.475824635054,-3.65945208670548,-4.58573225743171,-2.26235063358671,-2.33088575249947,-0.947190461670454,2.39931061359839,3.2950663332265,4.74060356596901,6.98242111524699,6.73926326162664,7.18068507376158,3.47660960958342,5.24196304921482,7.78299623666785,15.6698191889752,21.6142654673353,23.2996452854122,27.3038847327223,28.2425585835653,25.6644376049538,20.3716125141614,20.0428688592535,1.44196860460073,-0.594226497617532,-2.31022027285243,-4.14973430387859,-1.26271650060912,0.241586633396917,0.858547703871228,2.82158240585615,2.2351991229951,10.4444607253922,9.12798860223113,10.8495973496584,6.74705427240307,5.7778715756734,3.15535197150268,10.127099434798,16.9721164990316,24.5220078397037,25.4641436368778,29.667084628958,29.1735890535932,27.4403191390928,24.2266961809055,20.3054869987886
-6.5,-17.13,-20,-22.89,-28.11,-24.92,-20,-1.1,3.3,11.4,12.47,15.7,19.04,18.54,18.16,18.16,27.93,46.03,40.26,42.6,45.82,42.6,37.29,29.72,-8.2496091291221,-2.36060205391582,3.6379405791675,3.71148222606197,7.29312209411073,12.5168481685772,13.1101089985935,15.3806736771327,18.4957667216415,17.1456944571935,18.6796899197135,18.5076387392155,17.4837230491204,19.7221511587201,20.2414074009073,23.9814178789156,26.1314000870829,28.6932413615113,29.1850818148358,27.1940650228904,27.9235518012732,23.6311954054479,22.2776835427143,20.901069103037,-3.02039834382951,1.24776967852206,7.72283438283967,9.80066831886542,13.7950143882061,16.1825280613812,18.3809541501834,21.6903116890709,24.3252900829024,24.3870212389546,23.8618984504039,23.2288818175746,22.33913830319,24.572755526472,25.5519233939499,26.5317192274917,30.1582120334233,33.4132936408062,32.2708222315601,31.6557779030528,33.0614244819447,29.3193149650748,28.0380203280642,25.8481132492961,-0.57225572851288,1.99203439529878,8.29923993233276,10.6800406509395,15.1556861516681,16.4551071819485,20.7159345823993,24.2224749847387,26.5460455196323,24.8367744530703,22.5144692477669,24.5808387718086,23.9937726671461,24.5675365717969,27.9525051056843,30.3054035081683,32.0923989016515,37.5069470645921,37.8940036759635,35.6625732977865,36.2677623213169,34.6511164392571,30.8577836722911,26.4650449517896,3.19614471489026,7.46431273724183,13.9393774415594,16.0172113775852,20.0115574469259,22.399071120101,24.5974972089031,27.9068547477906,30.5418331416222,30.6035642976743,30.0784415091236,29.4454248762944,28.5556813619098,30.7892985851918,31.7684664526696,32.7482622862115,36.374755092143,39.629836699526,38.4873652902798,37.8723209617725,39.2779675406645,35.5358580237945,34.2545633867839,32.0646563080158,5.13796821845062,11.0269752936569,17.0255179267402,17.0990595736347,20.6806994416834,25.90442551615,26.4976863461663,28.7682510247054,31.8833440692143,30.5332718047662,32.0672672672862,31.8952160867882,30.8713003966932,33.1097285062929,33.6289847484801,37.3689952264883,39.5189774346556,42.0808187090841,42.5726591624085,40.5816423704631,41.3111291488459,37.0187727530206,35.665260890287,34.2886464506097
23.65,20.3,18.07,16.51,17.1,19.99,22.05,27.69,26.52,20,17.2,15.09,13.62,12.95,13.62,18.08,24.26,34,35.22,34.91,36.01,35,28.78,27.5,18.4554867902552,16.298570933391,14.0930526240202,11.5847217463407,11.8861783874932,13.5195053426641,16.8032314699746,21.4642241421615,19.3344015917735,16.391222420324,16.9029875597783,20.8164004586866,13.7942032339517,11.1261419221474,11.8177962997695,14.4287619214213,18.7799829021906,26.5542539716973,25.5565838657567,25.9085206901541,27.7787072668805,25.4777471210959,22.8382401323291,19.8535064591944,25.1806241946248,21.7131884764358,21.0921482590892,18.9945742151719,20.4458202185833,19.7478866751617,24.446598132272,27.8679906222313,25.2481589946276,25.0604251528734,23.8310127114737,21.5435141285014,21.0475641509782,18.0867519312968,20.142423162177,18.6128839413509,24.7312632898398,32.1709094918518,30.5645393690472,31.8109251343812,34.9609016548452,32.9652229875848,28.1336907197839,24.1171874255713,27.7842185236789,25.8700443244619,23.3121871521267,20.5906392315861,20.0968013472601,23.8433128388602,28.9232255719323,30.4018723659814,30.7770453848906,28.9063582832503,26.3489486803251,26.1231493647487,22.9876194710962,20.0484586332009,18.7196867480563,22.7518675401824,29.3719734971876,39.0539784976941,35.7143683251512,36.0949106479904,37.1913713916352,35.7293387963556,32.2159432362183,28.5241483103985,32.4383877625861,28.9709520443972,28.3499118270505,26.2523377831332,27.7035837865446,27.005650243123,31.7043617002333,35.1257541901926,32.5059225625889,32.3181887208347,31.0887762794351,28.8012776964627,28.3053277189395,25.3445154992581,27.4001867301383,25.8706475093122,31.9890268578011,39.4286730598131,37.8223029370085,39.0686887023425,42.2186652228065,40.2229865555462,35.3914542877452,31.3749509935326,33.9283966085017,31.7714807516375,29.5659624422667,27.0576315645872,27.3590882057397,28.9924151609106,32.2761412882211,36.937133960408,34.80731141002,31.8641322385705,32.3758973780248,36.2893102769331,29.2671130521982,26.5990517403939,27.290706118016,29.9016717396678,34.2528927204371,42.0271637899438,41.0294936840032,41.3814305084006,43.251617085127,40.9506569393424,38.3111499505756,35.3264162774409
25.91,25.42,24.63,25,27.9,31,30.87,37,35.51,32.85,30.81,33.37,28.16,23.89,27.96,35.85,32.86,41.69,40.61,35.62,33.27,29.78,37.93,32.26,17.9033325645702,16.5508223971937,14.918281088056,15.3914709349044,18.500536868404,20.892800291002,24.5481230824069,29.3477181471923,27.0596813067514,29.8744277000374,27.827426062911,27.3133963365513,24.937428436923,24.4757032592227,25.3440931858989,28.0690692062632,29.4342775180526,32.9176367262803,31.712375214053,30.8485629408765,29.3739614502168,28.6631977327385,26.2016650970962,23.0876963975779,22.4252180783263,21.3867736081131,21.4896784885144,21.698473335893,22.538257622168,25.8255819277231,29.7818119246193,35.2320640347738,34.2199783408849,35.1641964229113,33.5515160031073,32.7544676228442,32.345992964401,29.401294736236,29.3540529492401,31.9837619485214,36.992068562134,38.3077558040881,36.9759632552701,36.4692496491244,35.2462732221949,32.7853646094868,29.570385802252,27.9300017369515,26.8777811502311,24.6111725690882,24.7758535120403,23.7420211681304,25.7651735505365,30.5829309383945,36.0633230764678,37.2164294526783,39.0966014867546,36.72335032247,37.2493445246941,37.2306683873977,34.9998512716664,34.422881965144,32.1350298397323,35.933880704279,40.9910498082222,41.9157100915342,41.486407810661,41.479797183819,39.4323802275954,36.7534143625878,33.5666266846797,31.1963998531751,29.3320428157289,28.2935983455156,28.396503225917,28.6052980732956,29.4450823595706,32.7324066651257,36.6886366620218,42.1388887721764,41.1268030782874,42.0710211603139,40.4583407405099,39.6612923602468,39.2528177018035,36.3081194736385,36.2608776866427,38.8905866859239,43.8988932995366,45.2145805414906,43.8827879926726,43.376074386527,42.1530979595975,39.6921893468894,36.4772105396545,34.836826474354,32.8909575064399,31.5384473390634,29.9059060299257,30.3790958767741,33.4881618102737,35.8804252328717,39.5357480242766,44.335343089062,42.0473062486211,44.8620526419071,42.8150510047807,42.301021278421,39.9250533787927,39.4633282010924,40.3317181277686,43.0566941481329,44.4219024599223,47.90526166815,46.7000001559227,45.8361878827462,44.3615863920865,43.6508226746082,41.1892900389659,38.0753213394476
