EURPrices+0,EURPrices+1,EURPrices+2,EURPrices+3,EURPrices+4,EURPrices+5,EURPrices+6,EURPrices+7,EURPrices+8,EURPrices+9,EURPrices+10,EURPrices+11,EURPrices+12,EURPrices+13,EURPrices+14,EURPrices+15,EURPrices+16,EURPrices+17,EURPrices+18,EURPrices+19,EURPrices+20,EURPrices+21,EURPrices+22,EURPrices+23,EURPrices+0_Forecast_10,EURPrices+1_Forecast_10,EURPrices+2_Forecast_10,EURPrices+3_Forecast_10,EURPrices+4_Forecast_10,EURPrices+5_Forecast_10,EURPrices+6_Forecast_10,EURPrices+7_Forecast_10,EURPrices+8_Forecast_10,EURPrices+9_Forecast_10,EURPrices+10_Forecast_10,EURPrices+11_Forecast_10,EURPrices+12_Forecast_10,EURPrices+13_Forecast_10,EURPrices+14_Forecast_10,EURPrices+15_Forecast_10,EURPrices+16_Forecast_10,EURPrices+17_Forecast_10,EURPrices+18_Forecast_10,EURPrices+19_Forecast_10,EURPrices+20_Forecast_10,EURPrices+21_Forecast_10,EURPrices+22_Forecast_10,EURPrices+23_Forecast_10,EURPrices+0_Forecast_30,EURPrices+1_Forecast_30,EURPrices+2_Forecast_30,EURPrices+3_Forecast_30,EURPrices+4_Forecast_30,EURPrices+5_Forecast_30,EURPrices+6_Forecast_30,EURPrices+7_Forecast_30,EURPrices+8_Forecast_30,EURPrices+9_Forecast_30,EURPrices+10_Forecast_30,EURPrices+11_Forecast_30,EURPrices+12_Forecast_30,EURPrices+13_Forecast_30,EURPrices+14_Forecast_30,EURPrices+15_Forecast_30,EURPrices+16_Forecast_30,EURPrices+17_Forecast_30,EURPrices+18_Forecast_30,EURPrices+19_Forecast_30,EURPrices+20_Forecast_30,EURPrices+21_Forecast_30,EURPrices+22_Forecast_30,EURPrices+23_Forecast_30,EURPrices+0_Forecast_50,EURPrices+1_Forecast_50,EURPrices+2_Forecast_50,EURPrices+3_Forecast_50,EURPrices+4_Forecast_50,EURPrices+5_Forecast_50,EURPrices+6_Forecast_50,EURPrices+7_Forecast_50,EURPrices+8_Forecast_50,EURPrices+9_Forecast_50,EURPrices+10_Forecast_50,EURPrices+11_Forecast_50,EURPrices+12_Forecast_50,EURPrices+13_Forecast_50,EURPrices+14_Forecast_50,EURPrices+15_Forecast_50,EURPrices+16_Forecast_50,EURPrices+17_Forecast_50,EURPrices+18_Forecast_50,EURPrices+19_Forecast_50,EURPrices+20_Forecast_50,EURPrices+21_Forecast_50,EURPrices+22_Forecast_50,EURPrices+23_Forecast_50,EURPrices+0_Forecast_70,EURPrices+1_Forecast_70,EURPrices+2_Forecast_70,EURPrices+3_Forecast_70,EURPrices+4_Forecast_70,EURPrices+5_Forecast_70,EURPrices+6_Forecast_70,EURPrices+7_Forecast_70,EURPrices+8_Forecast_70,EURPrices+9_Forecast_70,EURPrices+10_Forecast_70,EURPrices+11_Forecast_70,EURPrices+12_Forecast_70,EURPrices+13_Forecast_70,EURPrices+14_Forecast_70,EURPrices+15_Forecast_70,EURPrices+16_Forecast_70,EURPrices+17_Forecast_70,EURPrices+18_Forecast_70,EURPrices+19_Forecast_70,EURPrices+20_Forecast_70,EURPrices+21_Forecast_70,EURPrices+22_Forecast_70,EURPrices+23_Forecast_70,EURPrices+0_Forecast_90,EURPrices+1_Forecast_90,EURPrices+2_Forecast_90,EURPrices+3_Forecast_90,EURPrices+4_Forecast_90,EURPrices+5_Forecast_90,EURPrices+6_Forecast_90,EURPrices+7_Forecast_90,EURPrices+8_Forecast_90,EURPrices+9_Forecast_90,EURPrices+10_Forecast_90,EURPrices+11_Forecast_90,EURPrices+12_Forecast_90,EURPrices+13_Forecast_90,EURPrices+14_Forecast_90,EURPrices+15_Forecast_90,EURPrices+16_Forecast_90,EURPrices+17_Forecast_90,EURPrices+18_Forecast_90,EURPrices+19_Forecast_90,EURPrices+20_Forecast_90,EURPrices+21_Forecast_90,EURPrices+22_Forecast_90,EURPrices+23_Forecast_90
24.65,21.59,18.29,14.12,11.58,12.26,15.34,19.72,23.22,25.83,25.67,23.83,19.36,13.92,15.16,24.69,31.66,31.66,28.66,23.22,21,20.36,14.26,13.98,18.4649361774369,12.8363003781567,11.23481266364,8.22843734750388,7.87666903560216,8.75076320323445,10.6075236924025,12.3857618992124,14.0826667378822,15.2049180164685,15.8559276436619,16.0130168871652,14.3456870217881,12.2494676777108,11.3415658045018,13.8824158341287,16.5286469972569,20.1740916287499,19.2553494193422,18.5957514624535,16.7726248687989,15.0152159091525,11.549341040322,7.31192588645524,22.8331589388048,17.4719038144016,14.4720370629413,12.6531515815564,11.6985008895231,13.6135649637104,15.0015063123237,18.0130820922019,19.578058568087,19.8551190378269,20.1357982752278,20.4345349499793,18.8610023360393,16.7953187683031,16.9790038907587,17.5203641067975,22.0024542751347,23.4570288087404,24.5466916281518,23.6983095446108,21.2969535835152,18.918944594776,16.4761943377347,13.0032100058473,23.1867203245969,19.8011700741908,16.8543887020995,15.6557412257657,12.4950139819713,14.9180767031199,16.4316073852596,19.779225670467,18.5055546889787,21.5948027898116,21.0402298589945,22.1569869394858,21.3533918224839,17.6047730248649,15.9328671169042,21.5502784078443,24.7976555590766,25.7667912556498,26.2039217123832,25.4484702407869,24.8913291771651,21.1425141156759,18.3468747382234,14.6177715923375,31.3394875215685,26.5457534924411,23.9741723397358,22.1963949897595,21.2389199912382,23.1076822236896,24.5398292378914,27.4867940596702,29.1690400515464,29.3863060953221,29.6690381166889,29.9529790112586,28.379905591502,26.3462363937303,26.5231628263056,27.0687802444928,31.5379333438908,32.9843720819032,34.0773975569543,33.2215329447267,30.7766641624337,28.4855549310797,26.0125350512357,22.5074314452088,34.3020533725663,31.4991927197705,30.6767997012987,27.8430298996889,27.010279761005,28.0224411741207,30.2314307816359,32.1416966144834,33.7438663075843,34.7477399006238,35.3545467232517,35.6359226183664,33.8249426980576,31.6359680362924,30.6294018793309,33.3284130722879,35.8312325990635,39.5644162213402,38.2325747229921,37.7166363577782,36.2953833526856,34.6335144397311,31.2498052889792,26.9153041823537
13,12.64,12.88,10.26,12.89,21.41,26.12,25.37,23.13,23.13,20.66,20.76,15,15,15,20.66,31.55,39.82,36,33.62,33.65,24.11,28.48,17.05,5.18132995728526,2.3158890324337,3.87411150584362,4.01385516922933,4.96455768703359,8.4677594229852,12.6973591268253,15.9222968101202,16.5169526413972,16.2087785866137,16.718643988358,18.9387065738021,17.6799684273466,16.4495636776561,15.4876434904205,18.2186179512158,22.3151399928698,24.8907163731398,24.5433966997254,22.111365108506,21.4930945311648,17.68929492879,14.9513257072222,11.7112603566779,5.44775865465851,6.4746019972182,6.83007006246691,7.92757987767794,11.2000593278841,12.9483319796183,16.2746149768026,20.9238686510524,21.6763850202703,21.3820179152549,22.366981482329,23.5265690922031,21.3252090892371,21.1849192196733,19.933738442082,22.8615123520402,26.9204473935966,28.1438042191598,28.4866027903132,26.0754878078732,25.9350125408113,21.3933581877559,19.5391158230864,15.1995621042538,10.4424020356343,11.8652665529528,11.0870485345242,11.1660025104163,13.6572580530502,17.4498500150389,21.9939991403302,26.5220933992911,26.104996998764,24.9876383137154,27.0889152320397,29.9436799599071,27.4958220041425,24.9233684320683,25.984338395556,28.6150361007206,36.0477183468971,36.4131394458723,35.8131249011112,31.5037641878568,31.5523106971308,27.7891336792541,23.6262884998699,19.9451578181062,13.8924433985397,15.9999024999953,16.5337934931005,17.4451513269577,20.8092154596285,22.5923053301432,25.8243438471944,30.5058569857082,31.3091550817632,31.069774453646,31.9471363781115,33.0913321613559,30.8996395549353,30.7568610722429,29.5699083525129,32.554648090413,36.4984927617911,37.768804695997,38.0988922190241,35.5823843036923,35.5256859874666,30.9584588576167,29.095267213162,24.741916687994,21.1007673657325,20.2248093205196,22.6517623389735,23.0821525553988,24.0862732326879,27.2424719855462,31.5533047139835,35.2881711005865,35.2955771760041,35.3165447380419,35.8854540240636,38.1039859622298,36.7986818062529,35.3805825070018,34.6822054487335,37.3057704322949,41.5091907817492,43.9710186116041,43.5394132021058,41.0438449669044,40.3916598235232,36.7064934914121,34.0764649436724,31.0147672078742
15.88,15.75,16.23,17.7,21.21,23.45,30.73,34.89,33.4,30.61,30.06,30.06,26.06,23,23.45,30.57,33.94,37.16,37.3,35.23,35.74,34.06,30.06,28.25,2.12416281590766,5.91906029140949,6.45431713823318,6.26724919564155,9.2209152360814,14.3729631929913,19.3041938309832,21.1151829388087,21.1931737714679,20.54078660488,19.8006742228138,20.1873436447974,18.2665147804267,16.9081558636406,16.588472859278,19.7631553647485,25.0517520434004,28.7358999134347,26.4393360358303,24.6463485098418,23.8063602471615,20.6172173502253,19.3125383158548,16.1841595363218,10.7223818355495,9.11215278076738,10.5942145972009,11.9485641375705,14.1224076198257,18.8131070836818,24.2340577268144,25.7679024069819,25.7295528022291,24.9337369533575,23.9286095462146,23.9495010745639,23.3121225227634,21.2822797341238,21.2758269669601,23.4381207784587,28.8148437054348,34.1653000881358,31.7045329112705,29.4933645544305,28.7476257657101,25.009146705149,23.4483678473318,20.8283630683643,15.2512122361271,14.6898908813105,14.5481564142792,16.3860709772387,18.1087016448494,22.7144624727483,28.1770631042867,31.5871607263051,29.6020244605693,29.9057718392957,28.9383163349235,30.0269551493173,26.9961975836388,25.3429496972736,25.4631386177859,30.3722783684712,33.1212641438916,39.1383701259921,35.5341856638923,35.3485840794424,32.9867943550722,29.3488507230406,28.7627084201744,25.104573210999,19.4867191368038,18.697878088232,20.2351280836816,21.5601969615146,23.6802093433059,28.4358607038295,33.876251997902,35.4032979338679,35.4283886519911,34.5477086635626,33.6126653514209,33.627100027811,32.9576856483738,30.8845055146109,30.9488816620895,33.0477446874552,38.3598809750271,43.8600575496836,41.3419149417576,39.1707002935662,38.3407663678219,34.699440494059,33.1318080557669,30.450649388097,20.0380646217853,24.2913089410067,25.1713047480965,25.0862160611811,27.743399061765,33.0054419069806,38.0530904297992,39.8792906429713,39.8991302305133,39.2756737279879,38.6759002436268,38.8964205262061,36.9887399696357,35.5581516674736,35.401235119715,38.6500209805933,43.7210874086958,47.415063846235,45.1630298834866,43.3973174429473,42.5479259515072,39.3249009134577,38.0609370966776,34.9476282786924
22.82,21.47,17.99,17.99,19.3,23.44,29.99,32.4,29.42,23.48,17.49,16.2,15,15,15.95,20,26.74,34.58,37,33.17,32.07,29.78,27.19,21.47,19.5597601840661,13.9220461598106,13.0903257829379,11.2890271719654,11.9491978786503,13.9463574079886,17.2488445721305,19.0986157146313,19.339482552098,16.7333602212025,15.763033083048,16.1433783458984,13.5070115790492,11.1936020390642,11.5161900701805,15.8110299465231,20.1300323336507,24.2819161918421,24.4257932955706,24.9819426395997,23.5588804535047,21.7532193457492,19.7693863663207,17.457974544509,23.060396019262,18.2957552558561,17.0596351588712,16.4396014506645,17.1819354782261,19.4762232137615,22.1203975492477,24.8663741575729,22.6902318003575,21.4153255093496,20.9810891238695,20.0017330775214,17.297094628346,16.2707169409692,16.184098541154,20.0933626057936,24.2255885136965,29.1651471981948,29.3523039823642,29.0333465268502,28.0541610366049,26.4348745288165,23.8326321052287,22.4970753864503,25.3155632473507,23.7334136124926,20.7455856323099,22.1146490685563,21.3116520914874,24.7488255143414,27.0257208399747,30.3068575279739,28.4635140455963,25.2745040248524,26.5019626954739,25.7116593556974,24.0833314440145,20.5393929662562,20.300825282307,24.9171958154838,30.6859447931483,33.8306302009362,35.0752841232869,34.9653741981224,34.2430767746655,31.0372283581045,28.2637418533927,27.2026365776687,30.981063905996,27.5784553176542,26.6694245303616,25.8105058963126,26.5686761627354,28.8453957868511,31.6366600805282,34.3670889364731,32.0206031802098,30.8263653386037,30.4840316859728,29.5113470683051,26.6779482813001,25.6014922018945,25.5964811438457,29.6098602177931,33.6848270429018,38.6018937954848,38.7415542608371,38.4053424527535,37.4996704703512,35.9306230487139,33.1908440993999,31.9063986019349,34.8781882236168,32.1152605763145,32.5251287919711,30.4395474966725,30.8997717998539,32.758174577178,36.2873300991691,38.2684412685253,38.7863638463485,36.2046279213978,34.9729091435338,35.531563846997,32.4407903418666,30.3342918889177,30.834731596975,35.1917930004171,39.1209543078328,43.2751803901453,43.5499702746356,44.1914639332399,42.8695274643079,41.0396764075168,38.8358746323119,36.7820464286643
18.62,18,17.12,17.4,18.55,23.25,28.04,35.22,35.19,32.87,31.9,32.46,27.09,22.68,23.26,26.13,29.21,25,15,11.88,11.05,5.75,-0.05,-0.05,6.99831519885451,9.93579583116902,9.63574085100822,11.4218611443361,12.6868608448496,17.1859395789799,22.0200351958876,24.809986469166,25.0099894034372,22.3915026706203,22.564978005059,20.3578218630786,18.7196237877764,16.1264468144463,13.2730474187352,14.4536419984806,15.738679137946,18.0270629855295,15.8803366601619,8.98873093710606,4.97253296746404,-2.14640308598659,-10.0314902101793,-14.8282546236283,12.0084892463483,15.5940626551615,14.2669815380032,15.9629622797495,18.097727977847,21.410123166236,26.8674369827285,29.5508915253915,28.5392718365903,26.7287028244228,27.2703693208953,26.6996051603489,24.3504263291517,19.594500494257,17.8566854714489,18.4188699839659,21.3497588292966,22.4855883100485,18.5379161747354,15.1573553401435,9.66719914651232,4.71753185277676,-5.58483180572912,-10.1490018182043,19.2686559974338,19.3724005607864,19.3845830014563,19.8325947800281,22.7034353922756,26.2339299873812,32.1778779937868,34.9078852567153,33.8193396440756,33.7313104374765,32.9968336213962,32.5638999915322,28.3467732589821,23.6412937774138,21.7543318203859,22.694441468663,27.922566125953,26.4275298116459,25.7808673981899,18.1793793955457,16.2636066988454,6.79323855992791,-2.36781135318504,-6.53792976761828,21.6130707216062,24.952984183024,23.7055320102627,25.3622213701731,27.4915687676419,30.8611929980842,36.2291761413589,38.9612928696908,37.980538373303,36.1084149292201,36.6674015817901,36.1352826887302,33.782293928639,28.8871364119206,27.305693459425,27.7628207324095,30.7639276639829,31.9241669157004,27.9169464023965,24.5829830485786,19.2358541605504,14.0495139885495,3.92588081786707,-0.729995947385177,25.4630797938862,28.5052490706099,28.7438760743969,30.1921839440187,31.9004209492197,36.2685096549686,40.8900589233046,43.936713573353,44.1432615744577,41.1355631869777,41.21384656585,39.2919105700489,37.4583084420122,35.1649895619439,32.36814400687,33.7141982194889,34.7232954175481,37.0279441805979,34.7366208017025,27.9703202544278,24.1579968727985,16.9477150322995,9.02231323372937,4.27082736947468
-1,-0.05,-1,-1,-1,-1,0,12.74,12.99,11.74,11.14,7.68,2.12,-0.05,-1,1.93,17.47,21.49,14.65,8.8,0,0,-1.03,-1.02,-7.45226048321324,-14.642474353205,-17.4091352950026,-16.2062619045644,-15.9235327672617,-14.4529355515876,-13.8522524921053,-5.46389192731159,0.0648307945936715,2.50858231789911,4.11726040680342,5.8480603893845,4.8104981666967,-3.0987150874876,-4.71347104748459,0.0548063740446008,5.14260056264527,8.59683794735059,4.6735351861221,-3.08777876450111,-3.38113676136482,-7.21924943268187,-12.1436349840493,-13.6936880687662,-5.47888859459435,-10.6485211689667,-12.6432008491986,-12.3629768367147,-11.7930982918017,-11.2343291084327,-6.10371942561738,-0.57639874349579,6.24016395441139,4.82545853178834,6.6701440901823,7.9733062728219,6.46285872231331,-0.385512593317399,-0.489345101604031,4.84382721879944,9.69965394544996,12.6106234122736,8.1265300773104,4.70342246763952,-0.598643381078635,-2.09739654924307,-5.83306416536261,-9.35003730802782,-4.00801531341873,-6.07735615767259,-7.6080345693364,-9.17900782317134,-8.41731137260894,-8.00545116020291,-5.06789095951891,2.54777652085043,10.588709557486,8.79764371921825,9.47232202983495,13.4245532798164,12.4839555103848,3.45912980889062,-0.321579986094159,6.56200498079629,14.9229392559787,17.7168512419352,14.1901469414345,5.23807766092949,5.06576962677636,-1.97286835495942,-5.37337700917071,-8.98134037264972,2.95222941688026,-0.961014016409313,-3.11460969319273,-2.63958530381673,-2.122523149895,-1.61749399109264,3.56843690830596,9.04068766702667,15.8013416849717,14.5237426809583,16.2060718627043,17.651918028193,16.0280080295643,9.25103926367723,8.99254986833616,14.3639564225958,19.3090298991243,22.1792583991511,17.6978277228792,14.2685369657779,9.02373782924851,7.40203172300424,3.79958811735224,0.232562808701918,7.73994065432948,3.93566590558402,0.926991986186357,2.13745948520612,2.60012121680814,3.71758999925468,4.52691411098308,13.0005608162187,18.4320278313368,21.0545646787389,22.503025482487,24.4663293560593,23.4179715401098,15.3688885959841,13.8548263386848,18.6638971790983,23.5457387233508,27.0375699496089,23.0788420022232,15.282067579493,15.039396418872,11.2498906201135,6.29783611580421,4.73816331825774
-10,-22.89,-29.81,-39.97,-41.09,-33.52,-20,-5,-1.01,-1.03,-5.59,-11.61,-15.18,-27.93,-27.93,-10,-1,11.36,12.67,12.78,13.56,12.99,0.02,-1.32,-8.07976606804687,-14.474802642095,-16.2921718281871,-16.4461084985268,-15.9425996193004,-14.2008928545324,-13.546059469322,-12.0659182350789,-9.34523066960021,-6.11651017536997,-5.91322800628038,-2.74267207777209,-4.94535769309021,-7.85382321876289,-9.67022362720199,-4.75445241615751,3.06488361578265,11.406727831215,13.3769285934306,14.669737754061,16.942218224865,13.2249816990083,11.6641189729799,7.1252984158365,-5.45571043835051,-10.3803642000459,-11.7775694970129,-12.1568628504743,-10.4776283706161,-11.328398088917,-8.07999337786885,-6.54685458362496,-4.47505486389646,-2.4282225823924,0.0876390248881567,-1.60524649297499,-2.56940266092453,-4.8527478799029,-3.17017751580899,-0.820808220265709,9.3665425597807,15.9279624044048,17.7120957180623,18.9488630998437,19.2815510870904,18.6175422684381,16.0948965523593,10.4887795153393,-2.88943252248161,-5.09944262245203,-7.1044826647572,-8.80480957937684,-9.30078657420636,-10.4068783766335,-9.34156731443704,-4.89123890784055,-3.11764609389433,1.17821383301786,2.58074093025499,3.64622867970226,1.29183461841551,-0.869248716994452,-0.495370092783084,-0.275035521494263,10.2618885903334,20.0210639135194,24.25358905678,27.0820054245753,25.0978170599851,21.602665412387,18.8724917760367,17.4163145198805,2.60404536380403,-0.88817050116287,-2.19670363702753,-2.60328495054145,-0.949114939066998,-1.76231275032447,1.5376418722227,2.95939961254204,5.07123028853885,7.20033509964495,9.57923095527756,7.96670108164049,6.95998290578689,4.6670856848554,6.32973522299105,8.7567188259379,19.035208445706,25.5722933827984,27.1847390934591,28.4087157953088,28.8275811316461,28.1924834267328,25.677050349509,19.9574699106945,7.26737233679932,5.31882986522919,2.99884951885881,2.54497560028908,3.06948534163715,4.91736466805066,5.44292845334644,7.1530072409953,9.9883760503705,13.0116312278283,13.1996183682313,16.0807741960316,14.2379280201056,11.3495974202752,9.34176596630387,14.3408024819138,22.2053665183095,30.4987459586564,32.6825030105448,33.4882029869101,35.7032398389397,32.3142742252534,30.6127760088076,26.06432810944
-6.5,-17.13,-20,-22.89,-28.11,-24.92,-20,-1.1,3.3,11.4,12.47,15.7,19.04,18.54,18.16,18.16,27.93,46.03,40.26,42.6,45.82,42.6,37.29,29.72,-15.2906005406759,-6.71307665995522,1.12953317475243,3.18250095799857,6.20912902181284,10.4130673806226,11.2224223434614,14.9559977462321,17.1619094882032,18.975930996453,17.9971351167452,18.5594415515612,16.8335806471007,18.4161437046979,18.5283706458309,20.9186221980401,23.4532070373323,27.4524907184168,26.5399084882692,25.7431703168588,25.7309622232883,24.1980629436557,21.4664077585535,18.2682181434197,-9.61705603231363,-2.00187792542865,4.58462975623706,7.55019530958486,12.3384690409065,13.5896372138902,16.8796644465908,19.933076136785,21.5861363172919,22.5409085759635,22.7836142246529,23.3743010918709,21.8814015120954,21.7159645416132,23.4029994013618,25.3873990334718,28.3911309729592,30.727706530863,31.6088848987016,30.1002099872901,30.7525911041217,28.4605352689389,25.8723814948341,22.6361048478361,-0.57225572851288,1.99203439529878,8.29923993233276,10.6800406509395,15.1556861516681,16.4551071819485,20.7159345823993,24.2224749847387,26.5460455196323,24.8367744530703,22.5144692477669,24.5808387718086,23.9937726671461,24.5675365717969,27.9525051056843,30.3054035081683,32.0923989016515,37.5069470645921,37.8940036759635,35.6625732977865,36.2677623213169,34.6511164392571,30.8577836722911,26.4650449517896,0.883828023777681,7.38403353926251,14.1068026840935,17.2381006211693,21.7324948435188,23.0611752807543,26.3901248233303,29.3114149505667,31.1138376951606,32.1627304563041,36.5877481167122,110.874174968443,31.4303722114057,31.3724205352656,33.0233631136726,35.0302570618837,38.0020399580971,40.3009062798559,41.1583438792619,39.748415267594,40.290931195827,38.0467231084469,35.4291375144264,32.3663189667936,3.64168715234778,11.6438416750057,20.1620343954556,22.0817681546538,25.4185024959339,29.5493779580152,30.3561656295942,33.8049023559123,35.9551891360303,77.8348625378959,102.576276733566,76.2895002216052,35.8258768659728,37.4532626164411,37.8909757407406,40.2531120204278,42.6496906493928,46.6147622180506,45.4757366971925,45.2736507016854,44.7331118051975,43.3230753414218,40.695422155221,37.4143725471062
23.65,20.3,18.07,16.51,17.1,19.99,22.05,27.69,26.52,20,17.2,15.09,13.62,12.95,13.62,18.08,24.26,34,35.22,34.91,36.01,35,28.78,27.5,22.1344072921097,16.2352768874378,14.814215156856,12.7470714022423,10.8526357246959,11.8224379258323,16.4323225615821,22.0772915072365,17.709159042031,21.3538231538177,16.3916581279459,16.6638314555294,16.4504508697934,14.4902857567161,11.8996253153223,14.7589578211677,19.7519587293609,27.2799094467177,25.9065633807461,26.7128307248622,27.3449778035868,26.3383331950713,24.0113738530453,18.5508883602601,25.0710858377675,21.4631657590837,18.3757019157504,17.7055573393784,16.8896702638941,17.3940146396853,21.73983582375,27.4289184393823,23.4861843722301,25.3366575523289,21.5688234026307,21.4792296640358,19.5870445414851,17.6332078089868,17.7357821471312,18.453586342145,22.160946791621,32.8153223976101,29.6170972256424,33.6283369689018,32.4596177366336,31.3854764290242,28.0261480964296,25.3353844321201,27.7842185236789,25.8700443244619,23.3121871521267,20.5906392315861,20.0968013472601,23.8433128388602,28.9232255719323,30.4018723659814,30.7770453848906,28.9063582832503,26.3489486803251,26.1231493647487,22.9876194710962,20.0484586332009,18.7196867480563,22.7518675401824,29.3719734971876,39.0539784976941,35.7143683251512,36.0949106479904,37.1913713916352,35.7293387963556,32.2159432362183,28.5241483103985,32.935257819579,30.5893015851946,27.689554225931,26.9889655043564,26.2338050714808,26.7877586315371,31.0963722121472,36.7430563750207,32.8074872630077,79.5955679698857,30.9160180742616,30.9725563280068,100.237859551556,26.9692654719506,27.0816335684874,27.8296144030581,31.4755386762341,42.1244168266262,38.960580673671,42.9198184638053,41.9239217069705,40.7956760712056,37.4431345618837,34.7337651884982,36.9288685424149,35.1500203108997,34.0408386920122,31.961160795858,30.0420402123058,31.0173489289451,35.5442600844703,41.1467352099342,37.603017951638,104.371944873178,35.5536187297525,98.5029952357418,98.515448542828,33.7289303566306,31.0930934091944,34.0108928263556,39.0579193845733,46.4564727096572,44.8989368472378,45.9415361310512,46.6353401616801,45.4512110408355,43.2765029424008,38.1922066814882
25.91,25.42,24.63,25,27.9,31,30.87,37,35.51,32.85,30.81,33.37,28.16,23.89,27.96,35.85,32.86,41.69,40.61,35.62,33.27,29.78,37.93,32.26,21.1469245572567,15.318462523213,14.1834762807058,14.6462203990981,16.2608573735944,20.6571384207637,24.2152989149193,27.3783331534998,27.5065070509789,29.5107982351317,29.079106102654,27.1638735103827,24.6285348404228,23.2758610090295,24.4412682095115,27.176635616596,27.9104523409018,32.0361923573152,31.6133955984838,30.0560729703943,30.5779288583468,28.1889356389249,24.5525369380229,22.5925967802136,23.4523209090283,19.5334687168236,18.7006472037797,19.1914820185103,20.852349816262,24.16686984585,29.6653018291272,31.1386651492639,32.6027464844281,29.6534160634281,30.7356336870311,27.9405828177713,28.5664923570177,27.6764537054219,28.8475133208963,31.0665148353296,34.1808317895114,35.8959005930759,35.8612462036497,35.113199738847,34.1270109555251,32.718500744642,28.5875203632878,26.7800851483838,26.8777811502311,24.6111725690882,24.7758535120403,23.7420211681304,25.7651735505365,30.5829309383945,36.0633230764678,37.2164294526783,39.0966014867546,36.72335032247,37.2493445246941,37.2306683873977,34.9998512716664,34.422881965144,32.1350298397323,35.933880704279,40.9910498082222,41.9157100915342,41.486407810661,41.479797183819,39.4323802275954,36.7534143625878,33.5666266846797,31.1963998531751,31.6331895346692,29.079588406765,28.3416093276505,28.907681416551,30.5861096963279,33.8604242472477,39.325526743678,40.783781478457,42.2897930122906,40.7148343583347,40.4887507715342,38.729895895698,38.2161071679613,37.3107267576375,38.535298946354,40.7924617385583,43.8167785401523,45.4754851916171,45.5659137718565,44.8466000836956,43.814004077626,42.3782669418466,38.2516324543523,36.4533677716748,35.9039073606015,33.5032645785718,33.071988892095,33.7079593669936,35.6005809606305,39.9131284491451,43.2788412809471,46.6697121284144,46.467454087722,51.7990853979124,51.5758864981618,46.3707016277533,43.7380834091484,42.5460312208215,43.423396352822,46.1822756465033,46.6306910265097,51.1302933094637,50.8833426504857,49.1808507642786,49.3000977807711,46.7896388783659,43.4570979808086,41.5223662962048
