EURPrices+0,EURPrices+1,EURPrices+2,EURPrices+3,EURPrices+4,EURPrices+5,EURPrices+6,EURPrices+7,EURPrices+8,EURPrices+9,EURPrices+10,EURPrices+11,EURPrices+12,EURPrices+13,EURPrices+14,EURPrices+15,EURPrices+16,EURPrices+17,EURPrices+18,EURPrices+19,EURPrices+20,EURPrices+21,EURPrices+22,EURPrices+23,EURPrices+0_Forecast_10,EURPrices+1_Forecast_10,EURPrices+2_Forecast_10,EURPrices+3_Forecast_10,EURPrices+4_Forecast_10,EURPrices+5_Forecast_10,EURPrices+6_Forecast_10,EURPrices+7_Forecast_10,EURPrices+8_Forecast_10,EURPrices+9_Forecast_10,EURPrices+10_Forecast_10,EURPrices+11_Forecast_10,EURPrices+12_Forecast_10,EURPrices+13_Forecast_10,EURPrices+14_Forecast_10,EURPrices+15_Forecast_10,EURPrices+16_Forecast_10,EURPrices+17_Forecast_10,EURPrices+18_Forecast_10,EURPrices+19_Forecast_10,EURPrices+20_Forecast_10,EURPrices+21_Forecast_10,EURPrices+22_Forecast_10,EURPrices+23_Forecast_10,EURPrices+0_Forecast_30,EURPrices+1_Forecast_30,EURPrices+2_Forecast_30,EURPrices+3_Forecast_30,EURPrices+4_Forecast_30,EURPrices+5_Forecast_30,EURPrices+6_Forecast_30,EURPrices+7_Forecast_30,EURPrices+8_Forecast_30,EURPrices+9_Forecast_30,EURPrices+10_Forecast_30,EURPrices+11_Forecast_30,EURPrices+12_Forecast_30,EURPrices+13_Forecast_30,EURPrices+14_Forecast_30,EURPrices+15_Forecast_30,EURPrices+16_Forecast_30,EURPrices+17_Forecast_30,EURPrices+18_Forecast_30,EURPrices+19_Forecast_30,EURPrices+20_Forecast_30,EURPrices+21_Forecast_30,EURPrices+22_Forecast_30,EURPrices+23_Forecast_30,EURPrices+0_Forecast_50,EURPrices+1_Forecast_50,EURPrices+2_Forecast_50,EURPrices+3_Forecast_50,EURPrices+4_Forecast_50,EURPrices+5_Forecast_50,EURPrices+6_Forecast_50,EURPrices+7_Forecast_50,EURPrices+8_Forecast_50,EURPrices+9_Forecast_50,EURPrices+10_Forecast_50,EURPrices+11_Forecast_50,EURPrices+12_Forecast_50,EURPrices+13_Forecast_50,EURPrices+14_Forecast_50,EURPrices+15_Forecast_50,EURPrices+16_Forecast_50,EURPrices+17_Forecast_50,EURPrices+18_Forecast_50,EURPrices+19_Forecast_50,EURPrices+20_Forecast_50,EURPrices+21_Forecast_50,EURPrices+22_Forecast_50,EURPrices+23_Forecast_50,EURPrices+0_Forecast_70,EURPrices+1_Forecast_70,EURPrices+2_Forecast_70,EURPrices+3_Forecast_70,EURPrices+4_Forecast_70,EURPrices+5_Forecast_70,EURPrices+6_Forecast_70,EURPrices+7_Forecast_70,EURPrices+8_Forecast_70,EURPrices+9_Forecast_70,EURPrices+10_Forecast_70,EURPrices+11_Forecast_70,EURPrices+12_Forecast_70,EURPrices+13_Forecast_70,EURPrices+14_Forecast_70,EURPrices+15_Forecast_70,EURPrices+16_Forecast_70,EURPrices+17_Forecast_70,EURPrices+18_Forecast_70,EURPrices+19_Forecast_70,EURPrices+20_Forecast_70,EURPrices+21_Forecast_70,EURPrices+22_Forecast_70,EURPrices+23_Forecast_70,EURPrices+0_Forecast_90,EURPrices+1_Forecast_90,EURPrices+2_Forecast_90,EURPrices+3_Forecast_90,EURPrices+4_Forecast_90,EURPrices+5_Forecast_90,EURPrices+6_Forecast_90,EURPrices+7_Forecast_90,EURPrices+8_Forecast_90,EURPrices+9_Forecast_90,EURPrices+10_Forecast_90,EURPrices+11_Forecast_90,EURPrices+12_Forecast_90,EURPrices+13_Forecast_90,EURPrices+14_Forecast_90,EURPrices+15_Forecast_90,EURPrices+16_Forecast_90,EURPrices+17_Forecast_90,EURPrices+18_Forecast_90,EURPrices+19_Forecast_90,EURPrices+20_Forecast_90,EURPrices+21_Forecast_90,EURPrices+22_Forecast_90,EURPrices+23_Forecast_90
24.65,21.59,18.29,14.12,11.58,12.26,15.34,19.72,23.22,25.83,25.67,23.83,19.36,13.92,15.16,24.69,31.66,31.66,28.66,23.22,21,20.36,14.26,13.98,14.6139662359513,12.3396362320683,9.60137775697157,8.99189038460888,8.43898377672701,9.52298361452772,11.5756324746824,14.9129124200447,16.4530877351656,17.0320883926363,16.0396308426105,16.5023164934049,14.5297874195344,12.0991449100615,12.0732716561368,13.3486332251027,18.1834457521333,20.451887857698,20.1170472224584,19.5415438337375,18.0878252856378,14.7592579019963,13.2040563448583,10.087630350913,19.8431674567512,16.3709105590089,12.7942954626991,12.6122761708331,12.0522738396228,12.8940172555748,15.620771263192,19.032352178297,20.9789137136642,20.9992580803049,20.4221032627377,20.1363602658737,18.4853171475601,16.1165792472676,16.342814466473,17.0586331139488,21.5620753521021,24.0314985160949,24.2503102423041,22.323836323859,21.5481767357029,20.6743406521398,17.3678230690962,14.3685466658792,25.6450004577637,19.3985710144043,14.6960000991821,10.593846321106,11.0262498855591,14.7330665588379,16.4431991577148,18.2957153320313,18.5499992370605,20.4855003356934,22,21.9484996795654,19.4099998474121,17.4795989990234,17.3599967956543,18.9500007629395,23,23.8824996948242,22.9099998474121,23.3299999237061,22.117000579834,20.6868419647217,19.0050010681152,18.283332824707,27.2018796531013,24.8079847434266,21.5181097117378,21.4123550396991,20.9021030365527,21.7132335069481,24.5436495285729,27.9052188088512,29.8936187517349,29.9960556419504,29.3183344372067,29.0524273892868,27.4036347039413,25.0031175144032,25.2377805919613,25.8956718693656,30.4706089252528,32.958118045819,33.1214101911872,31.1722271415012,30.4143886268772,29.5778416859228,26.2481316971784,23.4831969153604,29.5786683653153,29.0517472283146,26.9948957280104,26.3247503775898,25.7117632414487,26.6762619653578,28.7162355401731,32.3029146707161,33.2337369203462,34.3767815765352,33.1971511367999,33.5965604967008,31.5612500889069,29.2308730823637,29.0874432564786,30.7917904211476,35.3827312593355,37.5968539831863,37.2232646067968,36.5638159437229,35.2231631152276,32.2948385370671,30.3089671953832,27.1025353268041
13,12.64,12.88,10.26,12.89,21.41,26.12,25.37,23.13,23.13,20.66,20.76,15,15,15,20.66,31.55,39.82,36,33.62,33.65,24.11,28.48,17.05,0.643831875925606,1.52376396759033,2.41069502237297,4.69318145587081,5.98541027505677,9.45117564497012,13.5107569862334,16.1368293257628,16.8040893492825,17.8061619117434,18.4064399165628,18.885031829615,18.9046949618029,16.8390663305612,16.4474656891983,19.5194676652441,23.3657546599857,25.2831421492465,25.6097009830272,23.4950168387887,21.500205122191,16.8495718172439,14.7830300474741,11.9110208507045,8.00407305252977,5.27264280087988,6.81149404694815,7.6412415266837,10.0675725069602,13.9570622126412,16.7483454915384,20.2037107284718,20.4822882329522,21.2350953276841,22.6627053235002,23.1908798053993,21.8931144359902,19.8431038369784,20.0734983543704,23.5023292010961,26.9240121905683,30.2818849510825,28.4376718228208,27.5493662946912,25.660866221638,22.2506354258328,18.4930643541388,14.8001005378302,14.1199998855591,9.81900024414063,9.81900024414063,16.0113849639893,17.6002502441406,18.4179992675781,22.1669998168945,24.6725006103516,25,26.776668548584,28.5780010223389,30.1054992675781,28.2185001373291,26.2842636108398,26.8495998382568,29.7695999145508,33.4983329772949,36,35.9933090209961,34.9053993225098,31.9940032958984,25.7770004272461,23.2339992523193,21.0504989624023,14.6413613845152,13.7303266025309,15.805597955487,16.9026775122489,19.1831945505699,23.0172166506599,25.9839249822,29.301819496935,29.6468170796929,30.4196627791611,31.8075574849077,32.3638734653724,31.0084184292153,28.9388455857882,29.1988955597232,32.9103949969946,35.9813411300062,39.4111144966757,37.5241343205319,36.7376754873487,34.8493213264659,31.3680179522305,27.6185326082281,23.8636433806952,17.4484907656961,18.0800164471436,19.9873017728613,22.0075029738151,23.3783069272785,26.7931375056269,30.9678502250639,33.1951026411925,33.907594483865,35.2779054954226,35.7380448741434,37.3736058576302,35.985065864818,34.0608966986032,33.855125219838,36.4228642716894,40.2954660018437,42.4037047026522,42.8082264117992,40.7824447410104,39.2600556242052,34.2718912294753,32.201381220875,29.2189155574306
15.88,15.75,16.23,17.7,21.21,23.45,30.73,34.89,33.4,30.61,30.06,30.06,26.06,23,23.45,30.57,33.94,37.16,37.3,35.23,35.74,34.06,30.06,28.25,6.63381276264687,7.86815787675995,6.42234340490413,9.13528343221087,10.6625774355382,15.2795706096023,20.5162054525704,22.1010576754693,22.6304613721515,21.6153002203563,21.7629193529217,21.692107155367,19.5720466136957,18.1349411324608,17.8604786335275,21.9943101253187,26.6750055350119,29.3764657665382,28.3207783499194,26.6241874640658,25.4417385097319,20.5976448584653,19.9333640254139,17.2573596068042,13.3624242356304,11.7005475600794,12.4105017268264,13.098334464186,14.5953356062981,18.2338893278174,23.7616287621472,25.9207853181377,26.476449363614,25.9754945114315,25.1346058336107,24.6376555988702,23.0170711163403,21.9272124935528,22.3436614729429,25.2000739465289,29.716064532011,33.0048563941751,32.154074825723,30.4337606871396,28.5044195654946,26.0155591137821,23.6055878041463,21.5199041631125,18.2900009155273,17.9452953338623,17.9799995422363,18.4947834014893,19,21.9996662139893,30.3521003723145,32.5764999389648,32.2789993286133,31,30.449333190918,31.2199993133545,28.4642505645752,26.7189998626709,26.2900009155273,30.6785011291504,35.8833351135254,38.25,37.2164993286133,35.6406669616699,34.244441986084,30.6043319702148,29,27.2800006866455,20.3200574925426,20.2914739688471,21.3618691050613,21.9846598235305,23.3651396071525,27.0970280035071,32.6951872261974,34.8282884461895,35.3348330191621,34.7539588287533,33.9400991884081,33.5556610653313,31.8126367215039,30.8240907360455,31.1868492819334,34.1280066857867,38.5628243281536,41.8472416862283,41.036989845712,39.2689505064755,37.3479673865395,34.791889584821,32.5094622014242,30.438624885311,22.9476297868778,24.4106631410422,23.8852302152069,26.5424184419765,27.8823287935704,32.5767965617507,37.5205074774118,39.3669182330254,40.0136486661578,39.1856756628612,38.8177670702069,38.8489760899984,36.6613706111933,35.4546699837792,35.1237108646676,38.9837138499891,43.7877012289816,46.6284904171119,45.2809538641406,43.6685819571688,42.4651016231352,37.9008284140683,37.1584263957142,34.7624398298877
22.82,21.47,17.99,17.99,19.3,23.44,29.99,32.4,29.42,23.48,17.49,16.2,15,15,15.95,20,26.74,34.58,37,33.17,32.07,29.78,27.19,21.47,21.0132058634502,16.95088228562,12.7889661461819,11.9786433526379,13.2284841041359,15.7798231392156,18.7117948680676,20.7811466900989,19.6721620442365,18.3168332044858,17.8131159175169,16.4727542839086,14.6243827569532,13.8670464176153,14.0993284464069,16.9750609957312,22.4690362946962,26.7459191499111,26.5018178823769,26.488124818693,25.0956595298909,22.6079920526189,20.2125257466828,17.019158547224,21.3774510661585,20.3594301065194,16.2342164651028,16.3089176612161,17.4694277651049,19.1777089981835,23.5074628019799,25.0132737306553,23.9510268621003,22.5444126790049,21.5522344627003,20.3734454888263,19.0800027623309,17.8761462919321,18.1621066868078,22.3268900314121,27.2227607012166,30.8442624278493,31.2758135793107,30.6142050614691,29.0333170499598,26.8589382192951,24.8601137116894,21.7729436234449,26,23.1933345794678,21.3439998626709,21.2719993591309,21.3599987030029,25.2549991607666,27.7572002410889,30.3449993133545,27.405200958252,26.3600006103516,25,24.7735004425049,23.5,21.7515392303467,21.8155002593994,25.9150009155273,31.6045455932617,36,36.4495010375977,36.1599998474121,34.4949989318848,32.1749992370605,30.2622509002686,27.3999996185303,29.6162756721003,29.0647559484231,24.8626761571042,25.0052954154276,26.2711307413317,27.8684445767205,32.2174881124962,33.6760630754429,32.6369325570618,31.3382268612864,30.3252065696339,29.1273016709247,27.7040683999194,26.6117844335642,26.8690499603521,31.0713293948917,36.0658159494771,39.5015981860585,40.0468597409624,39.3776070466375,37.8980984296595,35.6472063085895,33.5616966203198,30.4529246167157,35.4896784796458,32.721100657965,29.970787969302,29.1516570397717,30.4093093375953,32.9971016197454,36.1208391338146,38.0851761548206,37.0413570286726,35.5987412397641,35.0183246958982,33.6390283546484,31.7648151147413,31.2050266880011,31.1646570444293,34.2177043520545,39.6336128251527,44.1061114488002,43.7332298162758,43.7787990282878,42.3352406379842,40.0959776635808,37.4635795568024,34.2096082618846
18.62,18,17.12,17.4,18.55,23.25,28.04,35.22,35.19,32.87,31.9,32.46,27.09,22.68,23.26,26.13,29.21,25,15,11.88,11.05,5.75,-0.05,-0.05,9.86667205316298,11.0493840062801,11.085179221321,11.526919341185,14.120970869701,17.9318007986832,22.6965593301895,25.3629571492215,24.9332166798989,23.5710044808315,22.9193825288477,24.2842486147752,20.698965523458,17.0160479001664,15.6319479355943,16.2523854550836,19.8913845822864,18.649185950453,15.3584314315515,11.4853862194826,6.84057367055238,1.6452812528981,-2.91553422225981,-5.75532794238184,13.0419711832905,15.2433447868565,15.3550998689682,15.8512567690516,17.4903590194789,21.0679760910535,26.5052741175338,28.6315769528612,28.5437647216445,27.6535193300147,27.1700197115458,27.0943973040098,23.6386907287733,21.0670904754922,19.6508796021649,20.5328783631927,23.6666009769582,23.2135112520431,19.4470580589841,15.5299638629912,9.38253883671545,6.1549151156125,-1.03929814998518,-3.46335809282721,20.2110004425049,20.6575012207031,19,21.2949981689453,22.9549999237061,27.5599994659424,31.0733337402344,34.2042007446289,33.9799995422363,31.3999996185303,31.3999996185303,32.6917495727539,28.8915996551514,26.2362499237061,23.1673336029053,25.5100002288818,28.9449996948242,25.3769989013672,23.4400005340576,18.3680000305176,16.9718608856201,6.52001237869263,0,-1.01999998092651,21.5724308257008,23.5149545700291,24.2694866182358,24.8033184221888,26.4130875579921,30.0683418251538,35.3894813662216,37.4555115079149,37.4297868125564,36.4754387712378,36.0201645746745,35.9464318727964,32.4742243477003,29.9274282097146,28.5684864327618,29.3591885209686,32.6128819332265,32.0353262659286,28.3295162689755,24.3976377368925,18.1632047111967,15.096651336926,7.77769937809099,5.48825819440424,26.0059971950697,27.5440090978328,27.9311646339187,28.3676233054184,30.7908040529896,34.7559089224625,39.4506706201676,42.2253066594143,41.7145792134682,40.5630861229824,40.0488295121851,41.2148955111375,37.5967945792442,34.0413622312211,32.5977377305162,33.2933553037164,36.739250640636,35.6131618568251,32.436169239779,28.5802672772219,23.7816385051471,18.5451244688405,13.8984496949765,11.2035238718882
-1,-0.05,-1,-1,-1,-1,0,12.74,12.99,11.74,11.14,7.68,2.12,-0.05,-1,1.93,17.47,21.49,14.65,8.8,0,0,-1.03,-1.02,-8.46252224469411,-12.8348025429133,-12.1620537045724,-12.2652118030645,-12.286796850602,-10.881052215451,-8.20355668000159,-5.02046468644012,-1.73334144782579,2.61463181560892,3.80850555738234,4.29885609179281,3.50891105857166,-2.67206233676835,-4.59822735505313,-1.89313502425808,5.67819306929293,6.15647631970583,4.97230337932323,-1.36335164205826,-4.24235198838685,-4.97342293934171,-9.49709223377976,-10.7815397550122,-4.98583875174599,-9.08710379335821,-7.38510226227155,-7.97030844299849,-7.06899852542114,-6.72438902577369,-6.11855879512872,-0.899327860354371,4.39080479310661,6.53502581631712,8.51070029318121,8.83061709244714,7.23760733036761,3.5427428905785,0.943066217768109,2.95558833801463,8.66619494836281,10.993248082063,9.15172266197568,3.14103306816668,-0.649515859023806,-1.03396694166725,-4.61211312691825,-5.64254112752279,-3.84999990463257,-4.01000022888184,-4.99264717102051,-5.14000082015991,-5.17999982833862,-5.26999998092651,-5,-3.84999990463257,4.56816673278809,10.7779941558838,16.1599998474121,16.1333332061768,16.5199966430664,4.83333349227905,0,0,16.9300003051758,16.9899997711182,16.7353324890137,6.02857112884522,3.29799151420593,-1,-4.01000022888184,-4.1399998664856,2.65653290276451,-0.541910359596614,1.32444716476092,0.847396711420453,1.59945206852722,2.02530865946801,2.63666447910224,7.73968161535364,13.1030917422643,15.3019783309656,17.2896877008655,17.5015832408236,16.2003520431972,12.2994414989769,9.63208184467546,11.6555688353749,17.4092078534837,19.664003229997,17.9458939952887,11.6675816922054,8.10862136708093,7.62694652573998,4.05029093344552,3.07874636141459,5.51993777727855,3.90410050274096,4.33012711970738,4.34002520407657,4.45089502867044,6.07110385144353,8.82903609343591,11.726675244285,15.0623681621596,19.4014531809654,20.5649314149263,21.1068871739461,20.1471909734276,13.8842268592461,12.0466300515631,15.1433973777805,22.3401975401181,23.1781533369177,21.4015693552754,15.5388643155833,12.4162812437298,11.8302813224381,7.384625448105,6.3299133013232
-10,-22.89,-29.81,-39.97,-41.09,-33.52,-20,-5,-1.01,-1.03,-5.59,-11.61,-15.18,-27.93,-27.93,-10,-1,11.36,12.67,12.78,13.56,12.99,0.02,-1.32,-12.7649845527522,-12.2900308839148,-12.7545928593479,-12.4476811423892,-12.5274729910521,-10.8091036827286,-11.1696459672619,-7.90042320763676,-5.60845575365727,-2.71285131759149,-3.9264032128418,-1.11822807617556,-2.94488544204295,-3.89556750430056,-3.38521041363467,0.814077405481925,6.84757223207427,11.6700037771467,13.2484244590725,15.0808474896794,14.9060469724693,13.486339534312,11.7839144805656,8.01796767817596,-7.89841306627488,-9.99624689526454,-9.02986296358255,-8.3388399046254,-9.12266629386074,-7.80216723592316,-6.85244697435797,-3.32342210097521,-0.277679166724504,-0.29769610723441,1.37731360987442,0.196537689072189,1.57362915424679,1.27141242448353,1.75021760883983,3.82557621065063,9.95603966581663,13.9537788998709,16.8883579772053,18.5142551256786,19.9960552252104,18.0503327459468,13.2553943569936,11.3191009701193,-3.74636363983154,-5,-5.26999998092651,-5.51000022888184,-5.50133323669434,-5.2380518913269,-5.03999996185303,-5.03612899780273,-3.97000026702881,-1,0,6,4.5,-0.0111123472452164,0,8.81716060638428,15.3800001144409,21.5196666717529,23.2360000610352,24.8308334350586,24.7999992370605,24.7264995574951,21.9641666412353,16.2765007019043,-0.934386734373329,-1.92459042973415,-0.543004118825471,0.25616584603073,-0.545186931372942,0.919310749458918,1.84238654271662,5.42532190995009,8.40141991622227,8.43358660379464,10.0221717317464,8.87172432313591,10.2481839790759,9.83169465486073,10.3915716928547,12.4572814947693,18.5926887975915,22.6993662488089,25.5697549384175,27.1514004065166,28.6293512380888,26.783559998907,21.9202772553243,19.9659098328055,2.35077863465625,4.06345326983275,3.53231052199978,4.20660810321626,4.15679977506123,5.69671945264738,5.44208079360235,9.93621142828854,11.2450102802783,13.7545988243152,12.6798294302856,15.512412907406,13.8355014827007,12.8887609563928,13.0249219945074,17.8224973960215,23.2617568023868,28.1518410497907,29.9322880989041,31.6939589856511,31.6325961210288,30.1813735614116,28.5606345275627,24.8607992898093
-6.5,-17.13,-20,-22.89,-28.11,-24.92,-20,-1.1,3.3,11.4,12.47,15.7,19.04,18.54,18.16,18.16,27.93,46.03,40.26,42.6,45.82,42.6,37.29,29.72,-4.20775542362467,-0.253368003797936,2.31104655282777,3.2931115108598,5.97741942040241,8.83422412630208,11.998416054733,16.6712710035832,17.8856087482579,17.6737676301337,17.4784746641885,16.5213240676103,16.1882047169934,16.0919565005402,17.211609306382,19.9361111233321,25.3658315223743,27.9392629259173,28.1772676343054,28.6119362977711,27.5761045478671,25.9582422265156,23.2828863464071,18.0707072480885,0.175322066885523,3.08758996091716,6.90146747239622,8.30615278840778,9.36917915240847,13.592899436986,16.705248378299,19.2510489330286,21.1491086862706,21.0046266255981,20.9997397413224,20.3275148538081,19.4866056776319,20.5593285380742,21.3717574626957,23.7655864513167,28.5760695702885,30.6213601979695,33.0933933178164,31.6053775096955,31.1392871615281,28.0624799690712,25.6066246813548,21.4281635358262,3.06999945640564,6.00757551193237,8.743332862854,9.81900024414063,15.4499998092651,18.5599994659424,21.3600006103516,23.5300006866455,24.7600002288818,26.6464996337891,24.2406673431396,24.2355003356934,24.1203327178955,22.6800003051758,23.4500007629395,30.6569995880127,34.4449996948242,36.536750793457,38.189998626709,37.5340003967285,36.3872528076172,35.2200012207031,32.6800003051758,28.7150001525879,8.46324564133316,11.6228325184428,15.7175087035516,17.0623788511824,18.1797183980139,22.4691358757373,25.5749228224976,28.1744545803064,29.9795205972813,29.9032691655762,29.9552460660904,29.0893890527217,28.3733935690198,29.3246156989476,30.1598145515476,32.6743193423995,37.4878222710941,39.4044903668843,41.8895292202211,40.5310552860322,39.9206978556504,36.8882796726692,34.4547191447032,30.2432649209428,11.4341789712118,16.3554767532821,19.4056128980426,20.3611561733354,22.8450532399825,25.9822992300618,28.8884450082853,33.6908880842717,34.8463307178624,34.808404509101,34.7455597395669,33.5664032988725,33.3538732045422,33.0587428851227,34.3760933304298,68.9189259121505,42.6290074867298,45.070079385573,45.5464816922278,45.8589913514821,45.0377992652743,43.1528842934712,40.621551354952,35.2481612428395
23.65,20.3,18.07,16.51,17.1,19.99,22.05,27.69,26.52,20,17.2,15.09,13.62,12.95,13.62,18.08,24.26,34,35.22,34.91,36.01,35,28.78,27.5,23.595586306241,17.8534583453749,13.6255289790921,9.23603889913505,7.99410975001647,9.5335935947254,14.3238122005545,16.5561334689033,18.3343955251079,15.9239163112781,15.5402614222296,13.3358992011314,14.8219366196241,12.3244464336133,13.1943907168879,15.2236073364913,18.2584129379542,24.6060890440277,24.1886176470523,24.9756903260479,25.331703897528,23.3021613286532,21.1430267732077,15.7395528853161,27.4150003827686,21.5313007774515,16.6837994965416,12.128392203297,12.7737180859166,12.330880794298,18.7642394697116,20.7721465250893,20.0641560112784,19.9582490841986,18.472533889029,18.1864359111315,18.491475996566,16.2848459547843,16.4791693895124,19.1463745937696,23.1397981350565,28.3244026019898,28.6832561268975,29.2845004652848,29.1969534101582,28.0200996704746,25.1071754928956,20.1336853201488,28.3880004882812,24.7479991912842,21.5520000457764,19.2889995574951,17.6900005340576,21.1719989776611,25.0363330841064,26.7600002288818,25.5100002288818,25,22.7299995422363,23,21.0128574371338,20.6000003814697,20.0559997558594,21.3980007171631,26.2449989318848,34.4300003051758,35.0900001525879,36.1066665649414,36.9400024414062,33.9512481689453,30.4600009918213,27.5559997558594,34.7306738532657,29.9128043594522,25.1762728604179,20.7308335141795,21.506499972971,21.0308252904527,27.4142109548496,29.482672991459,28.6452037846396,28.6339936177374,27.1268808319306,26.789258453322,27.1483930917504,24.9949933356131,25.1751928537153,27.764992128407,31.8014526074075,37.0745752170411,37.3984765782525,37.8760815714708,37.8952413740254,36.5413556404758,33.8034659859071,28.7510413820842,37.6321420733003,34.7317237262343,30.6688887355618,26.3267924544329,24.9886900188763,26.5652546283558,31.1808602352225,33.6651146014106,35.3434935780864,32.7844986629627,32.6118337260016,30.2318085105186,31.7786378983106,29.2175567088819,30.1151918796077,32.1852457871138,35.0779720352442,41.2699913267425,41.1847714785342,42.2549194901714,42.3389050922912,40.3360663579501,38.08272785353,32.7742857039196
25.91,25.42,24.63,25,27.9,31,30.87,37,35.51,32.85,30.81,33.37,28.16,23.89,27.96,35.85,32.86,41.69,40.61,35.62,33.27,29.78,37.93,32.26,19.7205538220933,17.4477840728122,14.601133279537,13.7501574754802,15.27306974414,19.2692040198616,23.9447995913923,25.6512325277702,27.2219507982672,26.4915617950736,25.5018295650199,23.548245360052,21.8676015418459,20.9193299800318,20.266072785967,23.4457905934468,29.0399258744284,30.9946404149054,31.0434556808166,29.8030895688172,28.8449320940843,25.6213439054753,23.917397940922,21.1155750992528,23.3357084676008,21.2054710763428,19.0261358748113,18.3963065574021,20.0565764275615,23.0249021739288,27.1944782830194,30.8871261357024,31.2659467764975,30.6344462185092,29.4103567188999,28.5577146396425,26.3604198532121,25.7123244331365,24.0732994222034,28.5395975072244,34.3076343905453,35.1088405768321,35.68570595309,33.7906279678402,32.7072012130293,30.7724341399411,27.6439038617471,25.4987701411713,24.8125,24.9009990692139,24.5377502441406,24.9050903320312,25.1066665649414,28.8699989318848,32.0506248474121,35.2470016479492,36.4865036010742,36.0299987792969,34.2460021972656,32.7000007629395,30.0809993743896,27.9300003051758,27.9933338165283,30.869499206543,39.0299987792969,39.5559997558594,39.2360000610352,37.2000007629395,36.2905006408691,34.9390029907227,32.1030006408691,30.396333694458,31.2812078877668,29.5538645165894,27.7352561484014,27.0831971595139,28.7347003785198,31.7654746264739,35.7180428601221,39.6624471424773,39.8873464175345,39.2716110496707,37.9676479882022,37.2218872890261,35.0651045875566,34.3323805854802,32.7861080312122,37.3045811612466,43.0125153433804,44.1791549841808,44.3562992148088,42.5358638877926,41.3146996203932,39.4655350692014,36.2406140668253,34.1168731685151,34.8503026433518,33.8313118285495,31.0837134644735,30.9381667375651,32.6202634620966,36.4426764243416,41.0070888293684,43.0475461950676,44.6076472094,43.7995566376029,42.7840189342215,40.8371342913264,39.0615884345461,37.7642196208399,37.2250867248708,40.6635106251851,46.2103284012839,48.09128577013,48.150179466217,47.1085609891053,46.1204800753465,42.7613432951238,40.9025330193522,38.4252217056982
